id	article_pages	pdf_pages	concept_group	concept_gloss	source_language_label	language_or_stage	form	form_class	reconstructed	gloss	role_in_article	relation_or_pathway	source_context	editorial_notes	form_audit_status	form_audit_notes	normalized_language_or_stage	language_family	branch_or_subgroup	attestation_status	semantic_domain	semantic_group_normalized	p_q_status	argument_category	argument_use	source_page_anchor	markdown_page_link	citation_label	form_anchor	group_sequence	search_key
bf-037	245	4	cloak	coat	OE	Old English	pād	lexical form	no	coat	Germanic reflex of borrowing	One of the Germanic outcomes of the borrowed cloak word.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old English	Indo-European	West Germanic	attested or source-cited	object / clothing	cloak	contextual analogy or borrowing example; not directly p/q in the main problem	pre-Germanic borrowing / naturalized nomad word example	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-037	cloak-04	pad
bf-038	245	4	cloak	garment	OS	Old Saxon	pēda	lexical form	no	garment	Germanic reflex of borrowing	One of the Germanic outcomes of the borrowed cloak word.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old Saxon	Indo-European	West Germanic	attested or source-cited	object / clothing	cloak	contextual analogy or borrowing example; not directly p/q in the main problem	pre-Germanic borrowing / naturalized nomad word example	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-038	cloak-05	peda
bf-039	245	4	cloak	cloak; shirt	OHG	Old High German	pfeit	lexical form	no	cloak, shirt	Germanic reflex of borrowing	One of the Germanic outcomes of the borrowed cloak word.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old High German	Indo-European	West Germanic	attested or source-cited	object / clothing	cloak	contextual analogy or borrowing example; not directly p/q in the main problem	pre-Germanic borrowing / naturalized nomad word example	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-039	cloak-06	pfeit
bf-040	245	4	oath	oath	unmarked	source form	*ojto-	lexical form	yes	oath	Germanic borrowing from Celtic example	Bennett gives *ojto- (OIr. oeth) > PGmc. *ajþa- > Go. aiþs.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Unmarked in source	uncertain	uncertain	reconstructed stem or component	legal / social term	oath	contextual analogy or borrowing example; not directly p/q in the main problem	Celtic-Germanic borrowing context	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-040	oath-01	*ojto-
bf-041	245	4	oath	oath	OIr.	Old Irish	oeth	lexical form	no	oath	Celtic comparator	Part of the oath borrowing example.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old Irish	Indo-European	Goidelic Celtic	attested or source-cited	legal / social term	oath	contextual analogy or borrowing example; not directly p/q in the main problem	Celtic-Germanic borrowing context	comparison	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-041	oath-02	oeth
bf-042	245	4	oath	oath	PGmc.	Proto-Germanic	*ajþa-	lexical form	yes	oath	Proto-Germanic borrowing outcome	*ojto- (OIr. oeth) > PGmc. *ajþa- > Go. aiþs.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Proto-Germanic	Indo-European	Germanic	reconstructed stem or component	legal / social term	oath	contextual analogy or borrowing example; not directly p/q in the main problem	Celtic-Germanic borrowing context	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-042	oath-03	*ajtha-
bf-043	245	4	oath	oath	Go.	Gothic	aiþs	lexical form	no	oath	Gothic outcome	Final form in the oath borrowing example.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Gothic	Indo-European	East Germanic	attested or source-cited	legal / social term	oath	contextual analogy or borrowing example; not directly p/q in the main problem	Celtic-Germanic borrowing context	supporting cited form	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-043	oath-04	aiths
bf-044	245	4	fortress/town	fortress	OIr.	Old Irish	dūn	lexical form	no	fortress	Celtic/Germanic borrowing example	OIr. dūn = OE tūn.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old Irish	Indo-European	Goidelic Celtic	attested or source-cited	settlement / built environment	fortress/town	contextual analogy or borrowing example; not directly p/q in the main problem	Celtic-Germanic borrowing context	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-044	fortress/town-01	dun
bf-045	245	4	fortress/town	enclosed area; town	OE	Old English	tūn	lexical form	no	enclosed area, town	Celtic/Germanic borrowing example	OE tūn is equated with OIr. dūn.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old English	Indo-European	West Germanic	attested or source-cited	settlement / built environment	fortress/town	contextual analogy or borrowing example; not directly p/q in the main problem	Celtic-Germanic borrowing context	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-045	fortress/town-02	tun
bf-046	245	4	wild	wild	Welsh	Welsh	gwyllt	lexical form	no	wild	Celtic/Germanic borrowing example	Welsh gwyllt = Go. wilþeis.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Welsh	Indo-European	Brittonic Celtic	attested or source-cited	quality / adjective	wild	contextual analogy or borrowing example; not directly p/q in the main problem	Celtic-Germanic borrowing context	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-046	wild-01	gwyllt
bf-047	245	4	wild	wild	Go.	Gothic	wilþeis	lexical form	no	wild	Celtic/Germanic borrowing example	Go. wilþeis is equated with Welsh gwyllt.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Gothic	Indo-European	East Germanic	attested or source-cited	quality / adjective	wild	contextual analogy or borrowing example; not directly p/q in the main problem	Celtic-Germanic borrowing context	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-047	wild-02	wiltheis
bf-048	245	4	four	four	Lat.	Latin	quattuor	lexical form	no	four	q-form comparator	Used to introduce Britannic /p/ reflexes of IE /kʷ/.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Latin	Indo-European	Italic	attested or source-cited	numeral	four	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Britannic replacement account for four	comparison	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-048	four-01	quattuor
bf-049	245	4	four	four	OIr.	Old Irish	cethir	lexical form	no	four	q-form comparator	Cited with OIr. cethair against Old Welsh petguar.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old Irish	Indo-European	Goidelic Celtic	attested or source-cited	numeral	four	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Britannic replacement account for four	comparison	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-049	four-02	cethir
bf-050	245	4	four	four	OIr.	Old Irish	cethair	lexical form	no	four	q-form comparator	Cited with OIr. cethir against Old Welsh petguar.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old Irish	Indo-European	Goidelic Celtic	attested or source-cited	numeral	four	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Britannic replacement account for four	comparison	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-050	four-03	cethair
bf-051	245; 246	4; 5	four	four	Old Welsh / OW	Old Welsh	petguar	lexical form	no	four	Britannic p-form	Used as Britannic comparator for replacement of *kʷet- by *pet-.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old Welsh	Indo-European	Brittonic Celtic	attested or source-cited	numeral	four	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Britannic replacement account for four	supporting cited form	p245;p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245;bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:245; Bennett 1969:246	bennett-1969-bf-051	four-04	petguar
bf-052	245; 246	4; 5	four-wheeled chariot	four-wheeled chariot	Gal.-Lat.	Gaulish-Latin	petorritum	lexical form	no	four-wheeled chariot	Britannic/Gaulish-Latin p-form	Used with Old Welsh petguar as evidence for *pet-.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Gallo-Latin / Gaulish-Latin	Indo-European	Celtic / Latin transmission	attested or source-cited	uncategorized	four-wheeled chariot	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Britannic replacement account for four	supporting cited form	p245;p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245;bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:245; Bennett 1969:246	bennett-1969-bf-052	four-wheeled chariot-01	petorritum
bf-053	245	4	four	four	IE	Indo-European	*kʷet-wóres	lexical form	yes	four	hypothetical retained q-form	If retained in pre-Germanic and shifted, it would yield PGmc. *xʷeðwōrez.			verified	verified: source accent represented as ó in wóres	Indo-European	Indo-European	Proto-Indo-European / IE-level reconstruction	hypothetical / expected	numeral	four	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Britannic replacement account for four	hypothetical expected development	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-053	four-05	*kwet-wores
bf-054	245	4	four	four element	IE	Indo-European	-wóres	lexical form	yes	four element	alternate/segment mentioned in source	Bennett writes IE *kʷet-wóres (and -wóres).	Included because explicitly given; not treated as a standalone lexical item.	reconstructed segment	verified	verified: source accent represented as ó in wóres	Indo-European	Indo-European	Proto-Indo-European / IE-level reconstruction	explicit source segment	numeral	four	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Britannic replacement account for four	supporting cited form	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-054	four-06	-wores
bf-055	245; 246	4; 5	four	four element	IE	Indo-European	*kʷet-	lexical form	yes	four element	q-form component	Component replaced by Brit. *pet- in Bennett’s borrowing account.		reconstructed stem	verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Indo-European	Indo-European	Proto-Indo-European / IE-level reconstruction	reconstructed stem or component	numeral	four	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Britannic replacement account for four	supporting cited form	p245;p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245;bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:245; Bennett 1969:246	bennett-1969-bf-055	four-07	*kwet-
bf-056	245	4	four	four	pre-Gmc.	pre-Germanic	*kʷet-wóres	lexical form	yes	four	hypothetical retained pre-Germanic q-form	Would become PGmc. *xʷeðwōrez under Proto-Germanic consonant shift.			verified	verified: source accent represented as ó in wóres	Pre-Germanic	Indo-European	Germanic	hypothetical / expected	numeral	four	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Britannic replacement account for four	hypothetical expected development	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-056	four-08	*kwet-wores
bf-057	245	4	four	four	PGmc.	Proto-Germanic	*xʷeðwōrez	lexical form	yes	four	hypothetical q-form Germanic outcome	Would have yielded Gothic *hvidwōr rather than fidwōr.			verified	verified: source has long ō in wōrez without acute accent	Proto-Germanic	Indo-European	Germanic	hypothetical / expected	numeral	four	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Britannic replacement account for four	hypothetical expected development	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-057	four-09	*xwedhworez
bf-058	246	5	four	four	Go.	Gothic	*hvidwōr	lexical form	yes	four	hypothetical Gothic outcome	The Gothic form would have been *hvidwōr, not fidwōr.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Gothic	Indo-European	East Germanic	hypothetical / expected	numeral	four	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Britannic replacement account for four	hypothetical expected development	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-058	four-10	*hvidwor
bf-059	246	5	four	four	Go.	Gothic	fidwōr	lexical form	no	four	actual Gothic p-form outcome	Explained by replacement of *kʷet- with Brit. *pet-.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Gothic	Indo-European	East Germanic	attested or source-cited	numeral	four	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Britannic replacement account for four	actual cited outcome	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-059	four-11	fidwor
bf-060	246	5	four	four element	Brit.	Britannic	*pet-	lexical form	yes	four element	Britannic p-form replacement	Replaces *kʷet- in Bennett’s account.	Source abbreviation: Brit.	reconstructed stem	verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Britannic / Brittonic Celtic	Indo-European	Brittonic Celtic	reconstructed stem or component	numeral	four	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Britannic replacement account for four	borrowing/replacement scenario	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-060	four-12	*pet-
bf-061	246	5	four	four	pre-Gmc.	pre-Germanic	*pet-wóres	lexical form	yes	four	pre-Germanic borrowed p-form	Became PGmc. *feðwōrez and Go. fidwōr.			verified	verified: source accent represented as ó in wóres	Pre-Germanic	Indo-European	Germanic	reconstructed	numeral	four	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Britannic replacement account for four	borrowing/replacement scenario	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-061	four-13	*pet-wores
bf-062	246	5	four	four	PGmc.	Proto-Germanic	*feðwōrez	lexical form	yes	four	Proto-Germanic p-form outcome	Derived from pre-Gmc. *pet-wóres.			verified	verified: source has long ō in wōrez without acute accent	Proto-Germanic	Indo-European	Germanic	reconstructed	numeral	four	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Britannic replacement account for four	supporting cited form	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-062	four-14	*fedhworez
bf-063	246	5	five	five	IE	Indo-European	*péŋkʷe	lexical form	yes	five	hypothetical retained q-form	Would have produced PGmc. *fiŋxʷe > *fīxʷe > Go. *feih.	Acute and ŋ restored from page image.		verified	verified: source has velar nasal, represented here as ŋ	Indo-European	Indo-European	Proto-Indo-European / IE-level reconstruction	hypothetical / expected	numeral	five	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Britannic replacement account for five contrasted with finger	hypothetical expected development	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-063	five-01	*pengkwe
bf-064	246	5	five	five	PGmc.	Proto-Germanic	*fiŋxʷe	lexical form	yes	five	hypothetical Germanic q-form outcome	Intermediate expected outcome from IE *péŋkʷe.			verified	verified: source has velar nasal, represented here as ŋ	Proto-Germanic	Indo-European	Germanic	hypothetical / expected	numeral	five	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Britannic replacement account for five contrasted with finger	hypothetical expected development	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-064	five-02	*fingxwe
bf-065	246	5	five	five	PGmc.	Proto-Germanic	*fīxʷe	lexical form	yes	five	hypothetical Germanic q-form outcome	Later expected outcome before Gothic *feih.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Proto-Germanic	Indo-European	Germanic	hypothetical / expected	numeral	five	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Britannic replacement account for five contrasted with finger	hypothetical expected development	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-065	five-03	*fixwe
bf-066	246	5	five	five	Go.	Gothic	*feih	lexical form	yes	five	hypothetical Gothic q-form outcome	Would have resulted if the pre-shifted form were not replaced by Brit. *pempe > *pimpe.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Gothic	Indo-European	East Germanic	hypothetical / expected	numeral	five	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Britannic replacement account for five contrasted with finger	hypothetical expected development	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-066	five-04	*feih
bf-067	246	5	five	five	Brit.	Britannic	*pempe	lexical form	yes	five	Britannic p-form replacement	Replaced the pre-shifted form according to Bennett.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Britannic / Brittonic Celtic	Indo-European	Brittonic Celtic	reconstructed	numeral	five	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Britannic replacement account for five contrasted with finger	borrowing/replacement scenario	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-067	five-05	*pempe
bf-068	246	5	five	five	Brit.	Britannic	*pimpe	lexical form	yes	five	Britannic p-form replacement	Continuation of Brit. *pempe in Bennett’s account.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Britannic / Brittonic Celtic	Indo-European	Brittonic Celtic	reconstructed	numeral	five	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Britannic replacement account for five contrasted with finger	borrowing/replacement scenario	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-068	five-06	*pimpe
bf-069	246	5	five	five	OW	Old Welsh	pimp	lexical form	no	five	Old Welsh p-form comparator	Cited parenthetically after Brit. *pempe > *pimpe.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old Welsh	Indo-European	Brittonic Celtic	attested or source-cited	numeral	five	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Britannic replacement account for five contrasted with finger	comparison	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-069	five-07	pimp
bf-070	246	5	five	five	Go.	Gothic	fimf	lexical form	no	five	actual Gothic p-form outcome	Result after borrowed/replaced p-form shifted regularly in Proto-Germanic.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Gothic	Indo-European	East Germanic	attested or source-cited	numeral	five	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Britannic replacement account for five contrasted with finger	actual cited outcome	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-070	five-08	fimf
bf-071	246	5	five/finger	five element	unmarked	pre-shifted stem	*pimp-	lexical form	yes	five element	unused replacement in finger	Bennett notes that this stem was not introduced in the word for finger.		reconstructed stem	verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Unmarked in source	uncertain	uncertain	hypothetical / expected	numeral / body-part bridge	five/finger	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Britannic replacement account for five contrasted with finger	borrowing/replacement scenario	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-071	five/finger-01	*pimp-
bf-072	246	5	finger	finger	IE	Indo-European	*peŋkʷrós	lexical form	yes	finger	q-form retained in finger	IE *peŋkʷrós > PGmc. *fiŋg(w)raz > Go. figgrs.	Corrected against page image: no t; velar nasal ŋ; acute on final ó.		verified	verified: source has velar nasal, represented here as ŋ	Indo-European	Indo-European	Proto-Indo-European / IE-level reconstruction	reconstructed	body part	finger	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Britannic replacement account for five contrasted with finger	supporting cited form	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-072	finger-01	*pengkwros
bf-073	246	5	finger	finger	PGmc.	Proto-Germanic	*fiŋg(w)raz	lexical form	yes	finger	Proto-Germanic outcome	Outcome from IE *peŋkʷrós.			verified	verified: source has velar nasal, represented here as ŋ	Proto-Germanic	Indo-European	Germanic	reconstructed	body part	finger	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Britannic replacement account for five contrasted with finger	supporting cited form	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-073	finger-02	*fingg(w)raz
bf-074	246	5	finger	finger	Go.	Gothic	figgrs	lexical form	no	finger	actual Gothic q-form outcome	Actual Gothic result for finger.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Gothic	Indo-European	East Germanic	attested or source-cited	body part	finger	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Britannic replacement account for five contrasted with finger	actual cited outcome	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-074	finger-03	figgrs
bf-075	246	5	finger	finger	pre-shifted	pre-shifted form	*pimprós	lexical form	yes	finger	hypothetical p-form replacement	If *pimp- had been introduced into finger, this would have yielded Go. *fimbrs.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Pre-shifted form	Indo-European	pre-Germanic / pre-consonant-shift context	hypothetical / expected	body part	finger	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Britannic replacement account for five contrasted with finger	hypothetical expected development	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-075	finger-04	*pimpros
bf-076	246	5	finger	finger	Go.	Gothic	*fimbrs	lexical form	yes	finger	hypothetical Gothic p-form outcome	Hypothetical result from pre-shifted *pimprós.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Gothic	Indo-European	East Germanic	hypothetical / expected	body part	finger	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Britannic replacement account for five contrasted with finger	hypothetical expected development	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-076	finger-05	*fimbrs
