display_form,count,first_page,sample_context
*njiva,1,25,"‘new ground’. The Slavic form *njiva can regularly continue *njūva, which has been consid-"
*njı,1,24,njȉva f. ‘(arable) field’ < *njı`va
*njūva,1,25,"‘new ground’. The Slavic form *njiva can regularly continue *njūva, which has been consid-"
*noik-néh₂-,1,25,"ularly continue *noik-néh₂- (with Kluge’s law). Together, these formations secure a shared"
*nu-h₂,1,25,ered a contamination of the PSl. outcomes of *neu-h₂ and a zero-grade form *nu-h₂ [47:303–
*né(h₁)i-,1,25,4]. While it is possible to explain both formations as continuations of a neuter u-stem *né(h₁)i-
*né(h₁)i-u-h₂,1,25,"u, gen. *n(h₁)i-éu-s, pl. *né(h₁)i-u-h₂, the many formal ambiguities cast doubt on the validity of"
*oN,1,6,"(whence also Hitt. dūni- ‘a pastry’), because it does not show the expected change of *oN >"
*o^ketā,1,13,"*Hoket-(i)eh₂- (*o^ketā ‘Egge, Gera¨t mit Spitzen’ [44:18–22]; *h₁/₄okétehₐ- ‘harrow, rake’"
*oke/itā,2,13,MBret. oguet ‘harrow’ < PC *oke/itā
*oketa,1,13,"Slavic-speaking groups. Neither *oteka nor metathesized *oketa is attested in Slavic, however."
*okitā-,1,13,"from *okitā- as well, but since *ageþjō- is an alternative reconstruction, it may be closer to the"
*olca,1,25,field’  Gaul. *olca < PC *ϕolkā
*orje/o-,1,12,"OCS orati, Ru. dial. orát’ (orjú), SCr. òrati < PSl. *orje/o-; Go. arjan, ON erja, OE erian,"
*otVkā-(?),1,13,"rake(?), hayrack’, Ital. dial. (Triento) oca ‘harrow’ < *otVkā-(?); OW ocet, Corn. ocet,"
*oteka,1,13,"Slavic-speaking groups. Neither *oteka nor metathesized *oketa is attested in Slavic, however."
*ovьsъ,2,19,‘id.’ < PSl. *ovьsъ; Lat. avēna ‘oats’ < PIt. *awe(C)snā-
*oḱketā.,1,42,"Boryś W. Słowiańskie relikty indoeuropejskiej nazwy brony (wschsłow. osetь, pol. jesieć a ie. *oḱketā."
*p,1,16,"pīsäl ‘chaff (of grain), husk’ < PTo. *p’əs-l-; Skt. peṣ‘crush, grind’, YAv. pišaṇt- ‘crushing,"
*p.,2,18,cognate since it contains no reflex of *p.
*pais-ī/ā-,1,16,"(off) chaff from grain’, Latv. pàisît ‘pound or break flax’ < PB *pais-ī/ā-; Ru. pšenó n. ‘mil-"
*paista-,1,16,"*paista- and MDu. visel, Du. vijzel c. ‘mortar, pestle’ < PGm. *fīsila-. We may further connect"
*paisˇ-,1,16,"bruising’ < PIIr. *paisˇ-; Gk. πτίσσω ‘grind, winnow’ < PGk. *pis-i̯e/o-; Lith. paisýti ‘beat"
*palejā-,1,17,"found. Lat. palea f. ‘chaff, dross, straw’ can be taken back to PIt. *palejā- < *plH-ei-eh₂-, with a"
*palwa-,1,16,chaff and dust from harvested grain’ < PAlb. *palwa- < *polH-uo-. In addition to these full-
*pang-,1,15,"†*pano- (*pank-, *pang- ‘Bu¨schel der Hirse’ [44:789];? *pano- ~ *paniko/ehₐ- ‘millet’ [18:383];"
*paniko/ehₐ-,1,15,"†*pano- (*pank-, *pang- ‘Bu¨schel der Hirse’ [44:789];? *pano- ~ *paniko/ehₐ- ‘millet’ [18:383];"
*pank-,1,15,"†*pano- (*pank-, *pang- ‘Bu¨schel der Hirse’ [44:789];? *pano- ~ *paniko/ehₐ- ‘millet’ [18:383];"
*pano-,4,3,*pano- ‘millet’
*par(H)āu̯,1,16,"palā́va- m. ‘chaff, husks’ < PIIr. *par(H)āu̯ a-; Lith. pẽlūs m.pl. ‘chaff’, Latv. pęlus f.pl."
*pe(i)s-,1,16,"[135:167]; *peis- ‘grind’) [10]:? Hitt. peš(š)-zⁱ ‘rub, scrub’ < PAn. *pe(i)s-; ToA psäl, ToB"
*pe/olou̯,1,16,"SCr. pljȅva f. ‘chaff’ < PSl. *pèlva;? Lat. pulvis, -eris n. ‘dust, powder’ < PIt. *pe/olou̯ -"
*peis-,10,3,*peis- ‘grind’
*pelH-,3,16,"It is possible to derive the u-stem from a root *pelH-, as found in Gk. πάλλω ‘sway, rock’,"
*pelH-m-.,1,17,"[63:323], can alternatively be derived from *pelH-m-. No certain cognates are available from"
*pelH-ou-,1,16,"*pelH-ou- (*pelṓus, *pelu̯-ós [44:802]; *pelo/ehₐ- ‘chaff’ [18:104]; *pelo/eh₂- ‘chaff’ [10]): Skt."
*pelH-u-,2,28,Indo-European meaning of *pelH-u- cannot have been ‘chaff’; this meaning is dominant only
*pelVu̯-,1,16,"after cinis, -eris n. ‘dust’ [46:257], probably continues the same formation, i.e. PIt. *pelVu̯- or"
*pelh₂-,1,17,"Tocharian or Anatolian. A possible continuant of a root *pelh₂- is found in Hitt. (Luw.) palḫ-,"
*pelo/eh₂-,1,16,"*pelH-ou- (*pelṓus, *pelu̯-ós [44:802]; *pelo/ehₐ- ‘chaff’ [18:104]; *pelo/eh₂- ‘chaff’ [10]): Skt."
*pelo/ehₐ-,1,16,"*pelH-ou- (*pelṓus, *pelu̯-ós [44:802]; *pelo/ehₐ- ‘chaff’ [18:104]; *pelo/eh₂- ‘chaff’ [10]): Skt."
*pelu̯-ós,1,16,"*pelH-ou- (*pelṓus, *pelu̯-ós [44:802]; *pelo/ehₐ- ‘chaff’ [18:104]; *pelo/eh₂- ‘chaff’ [10]): Skt."
*pelʔu(a)ʔ,1,16,"‘chaff’, OPru. EV pelwo ‘chaff’ < PB *pelʔu(a)ʔ; OCS plěvy f.pl. ‘chaff’, Ru. polóva f. ‘chaff’,"
*pelṓus,1,16,"*pelH-ou- (*pelṓus, *pelu̯-ós [44:802]; *pelo/ehₐ- ‘chaff’ [18:104]; *pelo/eh₂- ‘chaff’ [10]): Skt."
*pers-ons,1,18,potentially stronger candidate for a core Indo-European verbal syntagm *pers-ons gʷʰen-ti
*pes-,1,16,"ToA psäl, ToB pīsäl ‘chaff’, which has previously been connected to a verbal base *pes- ‘blow’"
*peuH-,4,21,"cereal term was derived directly from the root *peuH- ‘clean’, cf. Skt. pavⁱ ‘become clean’, after"
*peuH-.,1,21,It is possible that *puH-ro- was derived from an inherited element *peuH-. Since it is for-
*pins-e/o-,1,16,"Lat. pīnsō ‘crush, pound’ < PIt. *pins-e/o-"
*pis-i̯e/o-,1,16,"bruising’ < PIIr. *paisˇ-; Gk. πτίσσω ‘grind, winnow’ < PGk. *pis-i̯e/o-; Lith. paisýti ‘beat"
*plH-eh₂-.,1,17,"collective suffix. Gk. πάλη ‘fine flour, dust’ appears to continue *plH-eh₂-. In addition, Alb."
*plH-ei-eh₂-,1,17,"found. Lat. palea f. ‘chaff, dross, straw’ can be taken back to PIt. *palejā- < *plH-ei-eh₂-, with a"
*plH-u-,1,16,"grade forms, a zero-grade root variant *plH-u- may possibly have served as the base for Gk."
*plH-u-ós,1,16,"An amphidynamic u-stem *pélH-ou-, *plH-u-ós, can be reconstructed on the basis of Indo-"
*polH-o-,1,25,from *polH-o- ‘field’ [47:288].
*polH-uo-.,1,16,chaff and dust from harvested grain’ < PAlb. *palwa- < *polH-uo-. In addition to these full-
*polVu̯-.,1,16,"*polVu̯-. Alternatively, it can be grouped with ON fǫl n. ‘thin layer of snow’ < *falwa- (whence"
*pol^kéhₐ,1,25,"*polḱ-eh₂- (*pol^kā ‘Gewendetes’ [44:807, 850]; *pol^kéhₐ ‘± fallow land’ [18:200]):? ORu. polosa"
*pol^kā,1,25,"*polḱ-eh₂- (*pol^kā ‘Gewendetes’ [44:807, 850]; *pol^kéhₐ ‘± fallow land’ [18:200]):? ORu. polosa"
*polsa,1,25,"f. ‘strip of land’, Cr. dial. plȁsa f. ‘treeless land’ < PSl. *polsa; OE fealg, MDu. valghe, G Bav."
*polḱ-eh₂-,1,25,"*polḱ-eh₂- (*pol^kā ‘Gewendetes’ [44:807, 850]; *pol^kéhₐ ‘± fallow land’ [18:200]):? ORu. polosa"
*polḱk-eh2-,1,29,*polḱk-eh2-
*porkā,1,25,"f. ‘furrow’, OHG furh, furuh f. ‘furrow’ < PGm. *furh-; Lat. porca f. ‘furrow’ < PIt. *porkā;"
*pou-io-,1,21,"adduce Alb. pah m. ‘flour, chaff, dust’ < *pouH-sk-o- (not *pou-io- [187:47]), possibly derived"
*pouH-,1,21,"attests a causative(-iterative?) formation, i.e. OHG fewen, fouwen ‘sift (ashes, dust)’ < *pouH-"
*pouH-sk-o-,1,21,"adduce Alb. pah m. ‘flour, chaff, dust’ < *pouH-sk-o- (not *pou-io- [187:47]), possibly derived"
*pra(ś)a-,1,21,†*proḱ-so- (?*pro^kom [19:81]): ToB proksa pl. ‘?’; OPru. prassan ‘millet’ < PWB *pra(ś)a- (if
*proso,1,21,"not < Sl.); OCS proso, Ru. próso, SCr. prȍso n. ‘millet’ < PSl. *proso"
*proḱk-so-,2,21,The Tocharian and Balto-Slavic forms have been connected through a protoform *proḱk-so-
*pr̥^kā,1,25,"*prḱ(-eh₂)- (*pr̥^kā ‘Furche’ [44:821]; *pŕ̥^kehₐ [18:215]): ON for f. ‘rivulet; mud’, OE furh, fyrh"
*prḱ(-eh₂)-,1,25,"*prḱ(-eh₂)- (*pr̥^kā ‘Furche’ [44:821]; *pŕ̥^kehₐ [18:215]): ON for f. ‘rivulet; mud’, OE furh, fyrh"
*puH-ro-,7,21,"*puH-ro- (*pū-ro- ‘Korn(frucht)’ [44:850]; *puHₓrós [18:639]; *pūrós [19:190]): Gk. πῡρόB, pl."
*puH-sk-e/o-.,1,21,"from a secondary sk-present *puH-sk-e/o-. In the West European centum languages, Germanic"
*puHₓrós,1,21,"*puH-ro- (*pū-ro- ‘Korn(frucht)’ [44:850]; *puHₓrós [18:639]; *pūrós [19:190]): Gk. πῡρόB, pl."
*puʔra-,1,21,"‘winter wheat’, Latv. pùr̨i m.pl. ‘winter wheat’ < PB *puʔra-; CS pyro n. ‘spelt’, SCr. pȉr m."
*puʔra-.,1,21,"PB *puʔriaʔ-, likely derived from the same base *puʔra-. A similarly secondary formation"
*puʔriaʔ-,1,21,"PB *puʔriaʔ-, likely derived from the same base *puʔra-. A similarly secondary formation"
*pyro,1,21,"‘spelt’ < PSl. *pyro, *pyrъ"
*pyrъ,1,21,"‘spelt’ < PSl. *pyro, *pyrъ"
*pyrьjь,1,21,"*pyrьjь, derived with a suffix *-iHo-, exists in Slavic, cf. Ru. pyréj, Pol. perz m. ‘couch grass’."
*pèlva,1,16,"SCr. pljȅva f. ‘chaff’ < PSl. *pèlva;? Lat. pulvis, -eris n. ‘dust, powder’ < PIt. *pe/olou̯ -"
*pélH-ou-,1,16,"An amphidynamic u-stem *pélH-ou-, *plH-u-ós, can be reconstructed on the basis of Indo-"
*pŕ̥^kehₐ,1,25,"*prḱ(-eh₂)- (*pr̥^kā ‘Furche’ [44:821]; *pŕ̥^kehₐ [18:215]): ON for f. ‘rivulet; mud’, OE furh, fyrh"
*pū-ro-,1,21,"*puH-ro- (*pū-ro- ‘Korn(frucht)’ [44:850]; *puHₓrós [18:639]; *pūrós [19:190]): Gk. πῡρόB, pl."
*pūro-,1,21,πῡροί m. ‘wheat’ (whence Ge. ṗuri ‘bread’ [183:190]) < PGk. *pūro-; Lith. pūraĩ m.pl.
*pūrós,1,21,"*puH-ro- (*pū-ro- ‘Korn(frucht)’ [44:850]; *puHₓrós [18:639]; *pūrós [19:190]): Gk. πῡρόB, pl."
*pьsˇeno,1,16,"let’, Sln. pšénọn. ‘peeled grain, millet’ < PSl. *pьsˇeno; OHG fesa f. ‘chaff’ < PGm. *fisōn-;"
*rikī/i̯o-,1,22,"the meaning ‘rye’. The British word may derive from divergent *rikī/i̯o- or *rukī/i̯o-, if not bor-"
*ruggan-,1,22,"roggo, OHG rocko m. ‘rye’ < *ruggan-; MW ryc, W rhyg m. ‘rye’ <? PC *rukī/i̯o-"
*rugh-i-,1,29,*rugh-i-
*rughis,3,21,"*rugʰ-i- (*rughi̯o- ‘Roggen’ [44:874]; *rughis [18:8, 432, 490]; *rughis / *rughyos [19:110–1];"
*rughi̯o-,1,21,"*rugʰ-i- (*rughi̯o- ‘Roggen’ [44:874]; *rughis [18:8, 432, 490]; *rughis / *rughyos [19:110–1];"
*rughyo-,1,21,"*rughis ~ *rughyo- ‘rye’ [135:164]): Lith. rugiaĩ, Latv. rudzi m.pl. ‘rye’, OPru. EV rugis"
*rughyos,1,21,"*rugʰ-i- (*rughi̯o- ‘Roggen’ [44:874]; *rughis [18:8, 432, 490]; *rughis / *rughyos [19:110–1];"
*rugi-,2,21,"‘Rocke’ < PB *rugi-; ORu. rъžь, Cz. rež, SCr. rȃž f. ‘rye’ < PSl. *rьzˇь; Proto-Permic *ruʒ́äg"
*rugʰ-i-,2,21,"*rugʰ-i- (*rughi̯o- ‘Roggen’ [44:874]; *rughis [18:8, 432, 490]; *rughis / *rughyos [19:110–1];"
*rukī/i̯o-,2,22,"roggo, OHG rocko m. ‘rye’ < *ruggan-; MW ryc, W rhyg m. ‘rye’ <? PC *rukī/i̯o-"
*ruǰa/ika-(?),1,22,"PIr. *ruǰa/ika-(?); ON rugr m. ‘rye’, OE ryge m. ‘rye’ < PGm. *rugi-; OFri. rogga, OS"
*ruǰaka-,1,22,"fix *-äg, these have been adduced to substantiate a Proto-Iranian form *ruǰaka- or *ruǰika-"
*ruǰika-,1,22,"fix *-äg, these have been adduced to substantiate a Proto-Iranian form *ruǰaka- or *ruǰika-"
*ruȷ̌ika-,1,22,"66; 190:876–7], adduced to substantiate PIIr. *ruȷ̌ika-, rather continue *rārza- [104:283;"
*ruʒ́äg,1,21,"‘Rocke’ < PB *rugi-; ORu. rъžь, Cz. rež, SCr. rȃž f. ‘rye’ < PSl. *rьzˇь; Proto-Permic *ruʒ́äg"
*ruʒ́äg.,1,22,"ruʒ́e̮g, Udm. ʒ́eg, dial. ʒ́iźek, which appear to continue Proto-Permic *ruʒ́äg. In view of the suf-"
*rārza-,1,22,"66; 190:876–7], adduced to substantiate PIIr. *ruȷ̌ika-, rather continue *rārza- [104:283;"
*r̥,1,7,the problem can be resolved by assuming that syllabic *r̥ did not cause depalatalization
*rϕ,1,18,"ond, full-grade formation *serp-eh₂-. The change PC *rϕ > rr is unconfirmed, however"
*rьzˇь,1,21,"‘Rocke’ < PB *rugi-; ORu. rъžь, Cz. rež, SCr. rȃž f. ‘rye’ < PSl. *rьzˇь; Proto-Permic *ruʒ́äg"
*s,1,42,Matasović R. The etymology of Latin focus and the devoicing of final stops before *s in Proto-Indo-
*sHdʰ-ie/o-.,1,17,with Ved. sidhyati ‘succeeds’ < *sHdʰ-ie/o-.
*sagetlā,1,25,"gl. stipa, W haeddel f., MBret. haezl, MoBret. hael ‘plow handle’ < PBr. *sagetlā <? PC"
*sarfa-,1,17,"Du. obs. zerp adj. ‘severe, sharp’ < PGm. *sarpa- (not *sarfa- [pace 44:911–2] < *sorp-nó-"
*sarpa-,1,17,"Du. obs. zerp adj. ‘severe, sharp’ < PGm. *sarpa- (not *sarfa- [pace 44:911–2] < *sorp-nó-"
*sas(H)a-,1,17,"‘pertaining to grain’ < *sas(H)i̯a-; Skt. sasá- n.(?) ‘corn-field, corn’ < *sas(H)a-; W haidd,"
*sas(H)i̯a,1,17,"2]; *ses(i)o- ‘± grain’ [10]): Skt. sasyá- n. ‘corn, grain’ < PIIr. *sas(H)i̯a; YAv. hahiia- adj."
*sas(H)i̯a-,1,17,"‘pertaining to grain’ < *sas(H)i̯a-; Skt. sasá- n.(?) ‘corn-field, corn’ < *sas(H)a-; W haidd,"
*sas-i̯o-,1,17,alternative reconstructions *sas-i̯o- [44:880; 104:23] and *sh₁s-io- [21:57] appear to be primar-
*sasa-,1,17,and thus presupposes PIIr. *sasa- < PIE *ses-o- [155] or *se-sh₁-o- [156:180]. A formal resem-
*sasia,2,17,"Italy. The term has been emended to *sasia, so as to compare it to alleged Proto-Celtic *sasi̯o-"
*sasi̯o-,2,17,"*se-sh₁-io- (*sasi̯o- ‘Feldfrucht’ [44:880]; *ses(i̯)ó- ‘grain, fruit’ [18:236]; *sᵉsyā, *sᵉsyom [19:41–"
*sasi̯ā,1,17,and the double ss implied by the Occitan material can be explained neither from PC *sasi̯ā nor
*sassia.,1,17,"and some Occitan words including Cat. xeixa, Val. seixa ‘white wheat’ < PRom. *sassia. How-"
*saǵʰ-,1,25,require an onset *saǵʰ- while the Greek requires *seǵʰ-. Pokorny offers a now-obsolete PIE
*sd,2,7,"PIE *sd [70:145, 149], in which case drithë may straightforwardly be derived from PAlb."
*sdʰ,1,7,"*drisdā < *ǵʰrsd-eh₂-. Alternatively, we can assume that *sd and *sdʰ both became dh, but that"
*se-sh₁-io-,3,17,"*se-sh₁-io- (*sasi̯o- ‘Feldfrucht’ [44:880]; *ses(i̯)ó- ‘grain, fruit’ [18:236]; *sᵉsyā, *sᵉsyom [19:41–"
*se-sh₁-o-,1,17,and thus presupposes PIIr. *sasa- < PIE *ses-o- [155] or *se-sh₁-o- [156:180]. A formal resem-
*se-sh₁-o-.,1,27,"cognates such as Hitt. šēša-, which cannot regularly be derived from *se-sh₁-o-. It is particularly"
*se^ghedhlā,1,25,*seg´ʰ-e-tleh₂- (*se^ghedhlā [44:888–9]): Gk. ἐχέτλη f. ‘plow handle’ < PGk. *sekʰetlā; OW edil
*segetlā,1,25,*segetlā
*seg´ʰ-e-tleh₂-,1,25,*seg´ʰ-e-tleh₂- (*se^ghedhlā [44:888–9]): Gk. ἐχέτλη f. ‘plow handle’ < PGk. *sekʰetlā; OW edil
*seg´ʰ-e-tleh₂-).,1,6,"> PBr. *a before *ge, *gi [51:134–41] (see under *seg´ʰ-e-tleh₂-)."
*seh1-,2,3,*seh1- ‘sow’
*seh₁-,3,17,"formation to the root *seh₁- ‘sow’, extended with the collective io-suffix. If correct, the underly-"
*seh₁-li-,1,26,"*seh₁-li- [75:743–4; 207:541], the meaning ‘sow’ must already have been present in Indo-Ana-"
*seh₁-men-,1,26,"*seh₁-men- (*sē-men- ‘Samen’ [44:889–91]; *seh₁mn̥ [19:118]): Lith. sėmenys pl. ‘linseed’,"
*seh₁mn̥,1,26,"*seh₁-men- (*sē-men- ‘Samen’ [44:889–91]; *seh₁mn̥ [19:118]): Lith. sėmenys pl. ‘linseed’,"
*sekʰetlā,1,25,*seg´ʰ-e-tleh₂- (*se^ghedhlā [44:888–9]): Gk. ἐχέτλη f. ‘plow handle’ < PGk. *sekʰetlā; OW edil
*selk-,3,26,"Two formations in the European centum languages derived from the root *selk- ‘draw’, cf."
*serp-,4,17,"*srp-o/eh₂- (*serp- ‘Sichel, krummer Haken’ [44:911–2]; *sŕ̥po/ehₐ- ‘sickle’ [18:8]; *srpo/eh₂-"
*serp-eh₂-.,1,18,"ond, full-grade formation *serp-eh₂-. The change PC *rϕ > rr is unconfirmed, however"
*sers-eh₂-,1,18,"tially cognate with or even borrowed from Lat. serra f. ‘saw’ < *sers-eh₂-, cf. Lat. sar(r)iō ‘hoe,"
*sersā,1,18,"[160:154b; 161:389], and the Old Irish word can alternatively be derived from *sersā, poten-"
*serϕā,1,18,"In addition, OIr. serr f. ‘sickle’ is often derived from PC *serϕā, which would continue a sec-"
*ses(i)o-,1,17,"2]; *ses(i)o- ‘± grain’ [10]): Skt. sasyá- n. ‘corn, grain’ < PIIr. *sas(H)i̯a; YAv. hahiia- adj."
*ses(i)o´s,1,3,*ses(i)o´s ‘± grain’
*ses(i̯)ó-,1,17,"*se-sh₁-io- (*sasi̯o- ‘Feldfrucht’ [44:880]; *ses(i̯)ó- ‘grain, fruit’ [18:236]; *sᵉsyā, *sᵉsyom [19:41–"
*ses-io-,2,17,A reconstruction *ses-io- has been proposed on the basis of Celtic and Indo-Iranian. The
*ses-o-,1,17,and thus presupposes PIIr. *sasa- < PIE *ses-o- [155] or *se-sh₁-o- [156:180]. A formal resem-
*sesi̯o-,1,17,"Corn. hêth, Bret. heiz ‘barley’ < PC *sesi̯o-"
*se¯man-,1,26,‘seed’ < PGm. *se¯man-; Lat. sēmen n. ‘seed’ < PIt. *se¯men-
*se¯men-,1,26,‘seed’ < PGm. *se¯man-; Lat. sēmen n. ‘seed’ < PIt. *se¯men-
*seǵh-e-tleh2-,1,30,*seǵh-e-tleh2-
*seǵʰ-,2,25,"*seǵʰ- ‘hold firmly’ (cf. Gk. ἔχω ‘have, hold’) [180:495]. The Brittonic material appears to"
*seǵʰ-.,1,25,require an onset *saǵʰ- while the Greek requires *seǵʰ-. Pokorny offers a now-obsolete PIE
*seʔ-men-,1,26,"OPru. semen ‘seed’ < PB *seʔ-men-; OCS sěmę n. ‘seed’ < PSl. *seˇmę; OS, OHG sāmo m."
*seˇmę,1,26,"OPru. semen ‘seed’ < PB *seʔ-men-; OCS sěmę n. ‘seed’ < PSl. *seˇmę; OS, OHG sāmo m."
*sh₁-oi-,2,17,"ground)’, cf. Hitt. šai-ⁱ ‘impress, prick’ < *sh₁-oi- [125:504]. If correct, the creation of the for-"
*sh₁s-io-,1,17,alternative reconstructions *sas-i̯o- [44:880; 104:23] and *sh₁s-io- [21:57] appear to be primar-
*sirp(i)a-,1,17,"‘sickle’ [10]): Gk. ἅρπη f. ‘sickle’ < PGk. *sr̥ pā-; Latv. sirpis, sìrps m. ‘sickle’ < PB *sirp(i)a-;"
*slk-,1,28,"ToB sälk- and Gk. ἕλκω, served as the basis for a root noun *slk- ‘furrow; plow’ in Germanic"
*solk-o-,2,26,"*solk-o- (*solko-s ‘Zug’ [44:901]): Gk. ὁλκόB m. ‘hauling-engine; furrow, track; ditch, channel’"
*solko-,1,26,< *holko-; Lat. sulcus m. ‘furrow’ < PIt. *solko-
*solko-s,1,26,"*solk-o- (*solko-s ‘Zug’ [44:901]): Gk. ὁλκόB m. ‘hauling-engine; furrow, track; ditch, channel’"
*sorp-nó-,1,17,"Du. obs. zerp adj. ‘severe, sharp’ < PGm. *sarpa- (not *sarfa- [pace 44:911–2] < *sorp-nó-"
*sper-,5,26,"This formation, clearly derived from the PIE root *sper-, appears shared between Greek and"
*spor-eh₂-,2,26,"*spor-eh₂- (*sporáH₂ [19:119]): Gk. σπορά f. ‘seed’; Alb. farë f. ‘seed, sperm’ < PAlb. *farā"
