page,line,headword,gloss,class,heading
28,1078,*abalnā,apple-tree,Noun,*abalnā 'apple-tree' [Noun]
28,1089,*abalo-,apple,Noun,*abalo- 'apple' [Noun]
28,1109,*abanko-,beaver,Noun,*abanko- 'beaver' [Noun]
28,1113,*abon-,river,Noun,*abon- 'river' [Noun]
29,1140,*abrant-,eyelid,Noun,*abrant- 'eyelid' [Noun]
29,1144,*ad,to,Prep,*ad 'to' [Prep]
29,1159,*ada,hawthorn,Noun,*ada 'hawthorn' [Noun]
30,1172,*ad-ber-tā,"offering, victim",Noun,"*ad-ber-tā 'offering, victim' [Noun]"
30,1180,*ad-dam-yo-,"allow, permit",Vb,"*ad-dam-yo- 'allow, permit' [Vb]"
30,1188,*adestu-,merit,Noun,*adestu- 'merit' [Noun]
30,1192,*ad-kʷis-o-,see,Vb,*ad-kʷis-o- 'see' [Vb]
30,1201,*ad-kubro-,wish,Noun,*ad-kubro- 'wish' [Noun]
30,1217,*ad-ret-o-,"reach, grasp",Vb,"*ad-ret-o- 'reach, grasp' [Vb]"
31,1227,*ad-sad-yo-,very easy,Adverb,*ad-sad-yo- 'very easy' [Adverb]
31,1231,*ad-tekʷ-o-,"run to, approach",Vb,"*ad-tekʷ-o- 'run to, approach' [Vb]"
31,1240,*ad(u)-,law,Noun,*ad(u)- 'law' [Noun]
31,1255,*āg-V-,fear,Vb,*āg-V- 'fear' [Vb]
31,1269,*aglo-,"brood, litter",Noun,"*aglo- 'brood, litter' [Noun]"
32,1281,*aglo-,"wound, affliction",Noun,"*aglo- 'wound, affliction' [Noun]"
32,1294,*ag-o-,drive,Vb,*ag-o- 'drive' [Vb]
32,1309,*agos-,cow,Noun,*agos- 'cow' [Noun]
33,1339,*agro-,"carnage, battle",Noun,"*agro- 'carnage, battle' [Noun]"
33,1354,*akro-,high,Adj,*akro- 'high' [Adj]
33,1370,*alal(i)yo-,"another, other",Pron,"*alal(i)yo- 'another, other' [Pron]"
34,1385,*alamo-,"herd, flock, movable proprety",Noun,"*alamo- 'herd, flock, movable proprety' [Noun]"
34,1395,*albiyo-,world,Noun,*albiyo- 'world' [Noun]
34,1408,*alnostu-,"sweat, perspiration",Noun,"*alnostu- 'sweat, perspiration' [Noun]"
35,1425,*al-o-,"feed, raise",Vb,"*al-o- 'feed, raise' [Vb]"
35,1439,*alten-,razor,Noun,*alten- 'razor' [Noun]
35,1453,*altiyo-,"fosterling, client",Noun,"*altiyo- 'fosterling, client' [Noun]"
35,1461,*alto-,"height, cliff",Noun,"*alto- 'height, cliff' [Noun]"
36,1475,*altr-awon-,foster-uncle,Noun,*altr-awon- 'foster-uncle' [Noun]
36,1488,*alyo-,other,Pron,*alyo- 'other' [Pron]
36,1505,*am-o-,wash,Vb,*am-o- 'wash' [Vb]
37,1525,*amaro-,"wailing, crying",Noun,"*amaro- 'wailing, crying' [Noun]"
37,1531,*ambaxto-,servant,Noun,*ambaxto- 'servant' [Noun]
37,1542,*amben-,butter,Noun,*amben- 'butter' [Noun]
37,1565,*ambi-,around,Prep,*ambi- 'around' [Prep]
37,1577,*ambi-gʷan-o-,fight (each other),,*ambi-gʷan-o- 'fight (each other)'
38,1587,*ambi-gab-,meet,Vb,*ambi-gab- 'meet' [Vb]
38,1595,*ambi-rād-ī-,think,Vb,*ambi-rād-ī- 'think' [Vb]
38,1602,*ambliyon-,navel,Noun,*ambliyon- 'navel' [Noun]
38,1612,*amo-,time,Noun,*amo- 'time' [Noun]
38,1622,*amsterā,"time, moment",Noun,"*amsterā 'time, moment' [Noun]"
39,1643,*ana-,remain,Vb,*ana- 'remain' [Vb]
39,1663,*anami,"blemish, fault",Noun,"*anami 'blemish, fault' [Noun]"
39,1679,*anamon-,soul,Noun,*anamon- 'soul' [Noun]
40,1694,*anatla,breath,Noun,*anatla 'breath' [Noun]
40,1709,*andera,young woman,Noun,*andera 'young woman' [Noun]
40,1725,*andom,"inside, there",Adverb,"*andom 'inside, there' [Adverb]"
41,1743,*aneg-tlo-,"refuge, protection",Noun,"*aneg-tlo- 'refuge, protection' [Noun]"
41,1754,*angʷina,nail,Noun,*angʷina 'nail' [Noun]
41,1769,*angu-,narrow,Adj,*angu- 'narrow' [Adj]
42,1800,*ankoto-,"hook, paw",Noun,"*ankoto- 'hook, paw' [Noun]"
42,1815,*anku-,death,Noun,*anku- 'death' [Noun]
43,1837,*anman,name,Noun,*anman 'name' [Noun]
43,1859,*an-men-V-,"patience, forbearance",Noun,"*an-men-V- 'patience, forbearance' [Noun]"
43,1874,*anniyo-,ring,Noun,*anniyo- 'ring' [Noun]
44,1889,*ansyo-,reins,Noun,*ansyo- 'reins' [Noun]
44,1898,*anto-,"border, limit",Noun,"*anto- 'border, limit' [Noun]"
44,1909,*antono-,forehead,Noun,*antono- 'forehead' [Noun]
44,1921,*anuxto-,"what is unpronounced, mistake in versification",,"*anuxto- 'what is unpronounced, mistake in versification'"
44,1927,*anxtu-,slaughter,Noun,*anxtu- 'slaughter' [Noun]
44,1931,*aramo-,quiet,Adj,*aramo- 'quiet' [Adj]
45,1949,*aratro-,plow,Noun,*aratro- 'plow' [Noun]
45,1961,*arawar,"grain, cereal",Noun,"*arawar / *arawen- 'grain, cereal' [Noun]"
45,1978,*ardi-,"point, extremity, direction",Noun,"*ardi- 'point, extremity, direction' [Noun]"
45,1986,*ardwo-,high,Adj,*ardwo- 'high' [Adj]
46,2009,*arganto-,silver,Noun,*arganto- 'silver' [Noun]
46,2038,*argyo-,white,Noun,"*argyo- 'white' [Adj], 'snow' [Noun]"
47,2056,*aro-,"ploughing, ploughed land",Noun,"*aro- 'ploughing, ploughed land' [Noun]"
47,2066,*aron-,kidney,Noun,*aron- 'kidney' [Noun]
47,2085,*arto-,bear,Noun,*arto- 'bear' [Noun]
48,2110,*arto-,stone,Noun,*arto- 'stone' [Noun]
48,2119,*aryo-,free man,Noun,*aryo- 'free man' [Noun]
48,2134,*ar-yo-,to plough,Vb,*ar-yo- 'to plough' [Vb]
49,2151,*ās-,mouth,Noun,*ās- 'mouth' [Noun]
49,2169,*asseli-,"joint, part",Noun,"*asseli- 'joint, part' [Noun]"
49,2178,*assowyo-,left,Adj,*assowyo- 'left' [Adj]
49,2190,*astn(iy)o-,rib,Noun,*astn(iy)o- 'rib' [Noun]
50,2210,*ati-,"furnace, oven",Noun,"*ati- 'furnace, oven' [Noun]"
50,2222,*ati-daw-ino-,firebrand,,*ati-daw-ino- 'firebrand'
50,2228,*ati-gʷan-o-,strike again,Vb,*ati-gʷan-o- 'strike again' [Vb]
50,2235,*ati-liy-o-,"stick, adhere to",Vb,"*ati-liy-o- 'stick, adhere to' [Vb]"
50,2242,*ati-nuw-o-,"promise, assent to",Vb,"*ati-nuw-o- 'promise, assent to' [Vb]"
51,2261,*attreba,settlement,Noun,*attreba 'settlement' [Noun]
51,2274,*attyo-,"father, foster father",Noun,"*attyo- 'father, foster father' [Noun]"
51,2289,*aw,from,Prep,*aw 'from' [Prep]
51,2308,*aw-,negative prefix and particle,Particle,*aw- 'negative prefix and particle' [Particle]
52,2320,*aw-bero-,vain,Adj,*aw-bero- 'vain' [Adj]
52,2332,*awē-C-,"inspiration, insight",Noun,"*awē-C- 'inspiration, insight' [Noun]"
52,2343,*awela,"breeze, wind",Noun,"*awela 'breeze, wind' [Noun]"
52,2357,*awislo-,"wish, desire",Noun,"*awislo- 'wish, desire' [Noun]"
53,2373,"*awon-tir,",uncle,Noun,"*awon-tir, *awon-tro- 'uncle' [Noun]"
53,2388,*awsetlo-,(flesh-)fork,Noun,*awsetlo- '(flesh-)fork' [Noun]
53,2404,*awsos-,ear,Noun,*awsos- 'ear' [Noun]
54,2420,*aw-tlto-,scarce,Adj,*aw-tlto- 'scarce' [Adj]
54,2435,*awV-,liver,Noun,*awV- (?) 'liver' [Noun]
54,2454,*aw-yo-,protect,Vb,*aw-yo- 'protect' [Vb]
55,2488,*awyo-,egg,Noun,*awyo- 'egg' [Noun]
55,2505,*axsi-,back,Noun,*axsi- 'back' [Noun]
55,2509,*axsila,axis,Noun,*axsila 'axis' [Noun]
56,2535,"*ay-sso-,","life, age",Noun,"*ay-sso-, *ay-to- 'life, age' [Noun]"
56,2555,*aydu-,fire,Noun,*aydu- 'fire' [Noun]
57,2573,"*bl-,",die,Vb,"*bl-, *ba-yo- 'die' [Vb]"
57,2584,*bād-ī-,"dive, drown",Vb,"*bād-ī- 'dive, drown' [Vb]"
57,2601,*bakko-,"hook, (curved) stick, hook",Noun,"*bakko- 'hook, (curved) stick, hook' [Noun]"
58,2623,*balko-,strong,Adj,*balko- 'strong' [Adj]
58,2643,*ballo-,"member, penis",Noun,"*ballo- 'member, penis' [Noun]"
58,2654,*bal-ni-,"throw away, die",Vb,"*bal-ni- 'throw away, die' [Vb]"
59,2680,"*bandi-,","melodious, harmonious",Adj,"*bandi-, *bando- 'melodious, harmonious' [Adj]"
59,2691,*bando-,"peak, top",Noun,"*bando- 'peak, top' [Noun]"
59,2709,*bandyo-,drop,Noun,*bandyo- 'drop' [Noun]
60,2722,*bllno-,"white, shining",Adj,"*bllno- 'white, shining' [Adj]"
60,2732,*banssu-,"custom, habit",,"*banssu- 'custom, habit'"
60,2753,*banwo-,"young pig, piglet",Noun,"*banwo- 'young pig, piglet' [Noun]"
61,2768,*barag(en)o/a,(barley) bread,Noun,*barag(en)o/a '(barley) bread' [Noun]
61,2785,*bar(an)-,"fury, anger",Noun,"*bar(an)- 'fury, anger' [Noun]"
61,2799,*bardo-,"bard, poet",Noun,"*bardo- 'bard, poet' [Noun]"
62,2820,*btrego-,morning,Noun,*btrego- 'morning' [Noun]
62,2837,*barina,"rock, rocky ground",Noun,"*barina 'rock, rocky ground' [Noun]"
63,2865,*barro-,"point, top",Noun,"*barro- 'point, top' [Noun]"
63,2880,*baski-,bundle,Noun,*baski- 'bundle' [Noun]
63,2896,*basko-,red,Adj,*basko- 'red' [Adj]
64,2912,*basto-,death,Noun,*basto- 'death' [Noun]
64,2925,*bato-,death,Noun,*bato- 'death' [Noun]
64,2937,*bebru-,beaver,Noun,*bebru- 'beaver' [Noun]
64,2951,*bedo-,"grave, ditch",Noun,"*bedo- 'grave, ditch' [Noun]"
65,2974,*bego-,break,Vb,*bego- 'break' [Vb]
65,2988,*bek(k)o-,"beak, snout",,"*bek(k)o- 'beak, snout'"
65,2996,*bekko-,small,Adj,*bekko- 'small' [Adj]
66,3012,*bel-o-,strike,Vb,*bel-o- 'strike' [Vb]
66,3024,*belyo-,tree,Noun,*belyo- 'tree' [Noun]
66,3036,"*benā,*bena",woman,Noun,"*benā,*bena 'woman' [Noun]"
67,3063,*berga,"pillage, robbery",Noun,"*berga 'pillage, robbery' [Noun]"
67,3074,*ber-o-,"carry, bear, bring",Vb,"*ber-o- 'carry, bear, bring' [Vb]"
67,3091,*beru-,spit,Noun,*beru- 'spit' [Noun]
67,3105,*beruro-,watercress,Noun,*beruro- 'watercress' [Noun]
68,3125,"*berw-a-,","brew, cook",Vb,"*berw-a-, *berw-i- 'brew, cook' [Vb]"
68,3142,*berwo-,stew,Noun,*berwo- 'stew' [Noun]
68,3146,*berxto-,"bright, beautiful",Adj,"*berxto- 'bright, beautiful' [Adj]"
69,3169,*be-sman,blow,Noun,*be-sman 'blow' [Noun]
69,3181,"*beto-,",food,Noun,"*beto-, *biyato- 'food' [Noun]"
69,3198,*betu-,birch,Noun,*betu- 'birch' [Noun]
70,3227,*bibud-,guilty,Adj,*bibud- 'guilty' [Adj]
70,3239,*biko-,bee,Noun,*biko- 'bee' [Noun]
70,3256,*bi-na-,"strike, hit",Vb,"*bi-na- 'strike, hit' [Vb]"
71,3276,*birro-,short,Adj,*birro- 'short' [Adj]
71,3287,*bisli-,gall,Noun,*bisli- 'gall' [Noun]
71,3300,*bisti-,finger,Noun,*bisti- 'finger' [Noun]
72,3317,*bitu-,world,Noun,*bitu- 'world' [Noun]
72,3336,*biwo-,alive,Adj,*biwo- 'alive' [Adj]
72,3351,*bīwV-,pitch,Noun,*bīwV- 'pitch' [Noun]
72,3361,*blātu-,flower,Noun,*blātu- 'flower' [Noun]
73,3379,*blāwo-,yellow,Adj,*blāwo- 'yellow' [Adj]
73,3399,*blVdV-,"wolf, ?large predator",Noun,"*blVdV- 'wolf, ?large predator' [Noun]"
74,3417,*bledā,year,Noun,*bledā 'year' [Noun]
74,3421,*bledani,year,Noun,*bledani 'year' [Noun]
74,3440,*bodaro-,deaf,Adj,*bodaro- 'deaf' [Adj]
74,3451,*bodiyā,pleasure,Noun,*bodiyā 'pleasure' [Noun]
74,3455,*bodo-,pleasure,Noun,*bodo- 'pleasure' [Noun]
75,3470,*bodwo-,crow,Noun,*bodwo- 'crow' [Noun]
75,3483,*bodyo-,yellow,Adj,*bodyo- 'yellow' [Adj]
75,3495,*bolgo-,"sack, bag, stomach",Noun,"*bolgo- 'sack, bag, stomach' [Noun]"
75,3510,*bondyo-,"(arm-)ring, circlet, bracelet",Noun,"*bondyo- '(arm-)ring, circlet, bracelet' [Noun]"
76,3524,*bonu-,"foundation, base, butt",Noun,"*bonu- 'foundation, base, butt' [Noun]"
76,3533,*bostā,"palm, fist",Noun,"*bostā 'palm, fist' [Noun]"
76,3552,*bow-,cow,Noun,*bow- 'cow' [Noun]
77,3575,*bowdi-,"booty, victory",Noun,"*bowdi- 'booty, victory' [Noun]"
77,3590,*bowd-ro-,dirty,Adj,*bowd-ro- 'dirty' [Adj]
77,3602,*bow-koli-,"cowherd, herdsman",Noun,"*bow-koli- 'cowherd, herdsman' [Noun]"
77,3614,*bragant-,"neck, throat",Noun,"*bragant- 'neck, throat' [Noun]"
78,3637,"*bragno-,","rotten, faul",Adj,"*bragno-, *bragni- 'rotten, faul' [Adj]"
78,3650,*brag-(y)o-,fart,Vb,*brag-(y)o- 'fart' [Vb]
78,3664,*brano-,raven,Noun,*brano- 'raven' [Noun]
79,3682,*brasso-,"great, violent",Adj,"*brasso- 'great, violent' [Adj]"
79,3702,*brltir,brother,Noun,*brltir 'brother' [Noun]
79,3715,*brltu-,judgement,Noun,*brltu- 'judgement' [Noun]
80,3730,"*bratto-,","mantle, cloak",Noun,"*bratto-, *brattino- 'mantle, cloak' [Noun]"
80,3745,*brawon-,"quem, millstone",Noun,"*brawon- 'quem, millstone' [Noun]"
80,3765,*braxsman-,fart,Noun,*braxsman- 'fart' [Noun]
81,3777,*bre-/*bri-,"cut, crumble",Vb,"*bre-/*bri- 'cut, crumble' [Vb]"
81,3784,*brem-o-,"bleat, bellow, roar",Vb,"*brem-o- 'bleat, bellow, roar' [Vb]"
81,3792,*brend-o-,"flow, spurt out",Vb,"*brend-o- 'flow, spurt out' [Vb]"
81,3806,*brenk-,bring,Vb,*brenk- 'bring' [Vb]
81,3818,*bresta,"fight, combat",Noun,"*bresta 'fight, combat' [Noun]"
82,3835,*bretrā,word,Noun,*bretrā 'word' [Noun]
82,3852,*brig-,hill,Noun,*brig- 'hill' [Noun]
82,3871,*brigantīno-,chief,Noun,*brigantīno- 'chief' [Noun]
82,3875,*brigo/ā,"might, power",Noun,"*brigo/ā 'might, power' [Noun]"
83,3896,*brikko-,speckled,Adj,*brikko- 'speckled' [Adj]
83,3912,*brisko-,"weak, fragile",Adj,"*brisko- 'weak, fragile' [Adj]"
83,3924,*bristi-,haste,Noun,*bristi- 'haste' [Noun]
84,3937,*briti-,"carrying, judgement",Noun,"*briti- 'carrying, judgement' [Noun]"
84,3950,*brīwā,bridge,Noun,*brīwā 'bridge' [Noun]
84,3965,*brixtilo-,trout,Noun,*brixtilo- 'trout' or 'mackerel' [Noun]
84,3969,*brixtu-,"magical formula, incantation",Noun,"*brixtu- 'magical formula, incantation' [Noun]"
85,3991,*brokko-,badger,Noun,*brokko- 'badger' [Noun]
85,4004,*brozdo-,"point, tip",Noun,"*brozdo- 'point, tip' [Noun]"
85,4020,*brii-,brow,Noun,*brii- 'brow' [Noun]
86,4047,*bruso-,fragile,Adj,*bruso- 'fragile' [Adj]
86,4051,*bruson-,"abdomen, womb",Noun,"*bruson- 'abdomen, womb' [Noun]"
86,4064,*brustniyo-,"faggot, (bundle of) firewood",Noun,"*brustniyo- 'faggot, (bundle of) firewood' [Noun]"
86,4081,*brutu-,"fermentation, (boiling) heat",Noun,"*brutu- 'fermentation, (boiling) heat' [Noun]"
87,4098,*bruwo-,"quantity, multitude",Noun,"*bruwo- 'quantity, multitude' [Noun]"
87,4110,*budīnā,"troop, host",Noun,"*budīnā 'troop, host' [Noun]"
87,4121,*buggo-,"soft, tender",Adj,"*buggo- 'soft, tender' [Adj]"
88,4138,*bukko-,goat,Noun,*bukko- 'goat' [Noun]
88,4155,*bundo-,"sole of foot, base, floor",Noun,"*bundo- 'sole of foot, base, floor' [Noun]"
88,4165,*bu-n-do-,"proclaim, give notice",Vb,"*bu-n-do- 'proclaim, give notice' [Vb]"
89,4189,*bu-n-g-o-,break,Vb,*bu-n-g-o- 'break' [Vb]
89,4204,*bunno-,"owl, bittern",Noun,"*bunno- 'owl, bittern' [Noun]"
89,4215,*burro-,"inflated, swollen",Adj,"*burro- 'inflated, swollen' [Adj]"
89,4224,*bussu-,lip,Noun,*bussu- 'lip' [Noun]
89,4237,*butl,"place, dwelling, hut",Noun,"*butl 'place, dwelling, hut' [Noun]"
90,4257,*bu-yo-,"be, become",Vb,"*bu-yo- 'be, become' [Vb]"
90,4280,*buzdo-,"tail, penis",Noun,"*buzdo- 'tail, penis' [Noun]"
91,4306,*da-,give,Vb,*da- 'give' [Vb]
91,4330,*dago-,good,Adj,*dago- 'good' [Adj]
92,4349,*dakro-,tear,Noun,*dakro- 'tear' [Noun]
92,4375,*dallo-,blind,Adj,*dallo- 'blind' [Adj]
93,4396,*dal-n-,"come into being, turn into something",Vb,"*dal-n- 'come into being, turn into something' [Vb]"
93,4413,*dīlo-,"share, part",Noun,"*dīlo- 'share, part' [Noun]"
93,4423,*dam-na-,"subdue, break a horse",Vb,"*dam-na- 'subdue, break a horse' [Vb]"
93,4432,*damo/a-,retinue,Noun,*damo/a- 'retinue' [Noun]
94,4460,"*damo-,",bull,Noun,"*damo-, *damato- 'bull' [Noun]"
94,4477,*dam-yo-,"allow, permit, endure",Vb,"*dam-yo- 'allow, permit, endure' [Vb]"
95,4498,*danu-,gift,Noun,*danu- 'gift' [Noun]
95,4508,*danto-,tooth,Noun,*danto- 'tooth' [Noun]
95,4523,*darno-,"piece, part",Noun,"*darno- 'piece, part' [Noun]"
96,4545,*daru-,oak,Noun,*daru- 'oak' [Noun]
96,4562,*dar(y)o-,bull,Vb,*dar(y)o- 'bull' [Vb]
96,4573,*dasti-,"heap, pile",Noun,"*dasti- 'heap, pile' [Noun]"
97,4591,*datla,"assembly, meeting",Noun,"*datla 'assembly, meeting' [Noun]"
97,4609,*dawna,poem,Noun,*dawna 'poem' [Noun]
97,4623,*daw-yo-,"kindle, bum",Vb,"*daw-yo- 'kindle, bum' [Vb]"
98,4638,*da-yo-,"ail, trouble",Vb,"*da-yo- 'ail, trouble' [Vb]"
98,4651,*dedmV-,"rite, ceremony, usage",Noun,"*dedmV- 'rite, ceremony, usage' [Noun]"
98,4663,*degʷi-,"flame, blaze",Noun,"*degʷi- 'flame, blaze' [Noun]"
98,4677,*dekam,ten,Num,*dekam 'ten' [Num]
99,4696,*dekos,"honor, pride",Noun,"*dekos 'honor, pride' [Noun]"
99,4709,*delg-o-,"hold, contain",Vb,"*delg-o- 'hold, contain' [Vb]"
99,4722,*delgo-,"pin, needle",Noun,"*delgo- 'pin, needle' [Noun]"
100,4738,*delto-,moist,Adj,*delto- 'moist' [Adj]
100,4751,*delwa,"form, appearance, image",Noun,"*delwa 'form, appearance, image' [Noun]"
100,4765,*demi-,"dim, dark",Adj,"*demi- 'dim, dark' [Adj]"
100,4777,*demya,darkness,Noun,*demya 'darkness' [Noun]
100,4781,*deno-,fast,Adj,*deno- 'fast' [Adj]
101,4791,*dergo-,"red, blood-red",Adj,"*dergo- 'red, blood-red' [Adj]"
101,4801,*derk-,see,Vb,*derk- 'see' [Vb]
101,4817,*derwo-,firm (as an oak),Noun,*derwo- 'firm (as an oak)' [Adj]; 'oak' [Noun]
101,4834,*dewo-,god,Noun,*dewo- 'god' [Noun]
102,4850,*dexs(i)wo-,"right, south",Adj,"*dexs(i)wo- 'right, south' [Adj]"
102,4869,*dī,"from, of",Prep,"*dī 'from, of' [Prep]"
102,4882,*dī-ākV-,"lazy, lit. un-swift",Adj,"*dī-ākV- 'lazy, lit. un-swift' [Adj]"
103,4909,*di-berga,"robbery, brigandage",Noun,"*di-berga 'robbery, brigandage' [Noun]"
103,4917,*di-bi-na-,take away,Vb,*di-bi-na- 'take away' [Vb]
103,4924,*di-gala,vengeance,Noun,*di-gala 'vengeance' [Noun]
103,4936,*dig-ed-,"chafer, beetle",Noun,"*dig-ed- 'chafer, beetle' [Noun]"
104,4949,*dilā,"teat, dug",Noun,"*dilā 'teat, dug' [Noun]"
104,4967,*di-na-,suck,Vb,*di-na- 'suck' [Vb]
104,4983,*di-n-g-o-,"knead, form, press",Vb,"*di-n-g-o- 'knead, form, press' [Vb]"
105,5005,*dīro-,"proper, needed",Adj,"*dīro- 'proper, needed' [Adj]"
105,5018,*dis-smi-,"something, anything, a small quantity",Pron,"*dis-smi- 'something, anything, a small quantity' [Pron]"
105,5029,*dī-wed-o-,stop,Vb,*dī-wed-o- 'stop' [Vb]
105,5040,*dī-wedo-,end,Noun,*dī-wedo- 'end' [Noun]
106,5061,*dī-wik-o-,"punish, avenge",Vb,"*dī-wik-o- 'punish, avenge' [Vb]"
106,5069,*diy(w)o-,day,Noun,*diy(w)o- 'day' [Noun]
106,5088,*dlig-o-,"owe, be entitled to",Vb,"*dlig-o- 'owe, be entitled to' [Vb]"
106,5100,*dligito-,"duty, debt",Noun,"*dligito- 'duty, debt' [Noun]"
107,5112,*dlo-n-g-o-,split,Vb,*dlo-n-g-o- 'split' [Vb]
107,5123,*do,to,Prep,*do 'to' [Prep]
107,5134,*doklo-,"hair, lock of hair",Noun,"*doklo- 'hair, lock of hair' [Noun]"
107,5145,*dol-V-,leaf,Noun,*dol-V- 'leaf' [Noun]
108,5168,*dola,"meadow, dale",Noun,"*dola 'meadow, dale' [Noun]"
108,5179,*dol-isko-,"seaweed, Palmaria palmata",Noun,"*dol-isko- 'seaweed, Palmaria palmata'[Noun]"
108,5191,*dolwo-,appearance,Noun,*dolwo- 'appearance' [Noun]
108,5195,*dorro-,"harsh, rough",Adj,"*dorro- 'harsh, rough' [Adj]"
108,5206,*dowsant-,"arm, hand",Noun,"*dowsant- 'arm, hand' [Noun]"
109,5223,*dragena,"sloetree, blackthorn, Prunus spinosa",Noun,"*dragena 'sloetree, blackthorn, Prunus spinosa' [Noun]"
109,5246,*drika,"face, appearance",Noun,"*drika 'face, appearance' [Noun]"
110,5263,*dri-n-g-o-,"climb, advance",Vb,"*dri-n-g-o- 'climb, advance' [Vb]"
110,5272,*dristi-,"bramble, thornbush",Noun,"*dristi- 'bramble, thornbush' [Noun]"
110,5284,*droko-,wheel,Noun,*droko- 'wheel' [Noun]
110,5300,*druko-,bad,Adj,*druko- 'bad' [Adj]
111,5324,*drungo-,"detachment, troop",Noun,"*drungo- 'detachment, troop' [Noun]"
111,5340,*drusli(yo)-,fragment,Noun,*drusli(yo)- 'fragment' [Noun]
111,5350,*driito-,"foolish, lewd",Adj,"*driito- 'foolish, lewd' [Adj]"
112,5364,*druwid-,"priest, druid",Noun,"*druwid- 'priest, druid' [Noun]"
112,5374,*druxto-,vessel,Noun,*druxto- 'vessel' [Noun]
112,5378,*dubno-,deep,Noun,"*dubno- 'deep' [Adj], 'world' [Noun]"
112,5396,*dubro-,dark,Adj,*dubro- 'dark' [Adj]
113,5415,*dubu-,black,Adj,*dubu- 'black' [Adj]
