page,line,headword,gloss,class,heading
113,5431,*duk-o-,"lead, carry",Vb,"*duk-o- 'lead, carry' [Vb]"
113,5443,*diino-,"fort, rampart",Noun,"*diino- 'fort, rampart' [Noun]"
113,5460,*durno-,fist,Noun,*durno- 'fist' [Noun]
114,5477,*dus-,"bad, ill-","Prefixed adjective, Adverb","*dus- 'bad, ill-' [Prefixed adjective, Adverb]"
114,5486,*du(s)bwuyo-,"gloom, grief",Noun,"*du(s)bwuyo- 'gloom, grief' [Noun]"
114,5494,*dusno-,"dark, brown",Adj,"*dusno- 'dark, brown' [Adj]"
114,5506,*duxtlr,daughter,Noun,*duxtlr 'daughter' [Noun]
115,5523,*dwaw,two,Num,*dwaw 'two' [Num]
115,5539,*dwayo-,slow,Adj,*dwayo- 'slow' [Adj]
115,5551,*dweblo-,double,Adj,*dweblo- 'double' [Adj]
115,5558,*dweno-,strong,Adj,*dweno- 'strong' [Adj]
116,5583,*dwī,two,Num,*dwī 'two' (f.) [Num]
116,5587,*dwis,twice,Adverb,*dwis 'twice' [Adverb]
116,5591,*dwītu-,"loss, destruction",Noun,"*dwītu- 'loss, destruction' [Noun]"
116,5601,*dwīyot-,smoke,Noun,*dwīyot- 'smoke' [Noun]
116,5612,"*dwora,",door,Noun,"*dwora, *duro-, *dworestu- 'door' [Noun]"
117,5633,*dwosyo-,human being,Noun,*dwosyo- 'human being' [Noun]
117,5643,*l\-,"this, that",Pron,"*l\- 'this, that' [Pron]"
117,5654,*eburo-,yew,Noun,*eburo- 'yew' [Noun]
118,5676,*ed-o-,eat,Vb,*ed-o- 'eat' [Vb]
118,5696,*efmo-,"right, correct, equal",Adj,"*efmo- 'right, correct, equal' [Adj]"
118,5711,*efirom,"after, behind",Prep,"*efirom 'after, behind' [Prep]"
119,5726,*ekʷalo-,foal,Noun,*ekʷalo- 'foal' [Noun]
119,5730,*ekʷo-,horse,Noun,*ekʷo- 'horse' [Noun]
119,5752,*elV-,swan,Noun,*elV- 'swan' [Noun]
120,5774,*elan(t)i,"doe, hind",Noun,"*elan(t)i 'doe, hind' [Noun]"
120,5792,*em-o-,take,Vb,*em-o- 'take' [Vb]
120,5801,*enatro-,"entrails, bowels",Noun,"*enatro- 'entrails, bowels' [Noun]"
120,5809,*enekʷo-,face,Noun,*enekʷo- 'face' [Noun]
121,5829,*eni,in,Prep,*eni 'in' [Prep]
121,5843,*eni-fedo-,"position, place",Noun,"*eni-fedo- 'position, place' [Noun]"
121,5853,*eni-sti,island,Noun,*eni-sti 'island' [Noun]
122,5875,*enter,between,Prep,*enter 'between' [Prep]
122,5890,*erba,"fallow deer, roedeer",Noun,"*erba 'fallow deer, roedeer' [Noun]"
122,5905,*erb-(y)o-,"entrust, leave (after death)",Vb,"*erb-(y)o- 'entrust, leave (after death)' [Vb]"
122,5920,*eriro-,eagle,Noun,*eriro- 'eagle' [Noun]
123,5942,*erra,"back, hinder-part, extremity",Noun,"*erra 'back, hinder-part, extremity' [Noun]"
123,5956,*es-,be,Vb,*es- 'be' [Vb]
123,5969,*eskyo-,moon,Noun,*eskyo- 'moon' [Noun]
124,5988,*esok-,salmon,Noun,*esok- 'salmon' [Noun]
124,6003,*eti,"yet, still, but",Conjunction,"*eti 'yet, still, but' [Conjunction]"
124,6012,*exs,"out of, from",Prep,"*exs 'out of, from' [Prep]"
124,6024,*exs-obniya,boldness,Noun,*exs-obniya 'boldness' [Noun]
124,6028,*exs-obno-,fearless,Adj,*exs-obno- 'fearless' [Adj]
125,6040,*extero-,"without, outside",Prep,"*extero- 'without, outside' [Prep]"
125,6047,*extos,"except, but","Conjunction, Preposition","*extos 'except, but' [Conjunction, Preposition]"
125,6055,*fales-,"rock, stone",Noun,"*fales- 'rock, stone' [Noun]"
126,6088,*fal-na-,"approach, drive",Vb,"*fal-na- 'approach, drive' [Vb]"
126,6103,*falto-,joint,Noun,*falto- 'joint' [Noun]
126,6114,*fanssā,footprint,Noun,*fanssā 'footprint' [Noun]
127,6132,*far-na-,bestow,Vb,*far-na- 'bestow' [Vb]
127,6143,*farV-,prepare,Vb,*farV- 'prepare' [Vb]
127,6159,*fare,in front of,Prep,*fare 'in front of' [Prep]
128,6181,*fare-ber-o-,use,Vb,*fare-ber-o- 'use' [Vb]
128,6189,*fare-derko-,visible,Adj,*fare-derko- 'visible' [Adj]
128,6197,*fare-kʷenno-,"end, extremity",Noun,"*fare-kʷenno- 'end, extremity' [Noun]"
128,6208,*fare-kʷet-,"spare, have mercy on",Vb,"*fare-kʷet- 'spare, have mercy on' [Vb]"
128,6219,*fare-kom-wed-o-,"prevent, wound",Vb,"*fare-kom-wed-o- 'prevent, wound' [Vb]"
129,6237,*fare-kri-ni-,"fear, perish",Vb,"*fare-kri-ni- 'fear, perish' [Vb]"
129,6248,*fare-mert-o-,prepare,Vb,*fare-mert-o- 'prepare' [Vb]
129,6255,*fare-sed-,charioteer,Noun,*fare-sed- 'charioteer' [Noun]
129,6263,*fare-wed-o-,"lead, bring to",Vb,"*fare-wed-o- 'lead, bring to' [Vb]"
129,6270,*fare-wed-yo-,sign,Noun,*fare-wed-yo- 'sign' [Noun]
130,6281,*fare-xtu-,"conversation, assembly, meeting",Noun,"*fare-xtu- 'conversation, assembly, meeting' [Noun]"
130,6292,*far-sko-,"ask, plead",Vb,"*far-sko- 'ask, plead' [Vb]"
130,6308,*flsto-,growth,Noun,*flsto- 'growth' [Noun]
130,6328,*fatamā,"palm of the hand, talon",Noun,"*fatamā 'palm of the hand, talon' [Noun]"
131,6342,*fatar,"wing, bird",Noun,"*fatar / Gen. *fatanos, *fetnos 'wing, bird' [Noun]"
131,6359,*fatir,father,Noun,*fatir 'father' [Noun]
131,6368,*fatna,drinking vessel,Noun,*fatna 'drinking vessel' [Noun]
131,6378,*fatriyo-,paternal,Adj,*fatriyo- 'paternal' [Adj]
132,6387,*fedon-,birthpangs,Noun,*fedon- 'birthpangs' [Noun]
132,6402,*feno-,"moor, swamp",Noun,"*feno- 'moor, swamp' [Noun]"
132,6422,*fenllkos-,swamp,Noun,*fenllkos- 'swamp' [Noun]
132,6426,*ferikll,concubine,Noun,*ferikll 'concubine' [Noun]
133,6440,*ferissā,"religion, belief",Noun,"*ferissā 'religion, belief' [Noun]"
133,6450,*ferko-,perch,Adj,"*ferko- 'perch' [Noun], 'speckled' [Adj]"
133,6459,*feruti,last year,Adverb,*feruti 'last year' [Adverb]
133,6469,*ēsko-,fish,Noun,*ēsko- 'fish' [Noun]
133,6481,*fesskiitl,"(leather) boot, shoe",,"*fesskiitl '(leather) boot, shoe'"
134,6498,*fet-no-,bird,Noun,*fet-no- 'bird' [Noun]
134,6516,*fet-o-,fly,Vb,*fet-o- 'fly' [Vb]
134,6526,*tltu-,"(grass- )land, territory",Noun,"*tltu- '(grass- )land, territory' [Noun]"
135,6540,*fextu-,breast,Noun,*fextu- 'breast' [Noun]
135,6555,*fib-o-,drink,Vb,*fib-o- 'drink' [Vb]
135,6572,*flū-,many,Adj,*flū- 'many' [Adj]
135,6583,*flīselo-,low,Adj,*flīselo- 'low' [Adj]
136,6598,*ftssu-,under,Prep,*ftssu- 'under' [Prep]
136,6616,*fitu-,food,Noun,*fitu- 'food' [Noun]
136,6631,*tlweryon-,"earth, soil",Noun,"*tlweryon- 'earth, soil' [Noun]"
137,6647,*flāmā,"palm, hand",Noun,"*flāmā 'palm, hand' [Noun]"
137,6663,*flāno-,full,Adj,*flāno- 'full' [Adj]
137,6680,*flāro-,floor,Noun,*flāro- 'floor' [Noun]
138,6698,*flatro-,"position, (flat) layer",Noun,"*flatro- 'position, (flat) layer' [Noun]"
138,6709,*fled-o-,succeed,Vb,*fled-o- 'succeed' [Vb]
138,6718,*flenstu-,light,Noun,*flenstu- 'light' [Noun]
138,6729,*fleto-,gray,Adj,*fleto- 'gray' [Adj]
139,6750,*fletro-,"hide, leather",Noun,"*fletro- 'hide, leather' [Noun]"
139,6761,*fletyo-,"shoulder, shoulder blade",Noun,"*fletyo- 'shoulder, shoulder blade' [Noun]"
139,6772,*flikka,(flat) stone,Noun,*flikka '(flat) stone' [Noun]
139,6783,*fli-nu-,flow,Vb,*fli-nu- 'flow' [Vb]
140,6798,"*flitano-,",broad,Adj,"*flitano-, *flitawī [f] 'broad' [Adj]"
140,6816,*flittV-,"pap, porridge",Noun,"*flittV- 'pap, porridge' [Noun]"
140,6832,*flowdyo-,lead,Noun,*flowdyo- 'lead' [Noun]
141,6845,"*flowyo-,",rudder,Noun,"*flowyo-, *flowyi 'rudder' [Noun]"
141,6858,*fod-,foot,Noun,*fod- 'foot' [Noun]
141,6874,*folki,arable land,Noun,*folki 'arable land' [Noun]
141,6885,*folno-,"great, vast",Adj,"*folno- 'great, vast' [Adj]"
142,6899,*fondos-,stone,Noun,*fondos- 'stone' [Noun]
142,6909,*forko-,"pork, young pig",Noun,"*forko- 'pork, young pig' [Noun]"
142,6919,*foro-,"edge, limit",Noun,"*foro- 'edge, limit' [Noun]"
142,6934,*fotlo-,"drink, act of drinking",Noun,"*fotlo- 'drink, act of drinking' [Noun]"
143,6949,*fowino-,"foam, froth",Noun,"*fowino- 'foam, froth' [Noun]"
143,6964,*fowmosnl,skin,Noun,*fowmosnl 'skin' [Noun]
143,6974,*fowtu-,fear,Noun,*fowtu- 'fear' [Noun]
143,6991,*frasnl,part,Noun,*frasnl 'part' [Noun]
144,7011,*frati-,fern,Noun,*frati- 'fern' [Noun]
144,7034,*frati-,"fort, rampart",Noun,"*frati- 'fort, rampart' [Noun]"
145,7053,*frato-,"grace, virtue, good fortune",Noun,"*frato- 'grace, virtue, good fortune' [Noun]"
145,7067,*freswo-,strong cold,Noun,*freswo- 'strong cold' [Noun]
145,7082,*frikka,fart,Noun,*frikka 'fart' [Noun]
145,7091,*frika,furrow,Noun,*frika 'furrow' [Noun]
146,7106,*fritu-,ford,Noun,*fritu- 'ford' [Noun]
146,7121,*frixtu-,"form, appearance",Noun,"*frixtu- 'form, appearance' [Noun]"
146,7133,*friyo-,free,Adj,*friyo- 'free' [Adj]
146,7146,*fro-ank-o-,reach,Vb,*fro-ank-o- 'reach' [Vb]
147,7162,*fro-bowdo-,"notice, warning",Noun,"*fro-bowdo- 'notice, warning' [Noun]"
147,7166,*fro-gus-o-,choice,Noun,*fro-gus-o- 'choice' [Noun]
147,7176,*fromo-,soon,Adverb,*fromo- 'soon' [Adverb]
147,7186,*frosto-,"height, elevated land, (wooded) hill",Noun,"*frosto- 'height, elevated land, (wooded) hill' [Noun]"
147,7202,*fstr-ew-,sneeze,Noun,*fstr-ew- 'sneeze' [Noun]
148,7219,*wul-V-,beard,Noun,*wul-V- 'beard' [Noun]
148,7233,*filro-,fresh,Adj,*filro- 'fresh' [Adj]
148,7252,*futro-,ill,Adj,*futro- 'ill' [Adj]
149,7264,*fuxtākā,pine,Noun,*fuxtākā 'pine' [Noun]
149,7274,*gʷan-o-,"strike, kill",Vb,"*gʷan-o- 'strike, kill' [Vb]"
149,7291,*gʷariyā,duty,Noun,*gʷariyā 'duty' [Noun]
150,7307,*gʷed-yo-,"ask, plead, pray",Vb,"*gʷed-yo- 'ask, plead, pray' [Vb]"
150,7327,*gʷel-o-,"graze, eat",Vb,"*gʷel-o- 'graze, eat' [Vb]"
150,7341,*gʷelti-,"madman, lunatic",Noun,"*gʷelti- 'madman, lunatic' [Noun]"
151,7362,*gʷelta,grass,Noun,*gʷelta 'grass' [Noun]
151,7376,*gʷeno-,smile,Noun,*gʷeno- 'smile' [Noun]
151,7387,*gʷer-o-,"warm up, heat",Vb,"*gʷer-o- 'warm up, heat' [Vb]"
151,7400,*gʷered-,"animal fat, tallow",Noun,"*gʷered- 'animal fat, tallow' [Noun]"
152,7414,*gʷorno-,fire,Noun,*gʷorno- 'fire' [Noun]
152,7418,*gʷoro-,pious,Adj,*gʷoro- 'pious' [Adj]
152,7422,*gʷorti-,bitter,Adj,*gʷorti- 'bitter' [Adj]
152,7426,*gʷrensna,sun,Noun,*gʷrensna 'sun' [Noun]
152,7430,*gʷrensu-,"zeal, work, practice",,"*gʷrensu- 'zeal, work, practice'"
152,7434,*gʷnns-/,heat,Noun,*gʷnns-/ *gʷrenso- 'heat' [Noun]
152,7452,*gablo/a-,"fork, forked branch",Noun,"*gablo/a- 'fork, forked branch' [Noun]"
153,7474,*gabro-,he-goat,,*gabro- 'he-goat' [Noun]; *gabra 'she-goat'
153,7493,*gab-yo-,"take, hold",Vb,"*gab-yo- 'take, hold' [Vb]"
154,7532,*galll,"valor, ability",Noun,"*galll 'valor, ability' [Noun]"
154,7546,*galaro-,"sickness, distress, pain",Noun,"*galaro- 'sickness, distress, pain' [Noun]"
154,7559,*gal-n-,be able,Vb,*gal-n- 'be able' [Vb]
155,7580,*galw-o-,call,Vb,*galw-o- 'call' [Vb]
155,7594,*gan-d-o-,take place,Vb,*gan-d-o- 'take place' [Vb]
155,7606,*gan-yo-,be born,Vb,*gan-yo- 'be born' [Vb]
156,7636,*gansi-,swan,Noun,*gansi- 'swan' [Noun]
156,7646,*garano-,crane,Noun,*garano- 'crane' [Noun]
156,7659,*gargo-,rough,Adj,*gargo- 'rough' [Adj]
157,7671,*gari-,"shout, call",Noun,"*gari- 'shout, call' [Noun]"
157,7684,*garrV-,"calf of the leg, shank",Noun,"*garrV- 'calf of the leg, shank' [Noun]"
157,7702,*gar(r)man-,"cry, shout",Noun,"*gar(r)man- 'cry, shout' [Noun]"
158,7719,*garwo-,"rough, coarse",Adj,"*garwo- 'rough, coarse' [Adj]"
158,7735,*gar-yo-,"call, cry",Vb,"*gar-yo- 'call, cry' [Vb]"
158,7750,*garyo-,"word, command",Noun,"*garyo- 'word, command' [Noun]"
158,7762,*gasso-,sprig,Noun,*gasso- 'sprig' [Noun]
159,7768,*glwi,"falsehood, lie",Noun,"*glwi 'falsehood, lie' [Noun]"
159,7788,*gayso-,spear,Noun,*gayso- 'spear' [Noun]
159,7806,*gaysseto-,"mane, hair of beasts",Noun,"*gaysseto- 'mane, hair of beasts' [Noun]"
160,7820,*gazdo-,withe,Noun,*gazdo- 'withe' [Noun]
160,7837,*gdesi,yesterday,Adverb,*gdesi 'yesterday' [Adverb]
160,7856,*gdon-,"earth, place",Noun,"*gdon- 'earth, place' [Noun]"
161,7869,*gdonyo-,"human, person",Noun,"*gdonyo- 'human, person' [Noun]"
161,7886,*gelo-,"yellow, white",Adj,"*gelo- 'yellow, white' [Adj]"
161,7902,*gelu-,leech,Noun,*gelu- 'leech' [Noun]
162,7920,"*gem-eno-,","chain, shackle",Noun,"*gem-eno-, *gemelo- 'chain, shackle' [Noun]"
162,7936,*genan-,birth,Noun,*genan- 'birth' [Noun]
162,7940,*gendV-,"wedge, block, lump",Noun,"*gendV- 'wedge, block, lump' [Noun]"
162,7954,*genetl,girl,Noun,*genetl 'girl' [Noun]
163,7973,*genos-,"family, gens",Noun,"*genos- 'family, gens' [Noun]"
163,7985,*genu-,jaw,Noun,*genu- 'jaw' [Noun]
163,8000,*gessī,"taboo, prohibition",Noun,"*gessī 'taboo, prohibition' [Noun]"
164,8018,*gestlo-,"surety, pledge, hostage",Noun,"*gestlo- 'surety, pledge, hostage' [Noun]"
164,8034,*gexdo/ā-,goose,Noun,*gexdo/ā- 'goose' [Noun]
164,8047,*glaxsmā,"cry, shout",Noun,"*glaxsmā 'cry, shout' [Noun]"
164,8058,*glan-n-d-o-,show,Vb,*glan-n-d-o- 'show' [Vb]
165,8071,*glano-,"clean, clear",Adj,"*glano- 'clean, clear' [Adj]"
165,8085,*glasto-,"green, blue",Adj,"*glasto- 'green, blue' [Adj]"
165,8099,*glendos-,"valley, shore",Noun,"*glendos- 'valley, shore' [Noun]"
165,8111,*gli-na-,glue,Vb,*gli-na- 'glue' [Vb]
166,8127,*glomro-,"bridle-bit, muzzle",Noun,"*glomro- 'bridle-bit, muzzle' [Noun]"
166,8139,*glowo-,charcoal,,*glowo- 'charcoal'
166,8150,*gloydo-,"glue, lime",Noun,"*gloydo- 'glue, lime' [Noun]"
166,8163,"*gloywo-,","liquid, clear",Adj,"*gloywo-, *glewi- 'liquid, clear' [Adj]"
167,8182,*gliinos-,knee,Noun,*gliinos- 'knee' [Noun]
167,8201,*gnasto-,"custom, usage",Noun,"*gnasto- 'custom, usage' [Noun]"
167,8205,*gnato-,"known, usual",Adj,"*gnato- 'known, usual' [Adj]"
168,8223,*gnimu-,"work, action",,"*gnimu- 'work, action'"
168,8234,*gni-na-,recognize,Vb,*gni-na- 'recognize' [Vb]
168,8249,*gn-iyo-,"beget, create, do",Vb,"*gn-iyo- 'beget, create, do' [Vb]"
169,8283,*goban-,smith,Noun,*goban- 'smith' [Noun]
169,8304,*gobbo-,"muzzle, snout, beak",Noun,"*gobbo- 'muzzle, snout, beak' [Noun]"
169,8317,*gorto-,"fence, enclosure, pen",Noun,"*gorto- 'fence, enclosure, pen' [Noun]"
170,8345,*gowlo-,charcoal,Noun,*gowlo- 'charcoal' [Noun]
170,8365,*gowrya,animal hair,Noun,*gowrya 'animal hair' [Noun]
171,8379,*gozdi-,theft,Noun,*gozdi- 'theft' [Noun]
171,8383,*gragni-,awful,Adj,*gragni- 'awful' [Adj]
171,8392,"*grando-,",beard,Noun,"*grando-, *grendo- 'beard' [Noun]"
171,8412,*grāno-,grain,Noun,*grāno- 'grain' [Noun]
172,8432,*grawa,"gravel, pebbles",Noun,"*grawa 'gravel, pebbles' [Noun]"
172,8449,*gregi-,herd,Noun,*gregi- 'herd' [Noun]
172,8464,*gremmen-,"seizure, grasp",Noun,"*gremmen- 'seizure, grasp' [Noun]"
173,8482,*gri-n-d-o-,"follow, drive",Vb,"*gri-n-d-o- 'follow, drive' [Vb]"
173,8493,*griyano-,gravel,Noun,*griyano- 'gravel' [Noun]
173,8508,*growdos-,cheek,Noun,*growdos- 'cheek' [Noun]
173,8523,"*gulbV-,",beak,Noun,"*gulbV-, *gulbino- 'beak' [Noun]"
174,8541,*gurmo-,"dun, dark",Adj,"*gurmo- 'dun, dark' [Adj]"
174,8550,*gus-o-,choose,Vb,*gus-o- 'choose' [Vb]
174,8559,*gustu-,"excellence, force",Noun,"*gustu- 'excellence, force' [Noun]"
174,8575,*gutu-,voice,Noun,*gutu- 'voice' [Noun]
175,8592,*gyemo-,winter,Noun,*gyemo- 'winter' [Noun]
175,8609,*gyo-,sinew,Noun,*gyo- 'sinew' [Noun]
175,8619,*i-,go,Vb,*i- 'go' [Vb]
176,8635,*i-,it,Demonstrative Pronoun,*i- 'it' [Demonstrative Pronoun]
176,8646,"*īkkā,","cure, treatment, salvation",Noun,"*īkkā, *yekkā 'cure, treatment, salvation' [Noun]"
176,8666,*ikʷori-,"roe, spawn",Noun,"*ikʷori- 'roe, spawn' [Noun]"
177,8683,*imbeto-,great quantity,Noun,*imbeto- 'great quantity' [Noun]
177,8701,*isarno-,iron,Noun,*isarno- / *īsarno- 'iron' [Noun]
177,8719,*isk-a-,look for lice,Vb,*isk-a- 'look for lice' [Vb]
178,8733,*iwo-,"shaft, yew",Noun,"*iwo- 'shaft, yew' [Noun]"
178,8765,*kʷākʷo-,everyone,Pron,*kʷākʷo- 'everyone' [Pron]
179,8787,*kʷal-na-,go around,Vb,*kʷal-na- 'go around' [Vb]
179,8801,*kʷantyo-,flat hill,Noun,*kʷantyo- 'flat hill' [Noun]
179,8820,*kʷana,where from,Particle,*kʷana 'where from' [Particle]
180,8830,*kʷaryo-,cauldron,Noun,*kʷaryo- 'cauldron' [Noun]
180,8847,*kʷaso-,cough,Noun,*kʷaso- 'cough' [Noun]
180,8860,*kʷati-,"chaff, husks",Noun,"*kʷati- 'chaff, husks' [Noun]"
180,8871,*-kʷe,and,Conjunction,*-kʷe 'and' [Conjunction]
181,8885,*kʷef-,"pant, breathe",Vb,"*kʷef- 'pant, breathe' [Vb]"
181,8897,*kʷello-,far,Adj,*kʷello- 'far' [Adj]
181,8911,*kʷend-s-o-,suffer,Vb,*kʷend-s-o- 'suffer' [Vb]
181,8922,*kʷenkʷe,five,Num,*kʷenkʷe 'five' [Num]
182,8951,*kʷenkʷeto-,fifth,Num,*kʷenkʷeto- 'fifth' [Num]
182,8955,*kʷenno-,head,Noun,*kʷenno- 'head' [Noun]
182,8973,*kʷēno-,long,Adj,*kʷēno- 'long' [Adj]
183,8985,*kʷer-,"make, cause",Vb,"*kʷer- 'make, cause' [Vb]"
183,8996,*kʷerxt-,bush,Noun,*kʷerxt- 'bush' (?) [Noun]
183,9014,*kʷes,who,Pron,*kʷes 'who' [Pron]
184,9035,*kʷesla,"mind, spirit, reason",Noun,"*kʷesla 'mind, spirit, reason' [Noun]"
184,9048,*kʷetwores,four,Num,*kʷetwores 'four' [Num]
184,9061,*kʷezdi-,"piece, portion",Noun,"*kʷezdi- 'piece, portion' [Noun]"
184,9074,*kʷid,what,,*kʷid 'what'
185,9083,*kʷinut-,"crime, mistake, guilt",Noun,"*kʷinut- 'crime, mistake, guilt' [Noun]"
185,9097,*kʷis-o-,see,Vb,*kʷis-o- 'see' [Vb]
185,9110,*kʷo-,to,Prep,*kʷo- 'to' [Prep]
185,9119,*kʷokʷ-o-,"cook, bake",Vb,"*kʷokʷ-o- 'cook, bake' [Vb]"
186,9135,*kʷolu-,wheel,Noun,*kʷolu- 'wheel' [Noun]
186,9145,*kʷon-,dog,,"*kʷon- 'dog' [Noun] (Nom. s *k(w)ii, Gen. s *kunos)"
186,9168,*kʷoxto-,hot,Adj,*kʷoxto- 'hot' [Adj]
186,9172,*kʷresno-,"wood, tree",Noun,"*kʷresno- 'wood, tree' [Noun]"
186,9185,*kʷrimi-,worm,Noun,*kʷrimi- 'worm' [Noun]
187,9202,*kʷri-na-,buy,Vb,*kʷri-na- 'buy' [Vb]
187,9220,*kʷritu-,"magical transformation, shape",Noun,"*kʷritu- 'magical transformation, shape' [Noun]"
187,9237,*kʷriyet-,"clay, earth, mud",Noun,"*kʷriyet- 'clay, earth, mud' [Noun]"
188,9256,*klldo-,"regret, anger",Noun,"*klldo- 'regret, anger' [Noun]"
188,9270,*kii(g)ni-,"law, tribute",Noun,"*kii(g)ni- 'law, tribute' [Noun]"
189,9291,*kag-o-,"get, receive",Vb,"*kag-o- 'get, receive' [Vb]"
189,9304,*kagro-,"enclosure, fort",Noun,"*kagro- 'enclosure, fort' [Noun]"
189,9308,*kagyo-,"pen, enclosure",Noun,"*kagyo- 'pen, enclosure' [Noun]"
189,9323,*kakka,excrement,Noun,*kakka 'excrement' [Noun]
190,9338,*kaleto-,"hard, cruel, strong",Adj,"*kaleto- 'hard, cruel, strong' [Adj]"
190,9355,*kallī-,"wood, grove",Noun,"*kallī- 'wood, grove' [Noun]"
190,9371,*kalmiyo-,"skilful, skilled",,"*kalmiyo- 'skilful, skilled'"
191,9402,*kalyo-,spot,Noun,*kalyo- 'spot' [Noun]
191,9413,*kambo-,"crooked, twisted",Adj,"*kambo- 'crooked, twisted' [Adj]"
192,9437,*kanawon-,"young animal, young dog, whelp",Noun,"*kanawon- 'young animal, young dog, whelp' [Noun]"
192,9453,*kani-,"good, nice",Adj,"*kani- 'good, nice' [Adj]"
192,9463,*kanka,branch,Noun,*kanka 'branch' [Noun]
192,9475,*kan-o-,sing,Vb,*kan-o- 'sing' [Vb]
193,9489,*kanta-bw-iyo-,perceive,Vb,*kanta-bw-iyo- 'perceive' [Vb]
193,9496,*kanti,together with,Prep,*kanti 'together with' [Prep]
193,9511,*kantlo-,"song, singing",Noun,"*kantlo- 'song, singing' [Noun]"
193,9520,*kantom,100,Num,*kantom '100' [Num]
194,9552,*kanxtV-,power,Noun,*kanxtV- 'power' [Noun]
194,9562,*kanxtu-,"plough, plough-beam",Noun,"*kanxtu- 'plough, plough-beam' [Noun]"
194,9574,*karafyo-(mon)-,shoemaker,,*karafyo-(mon)- 'shoemaker'
195,9602,*karant-,friend,Noun,*karant- 'friend' [Noun]
195,9614,*karbanto-,(war) chariot,Noun,*karbanto- '(war) chariot' [Noun]
