entry_number,first_author_or_label,year,printed_page_start,printed_page_end,pdf_page_start,pdf_page_end,reference
229,Noske,2012,341,341,352,352,"Noske, R. (2012). ‘The Grimm-Verner chain shift and contrast preservation theory’, in Botma, B., and Noske, R. (edd.), Phonological explorations: empirical, theoretical and diachronic issues (Berlin: de Gruyter) 63–86."
230,Noyer,1997,341,341,352,352,"Noyer, R. R. (1997). Features, positions, and affixes in autonomous morphology. New York: Garland."
231,Nussbaum,1975,341,341,352,352,"Nussbaum, A. (1975). ‘-ī- in Latin denominative derivation’, in Watkins (ed.) 1975: 116–61."
232,Nussbaum,1986,341,341,352,352,"Nussbaum, A. (1986). Head and horn in Indo-European. Berlin: de Gruyter."
233,Nussbaum,1997,341,341,352,352,"Nussbaum, A. (1997). ‘The “Saussure effect” in Latin and Italic’, in Lubotsky, A. (ed.), Sound law and analogy (Amsterdam: Rodopi) 181–203."
234,Nussbaum,2007,342,342,353,353,"Nussbaum, A. (ed.) (2007). Verba docenti: studies in historical and Indo-European linguistics presented to Jay H. Jasanoff. Ann Arbor: Beech Stave Press."
235,Nussbaum,2010,342,342,353,353,"Nussbaum, A. (2010). ‘PIE -Cmn- and Greek τρᾱνής “clear” ’, in Kim et al. (edd.) 2010: 269–77."
236,Nussbaum,2014,342,342,353,353,"Nussbaum, A. (2014). ‘Feminine, abstract, collective, neuter plural: some remarks on each (expanded handout)’, in Neri and Schuhmann (edd.) 2014: 273–306."
237,Oettinger,1979,342,342,353,353,"Oettinger, N. (1979). Die Stammbildung des hethitischen Verbums. Nürnberg: Hans Carl."
238,Peters,1980,342,342,353,353,"Peters, M. (1980). Untersuchungen zur Vertretung der indogermanischen Laryngale im Griechischen. Vienna: Österreichische Akademie der Wissenschaften."
239,Peters,1989,342,342,353,353,"Peters, M. (1989). ‘Indogermanische Chronik 33. G. Altgriechisch’, Die Sprache 33: 227–329."
240,Peters,1991,342,342,353,353,"Peters, M. (1991). ‘Ein tocharisches Auslautproblem’, Die Sprache 34: 242–4."
241,Pinault,1982,342,342,353,353,"Pinault, G.-J. (1982). ‘A neglected phonetic law: the reduction of the Indo-European laryngeals in internal syllables before yod’, in Ahlqvist, A. (ed.), Papers from the Fifth International Conference on Historical Linguistics (Amsterdam: Benjamins) 265–72. Pinault, G.-J. (2006a). ‘Retour sur le numéral “un” en tokharien’, Indogermanische Forschungen 111: 71–97. Pinault, G.-J. (2006b). ‘Sur l’évolution phonétique tsk > tk en tokharien commun’, Münchener Studien zur Sprachwissenschaft 62: 103–56."
242,Piwowarczyk,2015,342,342,353,353,"Piwowarczyk, D. (2015). ‘The Proto-Indo-European *-Vts# clusters and the formulation of Szemerényi’s Law’, Indogermanische Forschungen 120: 269–78."
243,Pohl,2000,342,342,353,353,"Pohl, W. (2000). Die Germanen. Munich: R. Oldenbourg."
244,Pokorny,1959,342,342,353,353,"Pokorny, J. (1959). Indogermanisches etymologisches Wörterbuch. Bern: Francke."
245,Probert,2006,342,342,353,353,"Probert, P. (2006). ‘Clause boundaries in Old Hittite relative sentences’, Transactions of the Philological Society 104: 17–83."
246,Prokosch,1939,342,342,353,353,"Prokosch, E. (1939). A comparative Germanic grammar. Philadelphia: Linguistic Society of America."
247,Radford,2004,342,342,353,353,"Radford, A. (2004). Minimalist syntax. Cambridge: Cambridge University Press."
248,Randall,2015,342,342,353,353,"Randall, W., and Jones, H. (2015). ‘On the early origins of the Germanic preterite presents’, Transactions of the Philological Society 113: 137–76."
249,Rasmussen,1983,342,342,353,353,"Rasmussen, J. E. (1983). ‘Two phonological issues in Germanic’, Acta Linguistica Hafniensia 18: 201–19. [Reprinted in Rasmussen 1999: 82–99.]"
250,Rasmussen,1996,342,342,353,353,"Rasmussen, J. E. (1996). ‘On the origin of the Germanic weak preterite’, Copenhagen Working Papers in Linguistics 4: 161–8. [Reprinted in Rasmussen 1999: 597–603.]"
251,Rasmussen,1999,342,342,353,353,"Rasmussen, J. E. (1999). Selected papers on Indo-European linguistics, with a section on comparative Eskimo linguistics. Copenhagen: Museum Tusculanum."
252,Ratkus,2015,342,342,353,353,"Ratkus, A. (2015). ‘Gothic possessives, adjectives, and other modifiers in -ata’, Journal of Germanic Linguistics 27: 238–307."
253,Renfrew,1987,342,342,353,353,"Renfrew, C. (1987). Archaeology and language: the puzzle of Indo-European origins. London: Jonathan Cape. Rieken, E. (1999a). Untersuchungen zur nominalen Stammbildung des Hethitischen. Wiesbaden: Harrassowitz. Rieken, E. (1999b). ‘Zur Verwendung der Konjunktion ta in den hethitischen Texten’, Münchener Studien zur Sprachwissenschaft 59: 63–88. Ringe, D. (1984a). ‘Germanic “ē2” and *r’, Die Sprache 30: 138–55. Ringe, D. (1984b). The perfect tenses in Greek inscriptions. Ph.D. dissertation, Yale."
254,Ringe,1991,343,343,354,354,"Ringe, D. (1991). ‘Evidence for the position of Tocharian in the Indo-European family?’, Die Sprache 34: 59–123."
255,Ringe,1996,343,343,354,354,"Ringe, D. (1996). On the chronology of sound changes in Tocharian. Vol. 1. New Haven: American Oriental Society."
256,Ringe,1997,343,343,354,354,"Ringe, D. (1997). ‘On the origin of 3pl. imperative -ντον’, in Adams (ed.) 1997: II.129–43."
257,Ringe,2000,343,343,354,354,"Ringe, D. (2000). ‘Tocharian class II presents and subjunctives and the reconstruction of the Proto-Indo-European verb’, Tocharian and Indo-European Studies 9: 121–42."
258,Ringe,2001,343,343,354,354,"Ringe, D. (2001). Review of Rix et al. 2001, Diachronica 18: 184–7."
259,Ringe,2002,343,343,354,354,"Ringe, D. (2002). ‘Tocharian B ṣp ‘and’ ’, in Southern, M. (ed.), Indo-European perspectives (Washington, DC: Institute for the Study of Man) 265–6."
260,Ringe,2006,343,343,354,354,"Ringe, D. (2006). ‘A sociolinguistically informed solution to an old historical problem: the Gothic genitive plural’, Transactions of the Philological Society 104: 167–206."
261,Ringe,2007,343,343,354,354,"Ringe, D. (2007). ‘Old Latin -minō and “analogy” ’, in Nussbaum (ed.) 2007: 301–6."
262,Ringe,2010,343,343,354,354,"Ringe, D. (2010). ‘ “Thorn” clusters and Indo-European subgrouping’, in Kim et al. (edd.) 2010: 330–8."
263,Ringe,2012,343,343,354,354,"Ringe, D. (2012). ‘The hi-conjugation as a PIE subjunctive’, in Hackstein, O., and Kim, R. (edd.), Linguistic developments along the silkroad: archaism and innovation in Tocharian (Vienna: Österreichische Akademie der Wissenschaften) 121–40."
264,Ringe,2013,343,343,354,354,"Ringe, D., and Eska, J. F. (2013). Historical linguistics: toward a twenty-first century reintegration. Cambridge: Cambridge University Press."
265,Ringe,2014,343,343,354,354,"Ringe, D., and Taylor, A. (2014). The development of Old English. Oxford: Oxford University Press."
266,Ringe,2002,343,343,354,354,"Ringe, D., Warnow, T., and Taylor, A. (2002). ‘Indo-European and computational cladistics’, Transactions of the Philological Society 100: 59–129."
267,Ringe,1998,343,343,354,354,"Ringe, D., Warnow, T., Taylor, A., Michailov, A., and Levison, L. (1998). ‘Computational cladistics and the position of Tocharian’, in Mair (ed.) 1998: 391–414."
268,Risch,1962,343,343,354,354,"Risch, E. (1962). ‘Das indogermanische Word für “hundert” ’, Indogermanische Forschungen 67: 129–41."
269,Rix,1975,343,343,354,354,"Rix, H. (ed.) (1975). Flexion und Wortbildung. Wiesbaden: Reichert. Rix, H. (1976a). Historische Grammatik des Griechischen. Darmstadt: Wissenschaftliche Buchgesellschaft. Rix, H. (1976b). ‘Die umbrischen Infinitive auf -fi und die urindogermanische Infinitivendung -dhi̭ōi’, in Davies, A. M., and Meid, W. (edd.), Studies in Greek, Italic, and Indo-European linguistics offered to Leonard R. Palmer on the occasion of his seventieth birthday (Innsbruck: Institut für Sprachwissenschaft der Universität Innsbruck) 319–31."
270,Rix,1977,343,343,354,354,"Rix, H. (1977). ‘Das keltische Verbalsystem auf dem Hintergrund des indo-iranisch-griechischen Rekonstruktionsmodells’, in Schmidt, K. H. (ed.), Indogermanisch und Keltisch (Wiesbaden: Reichert) 132–58."
271,Rix,1992,343,343,354,354,"Rix, H. (1992). ‘Zur Entstehung des lateinischen Perfektparadigmas’, in Panagl, O., and Krisch, T. (edd.), Latein und Indogermanisch (Innsbruck: Institut für Sprachwissenschaft der Universität Innsbruck) 221–40."
272,Rix,2001,343,343,354,354,"Rix, H. et al. (2001). Lexikon der indogermanischen Verben, 2nd ed. Wiesbaden: Reichert."
273,Ross,1992,343,343,354,354,"Ross, A. S. C., and Berns, J. (1992). ‘Germanic’, in Gvozdanović (ed.), Indo-European numerals (Berlin: Mouton de Gruyter) 555–715."
274,Schaffner,2000,344,344,355,355,"Schaffner, S. (2000). ‘Altindisch amnás, urgermanisch *eƀna-, keltisch *eμno-’, in Forssman, B., and Plath, R. (edd.), Indoarisch, Iranisch und die Indogermanistik (Wiesbaden: Reichert) 491–505."
275,Schaffner,2001,344,344,355,355,"Schaffner, S. (2001). Das Vernersche Gesetz und der innerparadigmatische grammatische Wechsel des Urgermanischen im Nominalbereich. Innsbruck: Institut für Sprachwissenschaft der Universität Innsbruck. Schindler, J. (1967a). ‘Das idg. Wort für “Erde” und die dentalen Spiranten’, Die Sprache 13: 191–205. Schindler, J. (1967b). ‘Tocharische Miszellen’, Indogermanische Forschungen 72: 239–49. Schindler, J. (1967c). ‘Zu hethitisch nekuz’, Zeitschrift für vergleichende Sprachforschung 81: 290–303. Schindler, J. (1972a). ‘L’apophonie des noms-racines indo-européens’, Bulletin de la Société de Linguistique 67: 31–8. Schindler, J. (1972b). Das Wurzelnomen im Arischen und Griechischen. Dissertation, University of Würzburg. Schindler, J. (1975a). ‘L’apophonie des thèmes indo-européens en -r/n’, Bulletin de la Société de Linguistique 70: 1–10. Schindler, J. (1975b). ‘Zum ablaut der neutralen s-Stämme des Indogermanischen’, in Rix (ed.) 1975: 259–67. Schindler, J. (1977a). ‘Notizien zum Sieversschen Gesetz’, Die Sprache 23: 56–65. Schindler, J. (1977b). ‘A thorny problem’, Die Sprache 23: 25–35."
276,Schindler,1980,344,344,355,355,"Schindler, J. (1980). ‘Zur Herkunft der altindischen cvi-Bildungen’, in Mayrhofer et al. (edd.) 1980: 386–93."
277,Schmidt,1973,344,344,355,355,"Schmidt, G. (1973). ‘Die iranischen Wörter für “Tochter” und “Vater” und die Reflexe des interkonsonantischen H (ə) in den idg. Sprachen’, Zeitschrift für vergleichende Sprachforschung 87: 36–83."
278,Schmidt,1992,344,344,355,355,"Schmidt, K. T., and Winter, W. (1992). ‘Die Formen der 1. Singular Aktiv der unerweiterten Präterita in Tocharisch B’, Historische Sprachforschung 105: 50–6."
279,Schrijver,1995,344,344,355,355,"Schrijver, P. (1995). Studies in British Celtic historical phonology. Amsterdam: Rodopi."
280,Schrijver,2006,344,344,355,355,"Schrijver, P. (2006). Review of Meiser, G., Veni vidi vici (Munich 2003: Beck), Kratylos 51: 46–54."
281,Schuhmann,2016,344,344,355,355,"Schuhmann, R. (2016). ‘Zur Endung der 3.Sg.Ind.Prät. der schwachen Verben in den Runeninschriften im älteren Futhark’, in Neri, S., Schuhmann, R., and Zeilfelder, S. (edd.), “dat ih dir it nu bi huldi gibu”: Linguistische, germanistische, und indogermanistische Studien Rosemarie Lühr gewidmet (Wiesbaden: Reichert) 407–18."
282,Schulte,2007,344,344,355,355,"Schulte, M. (2007). Review of Ringe, D., From Proto-Indo-European to Proto-Germanic (1st ed., 2006), Journal of Indo-European Studies 35: 399–410."
283,Schwyzer,1939,344,344,355,355,"Schwyzer, E. (1939). Griechische Grammatik. I. Band. Munich: Beck. Seebold, E. (1967a). ‘Sind got. nawis und sutis i-stämmige Adjektive?’, Beiträge zur Geschichte der deutschen Sprache und Literatur (Tübingen) 89: 42–53. Seebold, E. (1967b). ‘Die Vertretung von idg. gʷʰ im Germanischen’, Zeitschrift für vergleichende Sprachforschung 81: 104–33."
284,Seebold,1968,344,344,355,355,"Seebold, E. (1968). ‘Ae. twegen und ahd. zwēne ‘zwei’ ’, Anglia 86: 417–36."
285,Seebold,1970,344,344,355,355,"Seebold, E. (1970). Vergleichendes und etymologisches Wörterbuch der germanischen starken Verben. The Hague: Mouton."
286,Seebold,1972,345,345,356,356,"Seebold, E. (1972). Das System der indogermanischen Halbvokale. Heidelberg: Winter."
287,Sievers,1876,345,345,356,356,"Sievers, E. (1876). ‘Kleine Beiträge zur deutschen Grammatik. III. Die starke adjectivdeclination’, Beiträge zur Geschichte der deutschen Sprache und Literatur 2: 98–124."
288,Sihler,1995,345,345,356,356,"Sihler, A. (1995). New comparative grammar of Greek and Latin. Oxford: Oxford University Press."
289,Snædal,1998,345,345,356,356,"Snædal, M. (1998). A Concordance to Biblical Gothic. Reykjavík: University of Iceland Press."
290,Sommer,1948,345,345,356,356,"Sommer, F. (1948). Handbuch der lateinischen Laut- und Formenlehre. 2nd and 3rd ed. Heidelberg: Winter."
291,Sowa,2007,345,345,356,356,"Sowa, W. (2007). ‘Anmerkungen zum Verbalsystem des Phrygischen’, Indogermanische Forschungen 112: 69–95."
292,Stang,1966,345,345,356,356,"Stang, C. (1966). Vergleichende Grammatik der baltischen Sprachen. Oslo: Universitetsforlaget."
293,Stang,1974,345,345,356,356,"Stang, C. (1974). ‘Ieur. *swad-/*swād-’, Norsk Tidsskrift for Sprogvidenskap 28: 99–101. Stiles, P. V. (1984a). ‘On the interpretation of Older Runic swestar on the Opedal Stone’, North-Western European Language Evolution 3: 3–48. Stiles, P. V. (1984b). Studies in the history of the Germanic r-stems. Dissertation, University of Oxford. Stiles, P. V. (1985–6). ‘The fate of the numeral “4” in Germanic’, North-Western European Language Evolution 6: 81–104, 7: 3–27, 8: 3–25."
294,Stiles,1988,345,345,356,356,"Stiles, P. V. (1988). ‘Gothic nominative singular brōþar ‘brother’ and the reflexes of Indo-European long vowels in the final syllables of Germanic polysyllables’, Transactions of the Philological Society 86: 115–43."
295,Stiles,2010,345,345,356,356,"Stiles, P. V. (2010). ‘The Gothic extended forms of the dental preterite endings’, North-Western European Language Evolution 58/59: 343–66."
296,Stiles,2013,345,345,356,356,"Stiles, P. V. (2013). ‘The pan-West Germanic isoglosses and the sub-relationships of West Germanic to other branches’, North-Western European Language Evolution 66: 5–38."
297,Streitberg,1896,345,345,356,356,"Streitberg, W. (1896). Urgermanische Grammatik. Heidelberg: Winter."
298,Strunk,1985,345,345,356,356,"Strunk, K. (1985). ‘Flexionskategorien mit akrostatischem Akzent und die sigmatischen Aoriste’, in Schlerath, B., and Rittner, V. (edd.), Grammatische Kategorien: Funktion und Geschichte (Wiesbaden: Reichert) 490–514."
299,Sukač,2012,345,345,356,356,"Sukač, R., and Šefčík, O. (edd.) (2012). The sound of Indo-European 2. Munich: Lincom Europa."
300,Syrett,1994,345,345,356,356,"Syrett, M. (1994). The unaccented vowels of Proto-Norse. Odense: Odense U. Press."
301,Szemerényi,1956,345,345,356,356,"Szemerényi, O. (1956). ‘Latin rēs and the Indo-European long-diphthong stem nouns’, Zeitschrift für vergleichende Sprachforschung 73: 167–202."
302,Szemerényi,1960,345,345,356,356,"Szemerényi, O. (1960). Studies in the Indo-European system of numerals. Heidelberg: Winter."
303,Szemerényi,1966,345,345,356,356,"Szemerényi, O. (1966). ‘The origin of the Vedic “imperatives” in -si’, Language 42: 1–6."
304,Szemerényi,1967,345,345,356,356,"Szemerényi, O. (1967). ‘The history of Attic οὖς and some of its compounds’, Studi Micenei ed Egeo-Anatolici 3: 47–88."
305,Szemerényi,1973,345,345,356,356,"Szemerényi, O. (1973). ‘Marked-unmarked and a problem of Latin diachrony’, Transactions of the Philological Society 72: 55–74."
306,Szemerényi,1996,345,345,356,356,"Szemerényi, O. (1996). Introduction to Indo-European linguistics. Oxford: Oxford University Press."
307,Tanaka,2011,345,345,356,356,"Tanaka, T. (2011). A morphological conflation approach to the historical development of preterite-present verbs. Fukuoka: Hana-Shoin."
308,Taylor,1990,346,346,357,357,"Taylor, A. (1990). Clitics and configurationality in Ancient Greek. Ph.D. dissertation, University of Pennsylvania."
309,Tichy,2006,346,346,357,357,"Tichy, E. (2006). A survey of Proto-Indo-European. Bremen: Hempen."
310,Tops,1974,346,346,357,357,"Tops, G. (1974). The origin of the Germanic dental preterit. Leiden: Brill."
311,Tops,1978,346,346,357,357,"Tops, G. (1978). ‘The origin of the Germanic dental preterit: Von Friesen revisited’, Fisiak, J. (ed.), Recent developments in historical phonology (The Hague: Mouton) 349–71."
312,Trubetzkoy,1926,346,346,357,357,"Trubetzkoy, N. (1926). ‘Gedanken über den lateinischen a-Konjunktiv’, in [No ed.] 1926: 267–74."
313,Tucker,1981,346,346,357,357,"Tucker, E. (1981). ‘Greek factitive verbs in -οω, -αινω and -υνω’, Transactions of the Philological Society 79: 15–34."
314,Þórhallsdóttir,1993,346,346,357,357,"Þórhallsdóttir, G. (1993). The Development of Intervocalic *j in Proto-Germanic. Ph.D. dissertation, Cornell."
315,Ulff-Møller,1991,346,346,357,357,"Ulff-Møller, J. (1991). ‘The higher numerals in early Nordic texts, and the duodecimal system of calculation’, in The audience of the sagas: the Eighth International Saga Conference (Gothenburg University: preprints) 323–30."
316,Vennemann,1985,346,346,357,357,"Vennemann, T. (1985). ‘The bifurcation theory of the Germanic and German consonant shifts: synopsis and some further thoughts’, in Fisiak, J. (ed.), Papers from the 6th International Conference on Historical Linguistics (Amsterdam: Benjamins) 527–47."
317,Vine,1988,346,346,357,357,"Vine, B. (1988). Review of Gamkrelidze and Ivanov 1984, Language 64: 396–402."
318,Vries,1960,346,346,357,357,"Vries, J. de. (1960). Kelten und Germanen. Munich: Francke."
319,Wackernagel,1904,346,346,357,357,"Wackernagel, J. (1904). Studien zum griechischen Perfektum. Programm zur akademischen Preisverteilung. Göttingen: Universität Göttingen. (= Kleine Schriften (Göttingen 1953: Vandenhoeck & Ruprecht) 1000–21.)"
320,Walde,1900,346,346,357,357,"Walde, A. (1900). Die germanischen Auslautgesetze. Halle: Niemeyer."
321,Walkden,2014,346,346,357,357,"Walkden, G. (2014). Syntactic reconstruction and Proto-Germanic. Oxford: Oxford University Press."
322,Watkins,1962,346,346,357,357,"Watkins, C. (1962). Indo-European origins of the Celtic verb. I. The sigmatic aorist. Dublin: Institute for Advanced Studies."
323,Watkins,1969,346,346,357,357,"Watkins, C. (1969). Indogermanische Grammatik. Band III: Formenlehre. Erster Teil: Geschichte der indogermanischen Verbalflexion. Heidelberg: Winter."
324,Watkins,1975,346,346,357,357,"Watkins, C. (ed.) (1975). Indo-European Studies II. Cambridge (Mass.): Harvard Dept. of Linguistics."
325,Watkins,1987,346,346,357,357,"Watkins, C. (ed.) (1987). Studies in Memory of Warren Cowgill. Berlin: de Gruyter."
326,Weiss,1993,346,346,357,357,"Weiss, M. (1993). Studies in Italic nominal morphology. Ph.D. dissertation, Cornell."
327,Weiss,1994,346,346,357,357,"Weiss, M. (1994). ‘Life everlasting: Latin iūgis “everflowing”, Greek ὑγιής “healthy”, Gothic ajukdūþs “eternity” and Avestan yauuaēȷ̌ ī- “living forever”, Münchener Studien zur Sprachwissenschaft 55: 131–56."
328,Weiss,2006,346,346,357,357,"Weiss, M. (2006). ‘Latin orbis and its cognates’, Historische Sprachforschung 119: 250–72."
329,Weiss,2007,346,346,357,357,"Weiss, M. (2007). ‘Cui bono? The beneficiary phrases of the third Iguvine table’, in Nussbaum (ed.) 2007: 365–78."
330,Weiss,2012,346,346,357,357,"Weiss, M. (2012). ‘Italo-Celtica: linguistic and cultural points of contact between Italic and Celtic’, in Jamison, S. W., Melchert, H. C., and Vine, B. (edd.), Proceedings of the 23rd Annual UCLA Indo-European Conference (Bremen: Hempen) 151–73."
331,Weiss,2016,346,346,357,357,"Weiss, M. (2016). ‘ “Sleep” in Latin and Indo-European: on the non-verbal origin of Latin sōpiō’, in Gunkel et al. 2016: 470–85."
332,Weiss,Forthcoming,347,347,358,358,"Weiss, M. (Forthcoming). ‘The Proto-Indo-European laryngeals and the name of Cilicia in the Iron Age’, to appear in a Festschrift."
333,Winter,1965,347,347,358,358,"Winter, W. (ed.) (1965). Evidence for Laryngeals. The Hague: Mouton."
334,Winter,1998,347,347,358,358,"Winter, W. (1998). ‘Lexical Archaisms in the Tocharian Languages’, in Mair (ed.) 1998: 347–57."
335,Witczak,2012,347,347,358,358,"Witczak, K. T. (2012). ‘Indo-European *gʷʰ in Germanic’, Lingua Posnaniensis 54: 83–90."
336,Wodtko,2008,347,347,358,358,"Wodtko, D. S., Irslinger, B., and Schneider, C. (2008). Nomina im indogermanischen Lexikon. Heidelberg: Winter."
337,Wolfram,2004,347,347,358,358,"Wolfram, H. (2004). Die Germanen. Munich: Beck."
338,Yakubovich,2009,347,347,358,358,"Yakubovich, I. (2009). Sociolinguistics of the Luvian language. Leiden: Brill."
339,Yoshida,1990,347,347,358,358,"Yoshida, K. (1990). The Hittite mediopassive endings in -ri. Berlin: de Gruyter."
