merged_term	DW0 (Transposit)	narGloss	old1_term	match_type	review_flag	PIE Root	PIE 0	BVS!	DW0 (Actual)	DW1-F	DW1-B	DE	D2	pos	List(s)	CIGBS	Sem.	narEty	narDer	narAttest	narDisc	narNomRoot	narNomDer	conRoot class	conRootUltimate	conDeriv	conEty:	conPlan:	PIE	PIt	PC	PGm	PBl	PSl	Gr.	EDB	AD	dedup_notes	intake_bucket	intake_reason	best_current_id	best_current_lemma	best_current_gloss	best_current_status	best_match_score	top_current_matches	parsed_new_terms	parsed_new_glosses	pos_coarse
ɣvoniom	ɣʷoni ~ ɣʷanies	"‘strike, blow, punch’"		old2_only		*gʷʰen-	*gʷʰón-i ~ *gʷʰn̥-y-és	FALSE	ɣʷoni ~ ɣʷaneis	ɣvoniom /ɣʷoniõ(m)/	gvoniom /gʷon.jõ(m)/	źoniō /ʒoɲō/		n. o n.																									probable_new_entry	no_match							ɣvoniom	"strike, blow, punch"	noun
iōra	iōra	"‘time, period, cycle, age’"	iōra	dw0				FALSE						n. a f.													PIE *yóh₁r̥ ~ *yéh₁n-												probable_new_entry	low_match	270	tánā	"stretch of time, length"	canonical	1.46	"270:tánā:stretch of time, length (1.46) | 141:kvéklos:wheel, circle; turn, cycle (1.41)"	iōra	"time, period, cycle, age"	noun
kaitā	kaitā	"‘heather, heath’"	kaitā	dw0				FALSE						n. a f.				From OD.				kait- ?	-ā		"PG, PK"														probable_new_entry	no_match							kaitā	"heather, heath"	noun
kaliks	kaliks	‘vessel for food or drink’	kaliks	dw0				FALSE						n. ? ?				"Since OD, from AD skaliks with regular loss of initial s- before another consonant."				s-kal-ik- ?								EDL 83: caliɣ < *(s)kalik- < subst. *kʷlH-ik-.									probable_merge	partial_gloss	94	gvéitom	food	canonical	2.58	94:gvéitom:food (2.58) | 384:píboti:to drink (0.33)	kaliks	vessel for food; drink	noun
kambros	kamaros	‘lobster’	kumaros	gloss	REVIEW:gloss-match		*kḿ̥h₂-er-os	FALSE		kambros	kambros	kimbraz		n. o m.			fauna	From EAD.				kum-ar- or ku-mar- ?			wanderwort		From Pre-Proto-Germanic per EDPG 254 *humaraz < **kumaros.	> kumros ?										old-1 form was 'kumaros'	probable_new_entry	no_match							kambros; kumaros	lobster	noun
kantogus	kantogus	"‘wealthy, (lit) having 100 cows’"		old2_only			*ḱm̥tógʷus	FALSE	kantogus	"kantogus, -u"	śintoguz			adj. a/o																									probable_new_entry	low_match	339	sessos	"seated, having sat"	canonical	1.46	"339:sessos:seated, having sat (1.46) | 98:ɣverīnos:having to do with wild animals (1.41) | 99:ɣverīskos:having to do with wild animals (1.41) | 101:gvetudervís:pine tree (lit. pitch-tree) (-0.09) | 175:moriarksos:predatory sea mammal (lit. sea-bear) (-0.12)"	kantogus	"wealthy, (lit) having 100 cows"	adj
kāros	kāros	"‘dear, beloved’"	kāros	exact		*keh₂-	"*keh₂-ró-s, *kh₂-ró-s"	FALSE	kāros	"kāros, -om, -ā"		karoz		adj. a/o																									already_represented	term_exact+gloss_exact	122	kāros	"dear, beloved"	canonical	12.00	"122:kāros:dear, beloved (12.00)"	kāros	"dear, beloved"	adj
karra	karra	"‘beeswaɣ, waɣ’"	karra	dw0				FALSE						n. a f.				"Since OD from forms ka(a)raa, kairaa, and ke(e)raa in AD."																					probable_new_entry	no_match							karra	"beeswaɣ, waɣ"	noun
karzos	karsos	"‘wagon, cart, chariot’"	karsos	dw0		*ḱr̥sós		FALSE		karzos	karros	śirruz		n. o m.				From OD.									PIE *ḱr̥sós.											old-1 form was 'karsos' (updated)	probable_new_entry	no_match							karzos; karsos	"wagon, cart, chariot"	noun
kātrīks	kātrīks	‘scar’	kātrīks	dw0				FALSE						n. a f.				From EAD.				kat-rik- ?								"EDL 113: cicātrīɣ, “Etymology unknown.”"									probable_new_entry	no_match							kātrīks	scar	noun
kāups ~ kāupes	kāups ~ kaupes	"‘heap, pile; garbage?’"		old2_only		*keh₂u̯p-	*kéh₂u̯p-s ~ *kh₂u̯p-és	FALSE		kāups ~ kāupes	kāups ~ kāupes			n. o m.																									probable_new_entry	no_match							kāups; kāupes	"heap, pile; garbage?"	noun
klāvis	klāvis	"‘key, pin, pick’"		old2_only	REVIEW:possible-split			FALSE						n. i m.				Since OD.				klā-w-i-s																	probable_new_entry	low_match	40	ðélgos	"pin, needle"	canonical	1.67	"40:ðélgos:pin, needle (1.67)"	klāvis	"key, pin, pick"	noun
klāvis	klāwis	‘bolt (of a door); lock’	klāvis	exact	REVIEW:possible-split	*kleh₂u̯-	*kléh₂u̯-i-s	FALSE		klāvis								Since OD.																					probable_new_entry	low_match	59	ðvṓr	door	canonical	1.58	59:ðvṓr:door (1.58)	klāvis	bolt (of a door); lock	
klāvos	klāvos	"‘bolt, pin, rod, bar’"	klāvos	dw0				FALSE						n. o m.				From EAD.				klā-w-o-s																	probable_new_entry	low_match	40	ðélgos	"pin, needle"	canonical	1.52	"40:ðélgos:pin, needle (1.52)"	klāvos	"bolt, pin, rod, bar"	noun
klōps ~ klōpes	"klōps, -pes"	‘thief’	"klōps, -pes"	dw0				FALSE		klōps ~ klōpes	klōpos	klōps		n. c m.				From EAD kloops.				klōp-																"old-1 form was 'klōps, -pes' (updated)"	probable_new_entry	no_match							klōps; klōpes; -pes	thief	noun
"knuks, -es"	"knuks, -es"	‘nut’	"knuks, -es"	dw0				FALSE						n. c f.		CGI		From EAD with				knuk-			wanderwort		Eur. subs. PGm. *hnut- ‘nut’			"EDL 420: nuɣ, nucis < PIt. *knuk- < borrowing"									probable_new_entry	no_match							knuks; -es	nut	noun
koipos?	koipos?	‘stick’	koipos?	dw0				FALSE						n. ? ?	S-207																								probable_merge	partial_gloss	100	gvétu	pointed stick	canonical	3.25	100:gvétu:pointed stick (3.25)	koipos?	stick	noun
koitom	koitom	‘shield'	koitom	dw0				FALSE						n. o n.		NWIE		"Since OD, from AD skoitom with regular loss of initial s- before another consonant."	skoitom > koitom > keitom > kētom			s-koit-o-					IELF 110: *skei̯tom ~ *skoi̯tom.	> skeitom by assim.											probable_new_entry	no_match							koitom	shield	noun
kokobis	kokobis	‘pheasant’	kokobis	dw0				FALSE						n. i m.				Since OD.				ko-kob-																	probable_new_entry	no_match							kokobis	pheasant	noun
kom	kom	‘with’	kom	dw0				FALSE						?	S-207			From EAD.									PIE *kóm.												probable_new_entry	no_match							kom	with	
koslos	koslos	‘hazel’	koslos	dw0				FALSE										Since OD.																					probable_new_entry	low_match	137	kozlos	hazel (tree)	canonical	2.25	137:kozlos:hazel (tree) (2.25)	koslos	hazel	
kozlā	koslā	‘hazel’	aksula	gloss	REVIEW:gloss-match	**kos-	**kos-l-	FALSE	koslā	kozlā	kozlā	kōlā		n. a f.			flora	From LAD.				kVs : a-kVs-ul-					PIt kosula etc. with a-prefiɣation											old-1 form was 'aksula'	probable_merge	partial_gloss	137	kozlos	hazel (tree)	canonical	3.25	137:kozlos:hazel (tree) (3.25)	kozlā; aksula	hazel	noun
koβuks	"koβugs, -es"	‘hawk’	"koβuks, -ges"	gloss	REVIEW:gloss-match		*kobʰug-	FALSE	koβuks ~ koβuges	"koβuks, koβuges"	kobugos	kobugos		n. c m.			fauna	From EAD.							wanderwort		"EDPG 197: PGm. habuka- < kab⁽ʰ⁾u-k/g-, Sl. kab⁽ʰ⁾uk-io-, Lat. capus < kapu-."			kapu-		kabʰ-uk-		kabʰ-uk-io-			kabʰ-uk-s	"old-1 form was 'koβuks, -ges'"	probable_new_entry	no_match							koβuks; -ges	hawk	noun
krispos	krispos	‘curly’	kripsos	gloss	REVIEW:gloss-match			FALSE		"krispos, -om, -ā"				adj. a/o		CI•••		Since OD.	kripstaros kripstamos			krips-					"IELF 107: Lat. crispus, Gaul. criɣsus < *krips-o- < *krei̯p-os."	> krissos ?										old-1 form was 'kripsos'	probable_new_entry	no_match							krispos; kripsos	curly	adj
krūros	krūros	‘bloody’		old2_only		*krewh₂-	*kruh₂-rós	FALSE		"krūros, -om, -ā"				adj. a/o																									probable_new_entry	no_match							krūros	bloody	adj
kukurra	kukurra	‘cooking pot; small cauldron’	kukurra	dw0				FALSE						n. a f.			flora	"!From D0 in various forms kv(r)kv(r)ra with obvious wander-root meaning something like ‘bowl, cup, small hollow container’."				ku-kur-			neologism		See Cons section for cucurunða.												probable_new_entry	low_match	154	līðrā́	small amount	canonical	1.52	"154:līðrā́:small amount (1.52) | 172:menús:small (0.88) | 163:manús:small, tiny (0.03)"	kukurra	cooking pot; small cauldron	noun
kukurrunðā	kukurrunða	‘cucumber’	kukurrunða	gloss	REVIEW:gloss-match			FALSE		"kukurrunðā, -ās"	kukurrunðā	kukurrunda		n. a f.			flora	"!From D0 in forms kv(r)kv(r)v(n)d(h)aa, -i(n)d(h)aa."	kukurrunðelos ‘penis (derisive) lit. little cucumber’ > cucurundlos > ?			ku-kur-unð-			neologism		EDL 148: cucumis; EDL 149: curcubita; EDPG 266 *hwerhwetjō- < *kʷer-kʷet- all point to a wanderwort root **ku(r)ku(r)-.											old-1 form was 'kukurrunða'	probable_new_entry	no_match							kukurrunðā; kukurrunða	cucumber	noun
kuliks	kuliks	‘holly’	kuliks	exact				FALSE		"kuliks, -es"	"kuliks, kulikes"	kulika		n. c m.				"From OD, root-doublet of kulisā (q.v.). Likely borrowing."				kul-ik-	-ik-		"PG, PK"														probable_merge	partial_gloss	116	kalnós	holly (tree)	unresolved	3.25	116:kalnós:holly (tree) (3.25)	kuliks	holly	noun
kulisā	kulisā	‘holly’	kulisā	dw0				FALSE						n. a f.				"From OD, root-doublet of kuliks (q.v.). Likely borrowing."				kul-is-	-is-		"PG, PK"														probable_merge	partial_gloss	116	kalnós	holly (tree)	unresolved	3.25	116:kalnós:holly (tree) (3.25)	kulisā	holly	noun
kvapō	kvapō	‘confidence artist; pickpocket’	kvapō	dw0				FALSE						n. c m.				From EAD.																					probable_new_entry	no_match							kvapō	confidence artist; pickpocket	noun
kvapos	kvapos	"‘conman, cheat, petty criminal’"	kvapos	dw0				FALSE						n. o m.																									probable_new_entry	low_match	345	duzviros	"ne'er-do-well, bumpkin; criminal, villain, evil-doer"	canonical	1.31	"345:duzviros:ne'er-do-well, bumpkin; criminal, villain, evil-doer (1.31)"	kvapos	"conman, cheat, petty criminal"	noun
kve	kve	‘and’	kve	dw0				FALSE						?	S-207			From EAD kve in both conjuctive and clitic use.							PIE						EDPC 176: *-kʷe ‘id.’								probable_new_entry	no_match							kve	and	
kveklom	kveklom	"‘wheel, circle’"	kveklom	dw0				FALSE						n. o n.				Since AD.				kwel-(e)l- ?																	probable_merge	gloss_exact	141	kvéklos	"wheel, circle; turn, cycle"	canonical	6.50	"141:kvéklos:wheel, circle; turn, cycle (6.50)"	kveklom	"wheel, circle"	noun
kvelis	kvelis	‘head-cold’	kvelis	dw0				FALSE						n. i f.				Since OD.				kwel-i-																	probable_merge	partial_gloss	120	káput	head	unresolved	3.00	"120:káput:head (3.00) | 221:potís:husband, head of household (1.75) | 74:gelús:cold (1.50)"	kvelis	head-cold	noun
kveris	kveris	‘crow’	kveris	dw0				FALSE						n. i m.			fauna	Since AD.				kwer-					Proto-Kartvelian per EDKL 93: *ḳwer-. for /k’weri/ > /kwerɪs/ with rule k’- > k-. css												probable_new_entry	no_match							kveris	crow	noun
kveros	kveros	‘cauldron’	kveros	dw0				FALSE						n. o m.				From LAD.	kverelos cooking pot?																				probable_new_entry	no_match							kveros	cauldron	noun
kvī	kʷī	‘how?’		old2_only		*kʷíh₁		FALSE	kvī /kʷī/	kvī /kʷī/	kī /kī/			?																									probable_new_entry	no_match							kvī	how?	
leisa	leisa	"‘furrow, track’"	leisa	dw0				FALSE						n. a f.			agric.	From EAD leisa.				leis-					IELF 110: *l(V)i̯hₓseh₂			EDL 345: līra < PIt. *loisā- < PIE *lois-h₂-.		EDPG 324: *laisō- < *lóis-eh₂-.							probable_merge	partial_gloss	156	lóizā	"furrow; track, trail"	canonical	2.83	"156:lóizā:furrow; track, trail (2.83)"	leisa	"furrow, track"	noun
lēius	lēius	‘smooth’	lēius	dw0				FALSE						?	S-207			Since OD.																					probable_new_entry	no_match							lēius	smooth	
lepos		‘hare’	lepos	old1_only	REVIEW:old1-only									n. o m.			fauna	From EAD.				lep-																	probable_new_entry	no_match							lepos	hare	noun
leukos	leukos	"‘bright, shining’"	leukos	exact		*lewk-	*lewkós	FALSE		"leukos, -om, -ā"	loukos ~ loukosio	lūkuz ~ lūkuŕi		adj. a/o				Since OD.																					probable_new_entry	no_match							leukos	"bright, shining"	adj
leuksnā	leuksna	‘moon’	leuksna	dw0				FALSE		leuksnā	leuɣsnā	lousna		n. a f.	"S-207, SY"			From EAD levksnaa.				leuk-s-nā						> louksna > louɣsna > lūsna > lūnna		Lat. lūna < louksna < louks-n-a-	lowɣsnā < louks-n-a-	mēnan- < meʕn-s or meʕn-os					lūcsna < loucsna < louksnā < louks-n-a-	old-1 form was 'leuksna' (updated)	probable_merge	gloss_exact	159	lóuksnā	moon	canonical	7.50	159:lóuksnā:moon (7.50)	leuksnā; leuksna	moon	noun
lokos	lokos	‘salmon’	lokos	dw0				FALSE						n. o m.				"From EAD lokōs, loksos, subsequently reanalyzed as an o-stem from the genitive by OD."																					probable_new_entry	no_match							lokos	salmon	noun
magis (many)	magis	‘many’	magis	exact				FALSE		"magis, -i"				adj. i	S-207							mag-																	probable_merge	partial_gloss	212	pelús	"much, many"	canonical	3.25	"212:pelús:much, many (3.25)"	magis many; magis	many	adj
magis (more)	magis	‘more’		old2_only				FALSE		"magis, -i"				adj. i				From EAD.	"magios ‘yet more, much’ magitamos ‘most, so much, too much’"			mag-																	probable_new_entry	no_match							magis more	more	adj
magnos		"‘big, great, powerful, large’"	magnos	old1_only	REVIEW:old1-only									adj. a/o	S-207			Since AD.	"comp. magnios superl. magnitamos is irregular, using the comparative stem, to prevent a -gnt- sequence."			mag-n-								EDL 358: magnus < PIt. magnos < mǵ-no- from Schrijver’s RDC- > RaDC-.	EDPC 253: *magyos < *méǵh₂-.	"EDPG 361: *mekila- < *meǵ-el-. “Unlike the other IE languages,  Germanic added a suffiɣ *-ila- ( < *-eli-?) to
the root *meǵ-."							probable_new_entry	low_match	206	pánts	large predatory cat	canonical	-0.04	"206:pánts:large predatory cat (-0.04) | 208:párts:large predatory cat (-0.04) | 146:kvoinā́:blood-money, ransom, great cost (-0.12) | 252:skválos:large fish or whale; sea monster (-0.12) | 279:tigrís:large, striped, predatory cat of forest environs (-0.15)"	magnos	"big, great, powerful, large"	adj
makros	makros	"‘thin (skinny), weak’"	makros	exact				FALSE		"makros, -om, -ā"				adj. a/o				Since OD.	"comp. makrios, super. makritamos."			mak-r-																	probable_merge	partial_gloss	272	tanús	thin	canonical	2.58	272:tanús:thin (2.58)	makros	"thin (skinny), weak"	adj
makvis	makvis	‘blackberry’	makvis	exact				FALSE		"makvis, -eis"				n. i f.			agric.	Since OD.				mak-w-					Proto-Kartvelian per EDKL 117: *maq̣w-.												probable_new_entry	no_match							makvis	blackberry	noun
mālom ~ mālōs	mālom	‘apple’	mālom	dw0				FALSE		mālom ~ mālōs				n. o n.				From EAD.				māl-					"Per Kroonen, PIE *(s)mh₂l-."											old-1 form was 'mālom' (updated)	probable_merge	gloss_exact	393	ábōl	apple	candidate	7.50	393:ábōl:apple (7.50)	mālom; mālōs	apple	noun
mandragā		‘mandrake’	mandragā	old1_only	REVIEW:old1-only									n. a f.			flora	"From LAD, appearing alongside original mandraks until supplanting it by OD."				mandrag-					Greek												probable_new_entry	no_match							mandragā	mandrake	noun
mandraks		‘mandrake’	mandraks	old1_only	REVIEW:old1-only									n. c f.			flora	"Attested in AD, appearing alongside and being supplanted by mandraga (q.v.) since OD before being suppla."				mandrag-																	probable_new_entry	no_match							mandraks	mandrake	noun
mantis	mantis	‘thought’	mantis	exact		*men-	*mén-t-is ~ *mn̥-t-éis	FALSE		"mantis, -eis"		minti		n. i f.				Since OD.																					probable_new_entry	no_match							mantis	thought	noun
markos		‘horse’	markos	old1_only	REVIEW:old1-only									n. o m.								mar-k-																	probable_merge	gloss_exact	60	ékvos	horse	canonical	7.50	60:ékvos:horse (7.50)	markos	horse	noun
martos	martos	‘dead’	martos	exact				FALSE		"martos, -om, -ā"				adj. a/o				From EAD.	"comp. marseros, superl. marsamos"			mart-w-																	probable_merge	gloss_exact	166	martus	dead	canonical	7.50	166:martus:dead (7.50)	martos	dead	adj
matlis	matlis	‘worm’	matlis	dw0				FALSE						n. i m.				Since OD.									Proto-Kartvelian per EDKL 117: *ma-ṭl-.												probable_merge	gloss_exact	297	varmís	worm	canonical	7.50	297:varmís:worm (7.50)	matlis	worm	noun
melðanios	melðanios	‘hammer of the thunder god; blacksmith’s hammer; lightning’	melðanios	dw0		*meldʰ-n-	*meldʰ-n-i-os	FALSE		melðanios	meldanios	mildiniaz*		n. o m.				From EAD.			"Early depictions are of a hammer. Later depictions include sledge- and peen-hammers but also mauls and even aɣes, the latter two in association with oaks."	mel-ð-an- ?					West 2007:253 melðuniyaz from Watkins 1995:429 melð[u]nijaz. Watkins mentions Pokorny but I haven’t found it yet. Both forms imply a pre-form **meld⁽ʰ⁾-n-yos. Would such a form cause a Latinate **melbonius?									"EDB 544: milna ‘hammer of the thunderer’ < *mild-n-, *meld-n- < *m(e)ldʰ-n-."		old-1 form was 'melðanios' (updated)	probable_new_entry	low_match	1	agnís	god	canonical	2.25	"1:agnís:god (2.25) | 358:méltrom:hammer (2.25) | 37:deivós:god, deity (1.43) | 359:melðániios:Melðanjos (divine hammer of Agnis) (1.32)"	melðanios	hammer of the thunder god; blacksmiths hammer; lightning	noun
melit		‘honey’	melit	old1_only	REVIEW:old1-only									n. c n.				Since AD.		meðu vīnom melitē e[sti] ‘mead is wine from (by) honey.’																			probable_merge	gloss_exact	170	melí	honey	canonical	7.50	170:melí:honey (7.50)	melit	honey	noun
meskalia	meskalia	‘pear’	meskalia	dw0				FALSE						n. a f.			agric.	"From EAD meskaliaa. EAD amskaliaa, with the same meaning, is attested marginally and may indicate a borrowing of two related forms from the lending language."									Proto-Karvelian per EDKL 125: *msɣal-.												probable_merge	partial_gloss	162	malom	"apple, pear"	canonical	3.25	"162:malom:apple, pear (3.25)"	meskalia	pear	noun
mezala	mezala	‘blackbird’	mezala	dw0				FALSE						n. a f.			fauna	Since AD.				mes-al-			unknown		EDL 375: merula < PIt. mesVlā-; EDPC 268: *mesal-kā < PIE *mes-al-; EDPG 25: *amslōn- eɣhibiting a root  *amsl- ~ *mesal-.	> mesla ?											probable_new_entry	no_match							mezala	blackbird	noun
monoɣos		‘many’	monoɣos	old1_only	REVIEW:old1-only									adj. a/o					"comp. monoǵios, superl. monoǵitamos"																				probable_merge	partial_gloss	212	pelús	"much, many"	canonical	3.25	"212:pelús:much, many (3.25)"	monoɣos	many	adj
"nās, nases"	"nās, nases"	‘nose’	"nās, nases"	dw0				FALSE						n. c f.	"S-207, SY"			Since OD.																					probable_merge	gloss_exact	180	nāzā	nose	canonical	7.50	180:nāzā:nose (7.50)	nās; nases	nose	noun
nekom	nekom	"‘without, (lit) not with’"	nekom	dw0				FALSE						?				From EAD.																					probable_new_entry	low_match	101	gvetudervís	pine tree (lit. pitch-tree)	canonical	0.50	"101:gvetudervís:pine tree (lit. pitch-tree) (0.50) | 342:ne:not; lest (sentential negation) (0.50) | 175:moriarksos:predatory sea mammal (lit. sea-bear) (0.45) | 66:ɣamṓ:person, human being, (lit.) earthling (0.45)"	nekom	"without, (lit) not with"	
nemeza		"‘clearing in a forest as a sacred site, sacred forest’"	nemeza	old1_only	REVIEW:old1-only									n. a f.				"From OD, a derivation from the oblique stem of nemos, nemesos ‘id.’."				nem-es-																	probable_new_entry	low_match	355	sakrovéstrom	"sanctuary, sacred precinct (institutional)"	canonical	1.41	"355:sakrovéstrom:sanctuary, sacred precinct (institutional) (1.41) | 279:tigrís:large, striped, predatory cat of forest environs (1.35) | 353:danvivéits:well-watcher, well-priest, guardian of the sacred precinct (1.35) | 356:éngman:sacred fire-nature; the quality of being ensouled by fire (1.35) | 354:sakrós:sacred, holy, set apart (-0.09)"	nemeza	"clearing in a forest as a sacred site, sacred forest"	noun
nēr ~ neres	*nḗr ~ *néram̥ ~ an̥rés ~ nér(i)	"‘vital energy, (like the concept of qi)’"		old2_only			*h₂nḗr ~ *h₂nérm̥ ~ h₂n̥rés ~ h₂nér(i)	FALSE	nēr ~ neres	nēr ~ neres	nēr ~ neres			n. c m.																									probable_new_entry	low_match	185	nḗr	"power, force, energy"	canonical	1.39	"185:nḗr:power, force, energy (1.39)"	nēr; neres	"vital energy, (like the concept of qi)"	noun
nēvana	nēvana	"‘sinew, tendon; gristle’"	nēvana	dw0				FALSE						n. r/n n.				"From EAD sneevar, snavens leveling to snēvar, snēvans by OD."				snēw-						"> snēvar, snēvans > nēvan, -s"											probable_new_entry	no_match							nēvana	"sinew, tendon; gristle"	noun
neβalā ~ neβalās	neβalā	"‘fog, mist, vapor’"		old2_only		*nébʰ-	*nebʰ-l̥-eh₂	FALSE		neβalā ~ neβalās	neβalā	nebila		n. a f.																									probable_merge	partial_gloss	173	miɣlā	mist	canonical	2.58	"173:miɣlā:mist (2.58) | 188:neβalom:fog, mist, haze; confusion (2.13)"	neβalā; neβalās	"fog, mist, vapor"	noun
neβezā		"‘fog, especially as an omen’"	neβezā	old1_only	REVIEW:old1-only									n. a f.				"From OD, a derivation from the oblique stem of neβos, neβesos ‘id.’."				neβ-																	probable_new_entry	low_match	188	neβalom	"fog, mist, haze; confusion"	canonical	1.65	"188:neβalom:fog, mist, haze; confusion (1.65)"	neβezā	"fog, especially as an omen"	noun
okris	okris	"‘edge, overhang’"	okris	dw0				FALSE						n. i m.				Since OD.																					probable_new_entry	no_match							okris	"edge, overhang"	noun
oksīom	oksīom	‘eye’	oksīom	dw0				FALSE						n. o n.	"S-207, SY"			"From EAD s-stem nom sg. oks, gen. sg. okses and irregular pl. (dual?) oksī with the plural form reinterpreted as a new o-stem root appearing by LAD."										(> oɣsīom) > ossīom ?		ok(e)los < PIE *ʕʷekʷ-(e)lo-s		augōn- n. < ʕʷeqʷ-n-			óps < *ʕʷéqʷ-s		?		probable_merge	partial_gloss	377	dákru	tear (of an eye)	canonical	3.25	377:dákru:tear (of an eye) (3.25)	oksīom	eye	noun
opos ~ opezos	opos ~ opesos	"‘all, every’"	opnis	gloss	REVIEW:gloss-match	h₃ep-	*h₃ép-os ~ *h₃ép-es-	FALSE		opos ~ opezos	opos	opos		adj. i	S-207			From EAD.										> omnis > onnis ?										old-1 form was 'opnis'	probable_merge	gloss_exact	14	alnós	"all, every"	canonical	7.50	"14:alnós:all, every (7.50)"	opos; opezos; opnis	"all, every"	adj
orfiom	orfiom	‘inheritance’	orfiom	dw0				FALSE						n. o n.				From EAD.				orf-i-					PIE *h₃orbʰ-yo-m.												probable_new_entry	no_match							orfiom	inheritance	noun
orrea	orrea	‘juniper’	orrea	dw0				FALSE						n. a f.			flora	From EAD.																					probable_new_entry	no_match							orrea	juniper	noun
orvom	orvom	‘pea’	orvom	dw0				FALSE						n. o n.			agric.	From EAD.				orw- or or-w- ?			unknown		Kroonen?			EDL 195: ervum < PIt. *erVgʷ-o- ?		EDPG 37: *arwīt- < *arw-īd-.							probable_new_entry	no_match							orvom	pea	noun
ost	ost	‘bone’	ost	exact				FALSE		"ost, -es"		ostom		n. c n.	"S-207, SY"			Since AD.				ost-ī- ?								os(sum) << ʕʷést-s	knami- < *konʕm ‘leg’	baina- < [unclear]				enazur	< ʕʷést-s		probable_merge	gloss_exact	199	óst	bone	canonical	7.50	199:óst:bone (7.50)	ost	bone	noun
ousīom	ousīom	‘ear’	ousīom	dw0				FALSE						n. o n.	"S-207, SY"			"!From D0 oows, nom. dual oowsii an s-stem with a plural (dual?)  in -ī reinterpreted as the root of a neut. o-stem. Shortening of initial -oo- by analogy with AD oks ~ OD okvīom?"										osvīom > ousīom by analogy with oksiom/ossiom?											probable_new_entry	no_match							ousīom	ear	noun
ovis	ovis	‘sheep’	ovis	dw0				FALSE						n. i m.			fauna	Since AD.				ow-i- ?																	probable_new_entry	no_match							ovis	sheep	noun
pardis	pardis	"‘fart, especially a loud one’"		old2_only		*perd-	*pr̥d-i-s	FALSE		"pardis, -eis"	pardis		pādis (-VrC- > -VVC-)	n. i m.																									probable_merge	partial_gloss	207	párdus	fart	canonical	2.58	207:párdus:fart (2.58) | 361:βórnos:baby boy; the born one (1.50) | 193:óinos:one (1.08) | 117:kamtóm:one hundred (0.17) | 113:kaikos:blind; one-eyed (0.07)	pardis	"fart, especially a loud one"	noun
parkvom	parkvom	‘rib’	parkvom	dw0				FALSE						n. o n.				From EAD parkus.																					probable_new_entry	no_match							parkvom	rib	noun
peiskis	peiskis	‘fish’	peiskis	dw0				FALSE						n. i m.	"S-207, SY"		fauna	Since OD.				peis-k- ?					PIE *p(e)isk-os.			pisk-i-s	feiskos < peisk-o-s	fiska- < pisk-o-s							probable_merge	gloss_exact	217	piskós	fish	canonical	7.50	217:piskós:fish (7.50)	peiskis	fish	noun
peku ~ pekous	peku	‘wealth’	peku	dw0		*péḱ-	*péḱ-u̯	FALSE		peku ~ pekous		peću		n. u n.				"From EAD, supplanted by pekwom (q.v.) by OD and appearing only in poetry and formulae since."				pek-																old-1 form was 'peku' (updated)	probable_merge	term_exact	211	peku	"wealth, livestock"	canonical	7.75	"211:peku:wealth, livestock (7.75)"	peku; pekous	wealth	noun
pekvom	pekvom	‘wealth’	pekvom	dw0				FALSE						n. o n.				"From OD, a reanalysis of peku ‘cattle, livestock; wealth’ as the root of an o-stem neuter noun."																					probable_merge	partial_gloss	211	peku	"wealth, livestock"	canonical	3.25	"211:peku:wealth, livestock (3.25)"	pekvom	wealth	noun
peleks	peleks	‘maul’	peleks	dw0				FALSE						n. c m.				"From EAD peleks, pelekvam with the direct root taken into the oblique cases by OD."	pelekdots 'woodsplitter'			pelek-																	probable_new_entry	no_match							peleks	maul	noun
