merged_term	DW0 (Transposit)	narGloss	old1_term	match_type	review_flag	PIE Root	PIE 0	BVS!	DW0 (Actual)	DW1-F	DW1-B	DE	D2	pos	List(s)	CIGBS	Sem.	narEty	narDer	narAttest	narDisc	narNomRoot	narNomDer	conRoot class	conRootUltimate	conDeriv	conEty:	conPlan:	PIE	PIt	PC	PGm	PBl	PSl	Gr.	EDB	AD	dedup_notes	intake_bucket	intake_reason	best_current_id	best_current_lemma	best_current_gloss	best_current_status	best_match_score	top_current_matches	parsed_new_terms	parsed_new_glosses	pos_coarse
"penkves, -a"	"penkves, -a"	‘five’	"penkves, -a"	dw0				FALSE						num. (irr)	S-207			"From EAD penkve, reinterpreted as a c-stem, plural-only adjective."												kʷenkʷe < penkʷe	kʷenkʷe < penkʷe	fimfe < pimpe < penkʷe					pencues < pencue < penkʷe		probable_new_entry	low_match	213	penkve	five	canonical	6.00	213:penkve:five (6.00)	penkves; -a	five	noun
perkvāsiom	perkvāsiom	"‘oak grove, sacred site of oak trees, oak forest’"	perkvāsiom	dw0				FALSE						n. o n.				From EAD.				perkʷ-			PIE *perkʷ-														probable_new_entry	low_match	214	pérkus	oak	unresolved	2.17	"214:pérkus:oak (2.17) | 183:némos:grove; sanctuary (1.37) | 355:sakrovéstrom:sanctuary, sacred precinct (institutional) (1.31) | 279:tigrís:large, striped, predatory cat of forest environs (1.27) | 353:danvivéits:well-watcher, well-priest, guardian of the sacred precinct (1.27)"	perkvāsiom	"oak grove, sacred site of oak trees, oak forest"	noun
"pervan, -s"	"pervan, -s"	"‘boulder, rock’"	"pervan, -s"	dw0				FALSE						n. r/n n.				"From EAD pervar, parvens with normal -ar ~ -en- > -an leveling."				"per-wa-n-
per-w-an-"					PIE heteroclitic r/n *pérwr̥.												probable_new_entry	no_match							pervan; -s	"boulder, rock"	noun
pervana	pervana	"‘bridge, crossing, way’"	pervana	dw0				FALSE						n. a f.				"From OD, the plural of parvan reanalysed as a fem. noun."				"per-wa-n-
per-w-an-"																	probable_merge	partial_gloss	370	partús	"crossing, bridge, ford"	canonical	2.33	"370:partús:crossing, bridge, ford (2.33)"	pervana	"bridge, crossing, way"	noun
petara	petara	‘feather’	petara	dw0				FALSE						n. a f.	S-207			"Since OD, probaby from the same root as EAD petar, petans."	petaros ‘bird; (lit) feathered’			pet-																	probable_merge	gloss_exact	216	pétrā	feather	canonical	7.50	216:pétrā:feather (7.50)	petara	feather	noun
petaros	petaros	"‘bird, (lit.) feathered’"	petaros	dw0				FALSE						n. o m.	S-207		fauna	!From EAD.				pet-ar-										fuglaz < flug-la- < pluk-lo-				zori			probable_new_entry	low_match	101	gvetudervís	pine tree (lit. pitch-tree)	canonical	1.50	"101:gvetudervís:pine tree (lit. pitch-tree) (1.50) | 175:moriarksos:predatory sea mammal (lit. sea-bear) (1.45) | 66:ɣamṓ:person, human being, (lit.) earthling (1.45)"	petaros	"bird, (lit.) feathered"	noun
"pēts, -tes"	"pēts, -tes"	‘vindictive household spirit that plays malicious tricks’	"pēts, -tes"	dw0				FALSE						n. c m.			FMR	"From EAD with competing forms spāts  spaits, and spēts and t/d in the oblique indicating long-term and/or intensive contact between speakers of the borrowing and lending languages."									Coinage based on a childhood memory.												probable_new_entry	low_match	301	véiks	"village, household"	unresolved	1.32	"301:véiks:village, household (1.32) | 221:potís:husband, head of household (1.29) | 352:dā́nvī:feminine water-spirit, water-nymph (1.27) | 386:dérvī:feminine tree spirit, wood-nymph (1.25) | 280:tód:that (0.61)"	pēts; -tes	vindictive household spirit that plays malicious tricks	noun
petus	petus	‘penis’	petus	exact				FALSE		petus	petus			n. u m.				Since OD.				pet-			PG peton														probable_new_entry	no_match							petus	penis	noun
pezdis	pesdis	"‘fart, especially a soft or silent one’"		old2_only		*pesd-	*pésd-i-s	FALSE		"pezdis, -eis"	pezdis		pēdis (-VzC- > -VVC-)	n. i m.																									probable_merge	partial_gloss	207	párdus	fart	canonical	2.38	207:párdus:fart (2.38) | 361:βórnos:baby boy; the born one (1.41) | 161:maldús:soft (0.88) | 193:óinos:one (0.88) | 117:kamtóm:one hundred (0.03)	pezdis	"fart, especially a soft; silent one"	noun
piklis	piklis	‘fern’		old2_only				FALSE						n. i f.				Since OD. cf. piliks.									Proto-Karvelian per EDKL 83 *ipɣl-.												probable_new_entry	no_match							piklis	fern	noun
pītu ~ pītous	pītu ~ pīteus	‘food’		old2_only		*pei̯h₂-	*péi̯h₂-t-u̯ ~ *pi̯h₂-t-éu̯ ~s	FALSE		pītu ~ pītous				n. u n.																									probable_merge	gloss_exact	94	gvéitom	food	canonical	7.50	94:gvéitom:food (7.50)	pītu; pītous	food	noun
plānos	plānos	‘full’	plānos	exact		*pleh₂-	"*pleh₂-nos, *pl̥h₂-nos"	FALSE		"plānos, -om, -ā"				adj. a/o				Since AD.	"plāntaros, plāntamos"						PIE *pleh₁- > *pl̥h₁nós														probable_merge	gloss_exact	204	palnos	full	canonical	7.50	204:palnos:full (7.50)	plānos	full	adj
pleunðantom	pleunðantom	‘lead (metal)’	pleunðantom	gloss	REVIEW:gloss-match			FALSE						n. o n.			minerals	"Since OD, from AD pl(e)u(n)ðom. [old-1: Since OD, from AD pl(e)u(n)ðom.]"							unknown		NWIE?	plūdom?										old-1 form was 'pleunðantom'	probable_merge	partial_gloss	389	maldantóm	lead	candidate	3.00	"389:maldantóm:lead (3.00) | 362:áios:copper, bronze; (earlier) metal (1.65)"	pleunðantom	lead (metal)	noun
po	po	"‘off, away’"	po	dw0				FALSE						?				F																					probable_new_entry	no_match							po	"off, away"	
polka	polka	‘ploughed piece of land’	polka	dw0				FALSE						n. a f.		NWIE	agric.	From D0 polkaa.									IELF 110: *polḱeh₂.												probable_new_entry	no_match							polka	ploughed piece of land	noun
possus		‘low’	possus	old1_only	REVIEW:old1-only									adj. u				"From possu, loc.p. of pōts ‘foot’ (q.v.)."																					probable_merge	partial_gloss	402	ɣemelos	"lowly, low-lying, humble, simple"	unresolved	2.65	"402:ɣemelos:lowly, low-lying, humble, simple (2.65)"	possus	low	adj
"pūn, -s"	"pūn, -s"	‘fire (inanimate)’	"pūn, -s"	dw0				FALSE						n. r/n n.				"From EAD pūr, pūns."	"pūrāsiom ‘fireplace, hearth’, pūr"			pū-					PIE heteroclitic collective *puh₂-r/n- per Klimp 2015:79.												probable_merge	partial_gloss	224	pū́r	fire	canonical	3.00	224:pū́r:fire (3.00) | 35:ðeɣvís:fire (3.00) | 356:éngman:sacred fire-nature; the quality of being ensouled by fire (1.54)	pūn; -s	fire (inanimate)	noun
ɸaβnā	ɸaβnā	‘bean’	ɸaβnā	dw0				FALSE						n. a f.			flora	"Since OD, from AD 𐌘𐌀𐌘𐌍𐌀𐌀 βaβnaa."	famnela ‘little bean’			fam-					Wanderwort per EDL and EDPG.			faba < βaβā- < b⁽ʰ⁾ab⁽ʰ⁾-		*baunō- < bʰau-(neh₂-)					ƀan-na < ƀaƀ-na < bʰaw ~  b⁽ʰ⁾ab⁽ʰ⁾ (< βʷaβʷ- ?)		probable_new_entry	no_match							ɸaβnā	bean	noun
ɸeðom		"‘hole, grave; dungeon’"	ɸeðom	old1_only	REVIEW:old1-only									n. o m.				From EAD.				feð-					PIE *bʰédʰh₂-om.												probable_new_entry	no_match							ɸeðom	"hole, grave; dungeon"	noun
ɸilis	ɸilis	"‘friendship, friendly love’"	ɸilis	dw0				FALSE						n. i f.																									probable_new_entry	no_match							ɸilis	"friendship, friendly love"	noun
ɸlōza	ɸlōza	"‘goddess of plant life, especially flowers’"	ɸlōza	dw0				FALSE						n. a f.				From EAD.				flo-s-																	probable_merge	partial_gloss	102	gvītis	life	canonical	2.38	"102:gvītis:life (2.38) | 36:déivī:goddess (2.38) | 357:gʷī́vom:life (as animating principle) (1.46) | 403:ɣémī:feminine personification of earth, earth-goddess (1.41)"	ɸlōza	"goddess of plant life, especially flowers"	noun
ɸoðvā	ɸoðvā	‘battle’	ɸoðvā	gloss	REVIEW:gloss-match			FALSE						n. a f.				Since Ad.																				old-1 form was 'ɸoðvā'	probable_merge	partial_gloss	124	katús	"battle, fight"	unresolved	3.25	"124:katús:battle, fight (3.25)"	ɸoðvā	battle	noun
ɸoðvarā	ɸoðvarā	‘goddess of war; battle’	ɸoðvarā	gloss	REVIEW:gloss-match			FALSE						n. a f.				"Since AD, an apparent r-derivation from an unattested ɸoðvar ~ ɸaðvens. which would have usually resulted in a root *ɸoðvan-. [old-1: Since AD, an apparent r-derivation from an unattested ɸoðvar ~ ɸaðvens. which would have usually resulted in a root *ɸoðvan-.]"														EDPG 47: *badwō- < *bʰoudʰ-ueh₂.						old-1 form was 'ɸoðvarā'	probable_merge	partial_gloss	36	déivī	goddess	canonical	2.58	"36:déivī:goddess (2.58) | 124:katús:battle, fight (1.67) | 403:ɣémī:feminine personification of earth, earth-goddess (1.50)"	ɸoðvarā	goddess of war; battle	noun
ɸorna	ɸorna	‘baby girl’	ɸorna	dw0				FALSE						n. a f.				From EAD.				for-n-																	probable_new_entry	low_match	327	βórnā	baby (female)	unresolved	1.92	327:βórnā:baby (female) (1.92) | 361:βórnos:baby boy; the born one (1.65)	ɸorna	baby girl	noun
ɸrektrom	ɸrektrom	‘hammer’	ɸrektrom	dw0				FALSE						n. o n.				Since OD.							PIE *bʰreg-														probable_merge	gloss_exact	358	méltrom	hammer	canonical	7.50	358:méltrom:hammer (7.50)	ɸrektrom	hammer	noun
ɸrēvanā	ɸrēvanā	"‘spring, well, source’"	ɸrēvanā	dw0				FALSE						n. a f.				"Since OD from a root remade from *ɸrēvar, *ɸravens with the V-a ~ a-e- > V-a change for r/n stems."				"frē-wan-a
frēw-an-a"																	probable_new_entry	low_match	381	vozrā	Spring (season)	canonical	1.67	"381:vozrā:Spring (season) (1.67) | 408:vozrī:female personification of Spring (1.57) | 353:danvivéits:well-watcher, well-priest, guardian of the sacred precinct (1.42) | 345:duzviros:ne'er-do-well, bumpkin; criminal, villain, evil-doer (1.37)"	ɸrēvanā	"spring, well, source"	noun
rēgiom ~ rēgiōs	rēgiom			old2_only		*h₃reǵ-	*h₃rḗǵ-i̯om	FALSE		rēgiom ~ rēgiōs		rēźio /rēʒjo/																											probable_new_entry	no_match							rēgiom; rēgiōs		
regman ~ regmanes	regman ~ argméns	‘responsibility’		old2_only		*h₃reǵ-	*h₃reǵ-mn̥ ~ *h₃rǵ-mén-s	FALSE		regman ~ regmanes	reǵminoz																												probable_new_entry	no_match							regman; regmanes	responsibility	
regtos	rēgtos	"‘correct, straight’"	rēgtos	dw0				FALSE		"regtos, -om, -ā"	rektos	rektos		adj. a/o	S-207			"Since OD, from AD regtos with -g- > -k- by assimilatory devoicing."	"comp. rēktaros, superl. rēktamos."			rēg- ~ reg-			PIE *h₃reǵ-			>> rettos										old-1 form was 'rēgtos' (updated)	probable_new_entry	low_match	226	regús	"right, correct, proper"	canonical	1.75	"226:regús:right, correct, proper (1.75)"	regtos; rēgtos	"correct, straight"	adj
rektus	regtus	‘law’	regtus	dw0		*h₃reǵ-	*h₃reǵ-tu̯s	FALSE		rektus	rektus	reśtuz		n. u m.								rēg- ~ reg-			PIE *h₃reǵ-													old-1 form was 'regtus' (updated)	probable_new_entry	no_match							rektus; regtus	law	noun
reuðar ~ ruðens	reuðar ~ ruðens			old2_only		*h₁rewdʰ-	**h₁reudʰ-r̥ ~ **h₁rudʰ-én-s	FALSE																															probable_new_entry	no_match							reuðar; ruðens		
reunafera	reunafera	"‘goddess of secrets, secret knowledge, writing, reading, literacy, and literature’"	reunafera	dw0				FALSE						n. a f.				From EAD.																					probable_new_entry	low_match	36	déivī	goddess	canonical	2.06	"36:déivī:goddess (2.06) | 403:ɣémī:feminine personification of earth, earth-goddess (1.24)"	reunafera	"goddess of secrets, secret knowledge, writing, reading, literacy, and literature"	noun
rōssos		‘red’	rōssos	old1_only	REVIEW:old1-only									adj. a/o	S-207			"Since OD, from AD rouðos with regular loss of glide lengthening the preceding vowel and reanalysis of -ss-< -ðt- as the adjectival root."	"comp. rōssaros, super. rōssamos."			rouð-																	probable_merge	gloss_exact	232	rouðós	red	canonical	7.50	232:rouðós:red (7.50) | 234:ruðrós:red (7.50)	rōssos	red	adj
rudantom	rudantom	‘copper’	rudantom	dw0				FALSE						n. o n.			minerals	Since AD.																					probable_merge	partial_gloss	362	áios	"copper, bronze; (earlier) metal"	canonical	2.75	"362:áios:copper, bronze; (earlier) metal (2.75)"	rudantom	copper	noun
ruðēti	ruðēti			old2_only		*h₁rewdʰ-	*h₁rudʰéh₁ti	FALSE																															probable_new_entry	no_match							ruðēti		
rudom	rudom	‘ore’	rudom	dw0				FALSE						n. o n.			minerals	From OD.				raud-			wanderwort		Eur. subs. *arud- ~ raud- ‘ore’			"EDL 515: raudus, -eris < diff’t IE lang with pre-form *h1r(e/o)udʰ-os. (De Vaan does not mentiom subtratum.)"		EDPG 37: *arut- (< PPGm. arud- ?) borrowed from a-prefiɣ lang.							probable_new_entry	no_match							rudom	ore	noun
ruðris				old2_only		*h₁rewdʰ-		TRUE		ruðris																													probable_new_entry	no_match							ruðris		
ruðrom ~ ruðrōs		‘redness; swelling; embarrassment’		old2_only		*h₁rewdʰ-		TRUE		ruðrom ~ ruðrōs	ruðrom ~ ruðrosio			n. o n.																									probable_merge	gloss_exact	233	róuðos	"redness; embarrassment, arousal"	canonical	5.58	"233:róuðos:redness; embarrassment, arousal (5.58)"	ruðrom; ruðrōs	redness; swelling; embarrassment	noun
ruðs ~ ruðes	reuðs ~ ruðes			old2_only		*h₁rewdʰ-	*h₁réwdʰ-s ~ *h₁rudʰ-és/ós	TRUE		ruðs ~ ruðes	reuðs ~ ruðes		reðs ~ ruðes																										probable_new_entry	no_match							ruðs; ruðes		
russis	ruððis			old2_only		*h₁rewdʰ-	**h₁rudʰ-dʰh₁-is	TRUE		russis	russis																												probable_new_entry	no_match							russis		
ruts	ruts	‘copper’	ruts	dw0				FALSE						n. c m.			minerals	Since AD with gen.s. both rudes and rutes.																					probable_merge	partial_gloss	362	áios	"copper, bronze; (earlier) metal"	canonical	2.75	"362:áios:copper, bronze; (earlier) metal (2.75)"	ruts	copper	noun
sagarra	sagarra	‘apple’	sagarra	dw0				FALSE						n. a f.			agric.	From EAD.				sag-ar-					"Vasconic per EDB 335: sagar, ‘id’."												probable_merge	gloss_exact	393	ábōl	apple	candidate	7.50	393:ábōl:apple (7.50)	sagarra	apple	noun
sakvantom	sakvantom	‘tin’	sakvantom	dw0				FALSE						n. o n.			minerals	"Since OD, from AD sakvom (q.v.) and -antom ‘metal; subtstance, material’."																					probable_new_entry	no_match							sakvantom	tin	noun
sakvom	sakvom	‘tin’	sakvom	dw0				FALSE						n. o n.			minerals	"In AD as (t)saɣvom, (t)saɣvom, and (t)sakvom. The inconsistent onset in (t)s- and variation in the labiovelar, as well as its association with a trade item, indicate a likely borrowing during intensive language contact. See sakvantom."				saɣw- ~ sakw-					Proto-Circassion t͡saɣʷ.												probable_new_entry	no_match							sakvom	tin	noun
"sān, -s"	"sān, -s"	‘sun’	"sān, -s"	dw0				FALSE						n. r/n n.	"S-207, SY"			"From EAD sāval, savens leveling to sāvan, sāvans by OD and contracting (-V̄̆¹YV̄̆¹- > V̄¹) to sān, sāns by CD."										"sāval, sāvans > sāl, sāns > sān, -s"											probable_merge	gloss_exact	243	sā́val	sun	canonical	7.50	243:sā́val:sun (7.50) | 405:sāl:sun (7.50) | 406:sūl:sun (7.50)	sān; -s	sun	noun
sanatsa	sanatsa	‘willow’	sanatsa	dw0				FALSE						n. a f.			flora	From EAD.									"Vasconic per EDB 335: sahats, < sanats ‘id’."	> sanassa											probable_merge	partial_gloss	239	salikā	willow (tree)	canonical	3.25	239:salikā:willow (tree) (3.25)	sanatsa	willow	noun
saβa	saβa	"‘sap, wine concentrate, (fig) blood’"	saβa	dw0				FALSE						n. a f.			vinic.	From EAD.							unknown														probable_new_entry	low_match	63	ézar	blood	canonical	2.25	"63:ézar:blood (2.25) | 241:sanī:menstrual blood (1.43) | 146:kvoinā́:blood-money, ransom, great cost (1.32)"	saβa	"sap, wine concentrate, (fig) blood"	noun
sēklom	sēklom	‘scythe’	sēklom	dw0				FALSE						n. o n.				From EAD.				sēk-l-			PIE *sek-.														probable_new_entry	no_match							sēklom	scythe	noun
seks	seks	‘siɣ’	seks	dw0				FALSE						num. (irr)				From EAD.									PIE *(s)ueks.			seɣ < seks < (s)ueks	sweɣs < sweks	sehs < seks < (s)uek-s							probable_new_entry	no_match							seks	siɣ	noun
seliom	seliom	‘sweet meat (animal organs as food)’	seliom	dw0				FALSE						n. o n.				From EAD.																					probable_new_entry	low_match	94	gvéitom	food	canonical	2.25	"94:gvéitom:food (2.25) | 97:ɣvḗr:wild animal, beast (1.39) | 264:svādús:sweet (0.75)"	seliom	sweet meat (animal organs as food)	noun
setra	setra	‘sturgeon’	setra	dw0				FALSE						n. a f.													"Eur. subs. PGm. sturjan-, sturjōn- < *str-i- (not sure what this means) ~ PBS *asetr-, esetr-"												probable_new_entry	no_match							setra	sturgeon	noun
soɣvā	soɣvā	‘sea’	soɣvā	dw0				FALSE						n. a f.	S-207			Since OD.									Proto-Kartvelian per EDKL 62: *zɣwa-.	> sova											probable_merge	gloss_exact	174	morí	sea	canonical	7.50	174:morí:sea (7.50)	soɣvā	sea	noun
sokios	sokios	"‘friend, ally, companion (in a platonic sense)’"	sokios	exact				FALSE		sokios	sokios	sokiuz		n. o m.				From EAD.	sokia ‘girlfriend (in a romantic sense)’	oinos sokios vēros ‘a true friend’		sok-i-																	probable_merge	partial_gloss	257	sokiós	"friend, ally"	canonical	2.75	"257:sokiós:friend, ally (2.75)"	sokios	"friend, ally, companion (in a platonic sense)"	noun
statis	statis	"‘standing, position, station (in life or social situations)’"	statis	dw0				FALSE						n. i f.				Since AD.																					probable_new_entry	low_match	102	gvītis	life	canonical	2.17	102:gvītis:life (2.17) | 96:gvénī:lady (woman of moral or social standing) (1.61) | 357:gʷī́vom:life (as animating principle) (1.33)	statis	"standing, position, station (in life; social situations)"	noun
sulla	sulla	‘daughter’	sulla	dw0				FALSE			sulla			n. a f.				"Since OD, from AD sunela."				sun-						> sunla > sulla											probable_merge	gloss_exact	52	ðúktēr	daughter	canonical	7.50	52:ðúktēr:daughter (7.50)	sulla	daughter	noun
talkvō	talkvō	‘to talk’	talkvō	dw0				FALSE						v.				From D0 t(a)lkvoo.									tl̥kʷ- > talkʷ-?												probable_new_entry	no_match							talkvō	to talk	verb
taludom	taludom	‘temple? shrine?’ (hapaɣ)	taludom	exact				FALSE		taludom	taludom	—		n. o n.				Since AD.									Coinage based on the generated Sitrama Nerro teɣt.												probable_new_entry	no_match							taludom	temple? shrine? (hapaɣ)	noun
tānom	tarnom	"‘thorn, jagger; brush comprised of plants with thorns or jaggers’"		old2_only			*tr̥nós >	FALSE		tānom	tarnom	tirnan		n. o m.				Since OD.																					probable_new_entry	no_match							tānom	"thorn, jagger; brush comprised of plants with thorns; jaggers"	noun
tarnos		"‘thorn, brier’"	tarnos	old1_only	REVIEW:old1-only									n. o m.				Since OD.																					probable_new_entry	no_match							tarnos	"thorn, brier"	noun
tāstus ~ tāstous	tarstus ~ tarsteus	‘thirst’	tarstus	gloss	REVIEW:gloss-match	*ters-	*térs-tu-s ~ *tr̥s-téw-s	FALSE		tāstus ~ tāstous	tarstus ~ tarstous	tirstuz ~ tirtstouz		n. u m.																								old-1 form was 'tarstus'	probable_new_entry	no_match							tāstus; tāstous; tarstus	thirst	noun
terzom ~ terzōs	tersom	"‘desert, arid area’"		old2_only		*ters-	*ters-ó-m ~ *ters-ó-si̯o	FALSE		terzom ~ terzōs	terzo			n. o n.																									probable_new_entry	no_match							terzom; terzōs	"desert, arid area"	noun
theumman	theumman	‘depth’		old2_only				FALSE						?											PIE *dʰewbʰ-mn̥														probable_new_entry	no_match							theumman	depth	
"tos, tom, ta"	"tos, tom, ta"	‘the’	"tos, tom, ta"	dw0				FALSE						?				From EAD.																					probable_new_entry	no_match							tos; tom; ta	the	
upelos	upelos	"‘bad, evil’"	upelos	dw0				FALSE						n. o m.	S-207			From EAD.				up-el-			unknown		EDPG 117: *elhja- < *h1elk-io-.	upelos > /upᵊlos/ > uplos > ullos?		EDL 360: malus < PIt. *malo- < PIE *mol-o- (uncertain).	"EDPC 105: *druko- < PIE *dʰrewgʰ- with special formal pleading.

EDPC 396: *ufelo- < PIE *h₂up-elo- < *h₂wop-."	"EDPG 557: *ubilaz < *up-elo- but ≠ *h₂wop-.

elhjaz < h1elkos"							probable_new_entry	low_match	345	duzviros	"ne'er-do-well, bumpkin; criminal, villain, evil-doer"	canonical	1.47	"345:duzviros:ne'er-do-well, bumpkin; criminal, villain, evil-doer (1.47)"	upelos	"bad, evil"	noun
uperi	uperi	"‘over, above’"	uperi	dw0				FALSE						?				From EAD.																					probable_new_entry	low_match	286	upér	over	canonical	2.00	286:upér:over (2.00)	uperi	"over, above"	
vāðeks	wāðeks	"‘tyrant, warlord, conqueror’"	"vāðeks, -kes"	gloss	REVIEW:gloss-match	*weh₂dʰ-	**weh₂dʰ-ek-s	FALSE		vāðeks /waːðeks/	vādeks /waːdeks/			n. c m.				From AD 𐌖𐌀𐌀𐌈𐌄𐌊𐌔.		vāðeks melðaniom mādieti ‘may the invader meet Melðanios!’		wāð-ek-			PIE *u̯eh₂dʰ- as if from PIE or post-PIE noms. *u̯eh₂dʰ-ék-s gen.s. u̯h₂dʰ-ék-es with a sense of ‘one who tresspasses’ but unsure of what the actual PIE form would have been.		"The subject of Vathek, by William Beckford, “who, for the sake of empty pomp and forbidden power, had sullied himself with a thousand crimes, became a prey to grief without end, and remorse without mitigation[.]” But also perhaps a derivation of PIE *weh₂dʰ- and a spurious -ek- suffiɣ?"											"old-1 form was 'vāðeks, -kes'"	probable_new_entry	no_match							vāðeks; -kes	"tyrant, warlord, conqueror"	noun
vantrom	vantrom	"‘awe, wonder’"	vantrom	dw0			*wn̥h₁-tro-m	FALSE						n. o m.				Since AD.																					probable_new_entry	no_match							vantrom	"awe, wonder"	noun
vapnis	vapnis	‘oven’	vapnis	dw0				FALSE						n. ? ?				From EAD.				up-n-						upnos > umnos > unnos ? assimilation				EDPG 557 *ufna- < *upno- ?							probable_new_entry	no_match							vapnis	oven	noun
veidara	veidara	‘goddess of wisdom’	veidara	dw0				FALSE						n. a f.				"From LAD, from the stem of LAD veidan leveled from EAD veidar, videns all ultimately from a root veid- ‘see, know’."																					probable_merge	partial_gloss	36	déivī	goddess	canonical	3.00	"36:déivī:goddess (3.00) | 403:ɣémī:feminine personification of earth, earth-goddess (1.65)"	veidara	goddess of wisdom	noun
veistvō	veistvō	"‘we two, the two of us, the speaker and listener only’"	veistvō	dw0				FALSE						pron.	S-207			"Since OD, a compound of veis ‘we’ and dvō ‘two’."				wei-du-																	probable_new_entry	low_match	55	dúvō	two	canonical	0.67	55:dúvō:two (0.67) | 58:dvṓ:two (0.67)	veistvō	"we two, the two of us, the speaker and listener only"	pron
vereza	vereza	‘Summer’	vereza	dw0				FALSE						n. a f.				"Since OD, an a-stem derivative of the oblique of AD weros, weresos ‘id.’"				wer- ~ wor-			"PIE *gʱwér- > *gʱwéros, *gʱwéresos."														probable_new_entry	no_match							vereza	summer	noun
vēris	vēris	‘truth’		old2_only				FALSE						n. i f.				Since AD.																					probable_new_entry	no_match							vēris	truth	noun
"verman, -s"	"verman, -s"	‘warmth’	"verman, -s"	dw0				FALSE						n. n n.				"Since OD, from AD werman ~ warmens."				wer- ~ wor-			"PIE *gʱwér- > *gʱwéros, *gʱwéresos."														probable_new_entry	no_match							verman; -s	warmth	noun
vērotāts ~ vērotātes				old2_only		*weh₁-	*weh₁-r-o-teh₂ts	FALSE		vērotāts ~ vērotātes				n. ? ?																									probable_new_entry	no_match							vērotāts; vērotātes		noun
vesus		"‘(archaic) good, eɣcellent’"	vesus	old1_only	REVIEW:old1-only									adj. u				Since AD but relegated to formulae and poetry by OD.	"comp. vestaros, spl. vestamos"																				probable_merge	partial_gloss	309	vezús	good	canonical	2.58	"309:vezús:good (2.58) | 388:déru:tree (archaic) (0.17) | 404:sāval:sun (archaic, religious register) (0.00)"	vesus	"(archaic) good, eɣcellent"	adj
vētis	vētis	‘hatred’	vētis	dw0				FALSE						n. i f.				"Since OD, from AD dvētis."																					probable_merge	gloss_exact	111	kā́dos	hatred	canonical	7.50	111:kā́dos:hatred (7.50)	vētis	hatred	noun
vīnom	vīnom	‘wine’	vīnom	dw0				FALSE						n. o n.			vinic.	From EAD.				wī-n-					PIE												probable_new_entry	no_match							vīnom	wine	noun
"vodan, -s"	"vodan, -s"	‘water (inanimate)’	"vodan, -s"	dw0				FALSE						n. r/n n.	"S-207, SY"			"Since OD, from AD wodar ~ wedans."				wod-ar/n-		r/n				"vodar, vodans > vodan, -s"											probable_merge	partial_gloss	284	udṓr	water	canonical	3.00	"284:udṓr:water (3.00) | 314:vódar:water (3.00) | 351:dā́nu:flowing water, river (1.75) | 352:dā́nvī:feminine water-spirit, water-nymph (1.65)"	vodan; -s	water (inanimate)	noun
vordos		"‘dirty, stained; dark’"	vordos	old1_only	REVIEW:old1-only									adj. a/o				"Since OD, from AD svordos."	"comp. vorsaros, superl. worsamos"			swo-r-d- ?																	probable_merge	partial_gloss	267	svórdos	dirty	canonical	2.58	"267:svórdos:dirty (2.58) | 57:ðuzvos:dark (of a color) (1.67) | 54:ðuskos:dark, dusky (of a person or object) (1.50)"	vordos	"dirty, stained; dark"	adj
vormos	wormos	‘warm’	vornos	gloss	REVIEW:gloss-match			FALSE		"vormos, -om, -ā"				adj. a/o	S-207			"Since OD, from AD vormos, with m > n from assimilation in the comp. and spl. forms."	"comp. vorntaros, superl. vorntamos"			wer- ~ wor-			PIE *gʱwér- >  *gʱwormos.													old-1 form was 'vornos'	probable_new_entry	no_match							vormos; vornos	warm	adj
wosara	wosara	‘Spring (season)’	vosara	gloss	REVIEW:gloss-match			FALSE						n. a f.				"Since OD, an a-stem derivation of an n-stem reanalysis of OD vosar, vesans."				wes-ar-																old-1 form was 'vosara'	probable_merge	gloss_exact	381	vozrā	Spring (season)	canonical	7.50	381:vozrā:Spring (season) (7.50)	wosara; vosara	spring (season)	noun
βussos	βussos	‘awake’		old2_only		*bʰewdʰ-	*bʰudʰtós	FALSE		"βussos, -om, -ā"	ɸussos	buttoz		adj. a/o																									probable_new_entry	no_match							βussos	awake	adj