merged_term	old1_term	match_type	review_flag	PIE Root	PIE 0	BVS!	DW0 (Transposit)	DW0 (Actual)	DW1-F	DW1-B	DE	D2	pos	List(s)	narGloss	CIGBS	Sem.	narEty	narDer	narAttest	narDisc	narNomRoot	narNomDer	conRoot class	conRootUltimate	conDeriv	conEty:	conPlan:	PIE	PIt	PC	PGm	PBl	PSl	Gr.	EDB	AD	dedup_notes	intake_bucket	intake_reason	best_current_id	best_current_lemma	best_current_gloss	best_current_status	best_match_score	top_current_matches	parsed_new_terms	parsed_new_glosses	pos_coarse
ɣaidis	acerros	gloss	REVIEW:gloss-match			FALSE	ɣaids		ɣaidis	gaidos	gaidaz		n. c m.		‘goat’		fauna	Since AD. [old-1: From EAD.]				ɣaid-			unknown		Italo-Germanic.	> ꭓaidos										old-1 form was 'acerros'	probable_merge	gloss_exact	65	ɣáits	goat	canonical	7.50	65:ɣáits:goat (7.50)	ɣaidis; acerros	goat	noun
ɣamō ~ ɣamones	ɣamō, ɣamnes	gloss	REVIEW:gloss-match		*ǵʰm̥ṓ ~	FALSE	ɣamō ~ ɣamones		ɣamō ~ ɣamones	gamanos	źimō		n. n n.	S-207	‘man (human being)’			From EAD.				ɣam-					From Kroonen's											old-1 form was 'ɣamō, ɣamnes'	probable_new_entry	low_match	66	ɣamṓ	person, human being, (lit.) earthling	unresolved	2.00	66:ɣamṓ:person, human being, (lit.) earthling (2.00) | 150:leuðertos:freed-man (1.67) | 312:virós:man; husband (1.67) | 356:éngman:sacred fire-nature; the quality of being ensouled by fire (1.42)	ɣamō; ɣamones; ɣamō, ɣamnes	man (human being)	noun
ɣiesteros		old2_only			*dʰǵʰyésteros	FALSE	ɣiesteros		ɣiesteros, -om, -ā	ɣiesteros	giesteros		adj. a/o		‘yesterday’																								probable_new_entry	no_match							ɣiesteros	yesterday	adj
ɣoisos	ɣoisos	old1_only	REVIEW:old1-only										n. o m.		‘spear’			From EAD.				ɣois-						ꝁ				EDPG 164: *gaiza- < *gʰois-o-.							probable_merge	gloss_exact	80	ɣoizós	spear	canonical	7.50	80:ɣoizós:spear (7.50)	ɣoisos	spear	noun
ɣortos	ɣortos	exact		*ǵʰer-	*ǵʰórtos *ǵʰórtosyo	FALSE	ɣortos		ɣortos /ɣortɔs/	gortos /gortɔs/	źartaz /ʒaʁtaz/		n. o m.		‘prison yard, prison camp’			From EAD.				ɣor-t-					PIE *ǵʰórtos.	> ꭓortos											probable_new_entry	low_match	135	kóimos	settlement, camp; home	canonical	1.57	135:kóimos:settlement, camp; home (1.57)	ɣortos	prison yard, prison camp	noun
ɣostis	ɣostis	exact		*gʰes- ?	*gʰóstis ~ *gʰostéys	FALSE	ɣostis		ɣostis, -eis	gostis ~ gosteis	gostiz ~ gostiŕi		n. i m.		‘guest, friend’	NWIE		Since AD.				ɣos-t-					IELF 111: ghostis.	> χostis											probable_new_entry	low_match	257	sokiós	friend, ally	canonical	1.92	257:sokiós:friend, ally (1.92) | 85:ɣostís:guest, stranger (1.92)	ɣostis	guest, friend	noun
ɣvavis	ɣvavis	dw0				FALSE	ɣvavis						n. i f.		‘throng, crowd; multitude’			Since OD.																					probable_new_entry	low_match	321	βarkiéti	cram, crowd	canonical	0.17	321:βarkiéti:cram, crowd (0.17)	ɣvavis	throng, crowd; multitude	noun
ɣveltis	ɣveltis	exact				FALSE	ɣveltis		ɣveltis, -i				adj. i		‘dangerous, violent, savage’	PK, PG		c.f. wild, PK gweltis [old-1: From EAD.]				ɣwel-t-																	probable_new_entry	no_match							ɣveltis	dangerous, violent, savage	adj
ɣventis		old2_only		*gʷʰen-	*gʷʰéntis ~ *gʷʰn̥téys	FALSE	ɣʷentis ~ ɣʷanteis	ɣʷentis	ɣventis /ɣʷentis/	gventis /gʷentis/	źentiz /ʒentiz/		n. ? ?		‘striking or beating to death’																								probable_merge	partial_gloss	165	martís	death	canonical	2.58	165:martís:death (2.58)	ɣventis	striking; beating to death	noun
ɣveris	ɣveros	gloss	REVIEW:gloss-match	*ǵʰwer-	*ǵʰwer-is ~ *ǵʰwer-eis ?	TRUE	ɣʷeris ~ ɣʷereis		ɣveris, -eis	gveris	źeriz		n. i m/f.		‘wild, dangerous beast’; ‘wild (of an animal)’			! decide whether gʷʱ- > ɣʷ- or gʷʱ- > w	comp. ꭓverios, superl. ꭓvertamos			ɣwe-r-					PIE *gʰwer-os.	> χveros										old-1 form was 'ɣveros'	probable_merge	partial_gloss	97	ɣvḗr	wild animal, beast	canonical	2.88	97:ɣvḗr:wild animal, beast (2.88) | 317:viðús:wild areas between farms/fields/settlements (1.35) | 93:ɣvarús:wild, beastly (0.03) | 98:ɣverīnos:having to do with wild animals (-0.09) | 99:ɣverīskos:having to do with wild animals (-0.09)	ɣveris; ɣveros	wild, dangerous beast; wild (of an animal)	noun
ɣvoniom		old2_only		*gʷʰen-	*gʷʰón-i ~ *gʷʰn̥-y-és	FALSE	ɣʷoni ~ ɣʷanies	ɣʷoni ~ ɣʷaneis	ɣvoniom /ɣʷoniõ(m)/	gvoniom /gʷon.jõ(m)/	źoniō /ʒoɲō/		n. o n.		‘strike, blow, punch’																								probable_new_entry	no_match							ɣvoniom	strike, blow, punch	noun
iōra	iōra	dw0				FALSE	iōra						n. a f.		‘time, period, cycle, age’												PIE *yóh₁r̥ ~ *yéh₁n-												probable_new_entry	low_match	270	tánā	stretch of time, length	canonical	1.46	270:tánā:stretch of time, length (1.46) | 141:kvéklos:wheel, circle; turn, cycle (1.41)	iōra	time, period, cycle, age	noun
kaitā	kaitā	dw0				FALSE	kaitā						n. a f.		‘heather, heath’			From OD.				kait- ?	-ā		PG, PK														probable_new_entry	no_match							kaitā	heather, heath	noun
kaliks	kaliks	dw0				FALSE	kaliks						n. ? ?		‘vessel for food or drink’			Since OD, from AD skaliks with regular loss of initial s- before another consonant.				s-kal-ik- ?								EDL 83: caliɣ < *(s)kalik- < subst. *kʷlH-ik-.									probable_merge	partial_gloss	94	gvéitom	food	canonical	2.58	94:gvéitom:food (2.58) | 384:píboti:to drink (0.33)	kaliks	vessel for food; drink	noun
kambros	kumaros	gloss	REVIEW:gloss-match		*kḿ̥h₂-er-os	FALSE	kamaros		kambros	kambros	kimbraz		n. o m.		‘lobster’		fauna	From EAD.				kum-ar- or ku-mar- ?			wanderwort		From Pre-Proto-Germanic per EDPG 254 *humaraz < **kumaros.	> kumros ?										old-1 form was 'kumaros'	probable_new_entry	no_match							kambros; kumaros	lobster	noun
kanabis	kanabis	dw0				FALSE	kanabis						n. i f.		‘cannabis’		flora	Since AD.				kanab- ?			wanderwort		Gr. cannab	> kambis											probable_new_entry	no_match							kanabis	cannabis	noun
kantogus		old2_only			*ḱm̥tógʷus	FALSE	kantogus	kantogus	kantogus, -u	śintoguz			adj. a/o		‘wealthy, (lit) having 100 cows’																								probable_new_entry	low_match	339	sessos	seated, having sat	canonical	1.46	339:sessos:seated, having sat (1.46) | 98:ɣverīnos:having to do with wild animals (1.41) | 99:ɣverīskos:having to do with wild animals (1.41) | 101:gvetudervís:pine tree (lit. pitch-tree) (-0.09) | 175:moriarksos:predatory sea mammal (lit. sea-bear) (-0.12)	kantogus	wealthy, (lit) having 100 cows	adj
kāros	kāros	exact		*keh₂-	*keh₂-ró-s, *kh₂-ró-s	FALSE	kāros	kāros	kāros, -om, -ā		karoz		adj. a/o		‘dear, beloved’																								already_represented	term_exact+gloss_exact	122	kāros	dear, beloved	canonical	12.00	122:kāros:dear, beloved (12.00)	kāros	dear, beloved	adj
karra	karra	dw0				FALSE	karra						n. a f.		‘beeswaɣ, waɣ’			Since OD from forms ka(a)raa, kairaa, and ke(e)raa in AD.																					probable_new_entry	no_match							karra	beeswaɣ, waɣ	noun
kartvis	kartvis	dw0				FALSE	kartvis						n. i m.		‘magpie’		fauna	Since OD.				s-kar-t-w-					Proto-Kartvelian per EDKL 259: *čɣartw- for /t͡ʃɣartwi/ > /ᵗskartwɪs/ > /skartwɪs/.												probable_new_entry	no_match							kartvis	magpie	noun
karzos	karsos	dw0		*ḱr̥sós		FALSE	karsos		karzos	karros	śirruz		n. o m.		‘wagon, cart, chariot’			From OD.									PIE *ḱr̥sós.											old-1 form was 'karsos' (updated)	probable_new_entry	no_match							karzos; karsos	wagon, cart, chariot	noun
kassuks, -kes	kassuks, -kes	dw0				FALSE	kassuks, -kes						n. c m.		‘bitch (slur)’			Since OD.									Proto-Turkic *kančïk.	> kassuks											probable_new_entry	no_match							kassuks; -kes	bitch (slur)	noun
kātrīks	kātrīks	dw0				FALSE	kātrīks						n. a f.		‘scar’			From EAD.				kat-rik- ?								EDL 113: cicātrīɣ, “Etymology unknown.”									probable_new_entry	no_match							kātrīks	scar	noun
kāups ~ kāupes		old2_only		*keh₂u̯p-	*kéh₂u̯p-s ~ *kh₂u̯p-és	FALSE	kāups ~ kaupes		kāups ~ kāupes	kāups ~ kāupes			n. o m.		‘heap, pile; garbage?’																								probable_new_entry	no_match							kāups; kāupes	heap, pile; garbage?	noun
klāvis	klāvis	exact	REVIEW:possible-split	*kleh₂u̯-	*kléh₂u̯-i-s	FALSE	klāwis		klāvis						‘bolt (of a door); lock’			Since OD.																					probable_new_entry	low_match	59	ðvṓr	door	canonical	1.58	59:ðvṓr:door (1.58)	klāvis	bolt (of a door); lock	
klāvis		old2_only	REVIEW:possible-split			FALSE	klāvis						n. i m.		‘key, pin, pick’			Since OD.				klā-w-i-s																	probable_new_entry	low_match	40	ðélgos	pin, needle	canonical	1.67	40:ðélgos:pin, needle (1.67)	klāvis	key, pin, pick	noun
klāvos	klāvos	dw0				FALSE	klāvos						n. o m.		‘bolt, pin, rod, bar’			From EAD.				klā-w-o-s																	probable_new_entry	low_match	40	ðélgos	pin, needle	canonical	1.52	40:ðélgos:pin, needle (1.52)	klāvos	bolt, pin, rod, bar	noun
klōps ~ klōpes	klōps, -pes	dw0				FALSE	klōps, -pes		klōps ~ klōpes	klōpos	klōps		n. c m.		‘thief’			From EAD kloops.				klōp-																old-1 form was 'klōps, -pes' (updated)	probable_new_entry	no_match							klōps; klōpes; -pes	thief	noun
knuks, -es	knuks, -es	dw0				FALSE	knuks, -es						n. c f.		‘nut’	CGI		From EAD with				knuk-			wanderwort		Eur. subs. PGm. *hnut- ‘nut’			EDL 420: nuɣ, nucis < PIt. *knuk- < borrowing									probable_new_entry	no_match							knuks; -es	nut	noun
koipos?	koipos?	dw0				FALSE	koipos?						n. ? ?	S-207	‘stick’																								probable_merge	partial_gloss	100	gvétu	pointed stick	canonical	3.25	100:gvétu:pointed stick (3.25)	koipos?	stick	noun
koitom	koitom	dw0				FALSE	koitom						n. o n.		‘shield'	NWIE		Since OD, from AD skoitom with regular loss of initial s- before another consonant.	skoitom > koitom > keitom > kētom			s-koit-o-					IELF 110: *skei̯tom ~ *skoi̯tom.	> skeitom by assim.											probable_new_entry	no_match							koitom	shield	noun
kokobis	kokobis	dw0				FALSE	kokobis						n. i m.		‘pheasant’			Since OD.				ko-kob-																	probable_new_entry	no_match							kokobis	pheasant	noun
kom	kom	dw0				FALSE	kom						?	S-207	‘with’			From EAD.									PIE *kóm.												probable_new_entry	no_match							kom	with	
koslos	koslos	dw0				FALSE	koslos								‘hazel’			Since OD.																					probable_new_entry	low_match	137	kozlos	hazel (tree)	canonical	2.25	137:kozlos:hazel (tree) (2.25)	koslos	hazel	
kozlā	aksula	gloss	REVIEW:gloss-match	**kos-	**kos-l-	FALSE	koslā	koslā	kozlā	kozlā	kōlā		n. a f.		‘hazel’		flora	From LAD.				kVs : a-kVs-ul-					PIt kosula etc. with a-prefiɣation											old-1 form was 'aksula'	probable_merge	partial_gloss	137	kozlos	hazel (tree)	canonical	3.25	137:kozlos:hazel (tree) (3.25)	kozlā; aksula	hazel	noun
koβuks	koβuks, -ges	gloss	REVIEW:gloss-match		*kobʰug-	FALSE	koβugs, -es	koβuks ~ koβuges	koβuks, koβuges	kobugos	kobugos		n. c m.		‘hawk’		fauna	From EAD.							wanderwort		EDPG 197: PGm. habuka- < kab⁽ʰ⁾u-k/g-, Sl. kab⁽ʰ⁾uk-io-, Lat. capus < kapu-.			kapu-		kabʰ-uk-		kabʰ-uk-io-			kabʰ-uk-s	old-1 form was 'koβuks, -ges'	probable_new_entry	no_match							koβuks; -ges	hawk	noun
krispos	kripsos	gloss	REVIEW:gloss-match			FALSE	krispos		krispos, -om, -ā				adj. a/o		‘curly’	CI•••		Since OD.	kripstaros kripstamos			krips-					IELF 107: Lat. crispus, Gaul. criɣsus < *krips-o- < *krei̯p-os.	> krissos ?										old-1 form was 'kripsos'	probable_new_entry	no_match							krispos; kripsos	curly	adj
krūros		old2_only		*krewh₂-	*kruh₂-rós	FALSE	krūros		krūros, -om, -ā				adj. a/o		‘bloody’																								probable_new_entry	no_match							krūros	bloody	adj
kukurra	kukurra	dw0				FALSE	kukurra						n. a f.		‘cooking pot; small cauldron’		flora	!From D0 in various forms kv(r)kv(r)ra with obvious wander-root meaning something like ‘bowl, cup, small hollow container’.				ku-kur-			neologism		See Cons section for cucurunða.												probable_new_entry	low_match	154	līðrā́	small amount	canonical	1.52	154:līðrā́:small amount (1.52) | 172:menús:small (0.88) | 163:manús:small, tiny (0.03)	kukurra	cooking pot; small cauldron	noun
kukurrunðā	kukurrunða	gloss	REVIEW:gloss-match			FALSE	kukurrunða		kukurrunðā, -ās	kukurrunðā	kukurrunda		n. a f.		‘cucumber’		flora	!From D0 in forms kv(r)kv(r)v(n)d(h)aa, -i(n)d(h)aa.	kukurrunðelos ‘penis (derisive) lit. little cucumber’ > cucurundlos > ?			ku-kur-unð-			neologism		EDL 148: cucumis; EDL 149: curcubita; EDPG 266 *hwerhwetjō- < *kʷer-kʷet- all point to a wanderwort root **ku(r)ku(r)-.											old-1 form was 'kukurrunða'	probable_new_entry	no_match							kukurrunðā; kukurrunða	cucumber	noun
kuliks	kuliks	exact				FALSE	kuliks		kuliks, -es	kuliks, kulikes	kulika		n. c m.		‘holly’			From OD, root-doublet of kulisā (q.v.). Likely borrowing.				kul-ik-	-ik-		PG, PK														probable_merge	partial_gloss	116	kalnós	holly (tree)	unresolved	3.25	116:kalnós:holly (tree) (3.25)	kuliks	holly	noun
kulisā	kulisā	dw0				FALSE	kulisā						n. a f.		‘holly’			From OD, root-doublet of kuliks (q.v.). Likely borrowing.				kul-is-	-is-		PG, PK														probable_merge	partial_gloss	116	kalnós	holly (tree)	unresolved	3.25	116:kalnós:holly (tree) (3.25)	kulisā	holly	noun
kunis	kunis	dw0				FALSE	kunis						n. i m/f.	S-207, SY	‘dog’		fauna	From EAD.				kun-					PIE kuōn (<*kuon-s), kuon-m, kun-os > (PIt?) kō, kanem			kō, kwanem, kunos; kuōn, kuon-m, kun-os;		hunda-z				zakur			probable_merge	gloss_exact	144	kvṓ	dog	canonical	7.50	144:kvṓ:dog (7.50)	kunis	dog	noun
kvabis	kvabis	dw0				FALSE	kvabis						n. i f.		‘cave’			Since OD.				kwab-					Proto-Kartvelian per EDKL 216: *kwab-.												probable_new_entry	no_match							kvabis	cave	noun
kvamblis	kvamblis	dw0				FALSE	kvamblis						n. i m.		‘incense’			Since OD.				kvam-l-					Proto-Kartvelian per EDKL 91: *ḳwaml-.												probable_new_entry	no_match							kvamblis	incense	noun
kvapō	kvapō	dw0				FALSE	kvapō						n. c m.		‘confidence artist; pickpocket’			From EAD.																					probable_new_entry	no_match							kvapō	confidence artist; pickpocket	noun
kvapos	kvapos	dw0				FALSE	kvapos						n. o m.		‘conman, cheat, petty criminal’																								probable_new_entry	low_match	345	duzviros	ne'er-do-well, bumpkin; criminal, villain, evil-doer	canonical	1.31	345:duzviros:ne'er-do-well, bumpkin; criminal, villain, evil-doer (1.31)	kvapos	conman, cheat, petty criminal	noun
kve	kve	dw0				FALSE	kve						?	S-207	‘and’			From EAD kve in both conjuctive and clitic use.							PIE						EDPC 176: *-kʷe ‘id.’								probable_new_entry	no_match							kve	and	
kveklom	kveklom	dw0				FALSE	kveklom						n. o n.		‘wheel, circle’			Since AD.				kwel-(e)l- ?																	probable_merge	gloss_exact	141	kvéklos	wheel, circle; turn, cycle	canonical	6.50	141:kvéklos:wheel, circle; turn, cycle (6.50)	kveklom	wheel, circle	noun
kvelis	kvelis	dw0				FALSE	kvelis						n. i f.		‘head-cold’			Since OD.				kwel-i-																	probable_merge	partial_gloss	120	káput	head	unresolved	3.00	120:káput:head (3.00) | 221:potís:husband, head of household (1.75) | 74:gelús:cold (1.50)	kvelis	head-cold	noun
kveris	kveris	dw0				FALSE	kveris						n. i m.		‘crow’		fauna	Since AD.				kwer-					Proto-Kartvelian per EDKL 93: *ḳwer-. for /k’weri/ > /kwerɪs/ with rule k’- > k-. css												probable_new_entry	no_match							kveris	crow	noun
kveros	kveros	dw0				FALSE	kveros						n. o m.		‘cauldron’			From LAD.	kverelos cooking pot?																				probable_new_entry	no_match							kveros	cauldron	noun
kvetores, -a	kvetores, -a	dw0				FALSE	kvetores, -a						num. (irr)	S-207	‘four’			From EAD.												quattuor < kʷatwōr < kʷetwōr	kʷetwores	fedwar- < kʷet-uor-					tuores, tuora < kʷetwores		probable_new_entry	low_match	143	kvetvóres	four	canonical	6.00	143:kvetvóres:four (6.00)	kvetores; -a	four	noun
kvī		old2_only		*kʷíh₁		FALSE	kʷī	kvī /kʷī/	kvī /kʷī/	kī /kī/			?		‘how?’																								probable_new_entry	no_match							kvī	how?	
kvissis	kvissis	dw0				FALSE	kvissis						n. i m.		‘mountain goat’		fauna	Since OD.				kwi-ss-					Proto-Kartvelian per EDKL  95: *ḳwic-. css												probable_merge	partial_gloss	65	ɣáits	goat	canonical	3.00	65:ɣáits:goat (3.00) | 115:kalnís:mountain (hill) (1.92) | 64:ɣáitos:he-goat (1.92)	kvissis	mountain goat	noun
leisa	leisa	dw0				FALSE	leisa						n. a f.		‘furrow, track’		agric.	From EAD leisa.				leis-					IELF 110: *l(V)i̯hₓseh₂			EDL 345: līra < PIt. *loisā- < PIE *lois-h₂-.		EDPG 324: *laisō- < *lóis-eh₂-.							probable_merge	partial_gloss	156	lóizā	furrow; track, trail	canonical	2.83	156:lóizā:furrow; track, trail (2.83)	leisa	furrow, track	noun
lēius	lēius	dw0				FALSE	lēius						?	S-207	‘smooth’			Since OD.																					probable_new_entry	no_match							lēius	smooth	
lepos	lepos	old1_only	REVIEW:old1-only										n. o m.		‘hare’		fauna	From EAD.				lep-																	probable_new_entry	no_match							lepos	hare	noun
leukos	leukos	exact		*lewk-	*lewkós	FALSE	leukos		leukos, -om, -ā	loukos ~ loukosio	lūkuz ~ lūkuŕi		adj. a/o		‘bright, shining’			Since OD.																					probable_new_entry	no_match							leukos	bright, shining	adj
leuksnā	leuksna	dw0				FALSE	leuksna		leuksnā	leuɣsnā	lousna		n. a f.	S-207, SY	‘moon’			From EAD levksnaa.				leuk-s-nā						> louksna > louɣsna > lūsna > lūnna		Lat. lūna < louksna < louks-n-a-	lowɣsnā < louks-n-a-	mēnan- < meʕn-s or meʕn-os					lūcsna < loucsna < louksnā < louks-n-a-	old-1 form was 'leuksna' (updated)	probable_merge	gloss_exact	159	lóuksnā	moon	canonical	7.50	159:lóuksnā:moon (7.50)	leuksnā; leuksna	moon	noun
līðrā ~ līðrās	leiðra	gloss	REVIEW:gloss-match	*l(e)ihₓ	*l(e)ihₓ-dʰr-eh₂	FALSE	līðrā		līðrā ~ līðrās	līðrā			n. a f.		‘a pouring of liquid, either potable or molten metal; coin, ingot’			Since OD, from AD leiðra with regular lengthening after loss of glide. [old-1: Since OD, from AD leiðra with regular lengthening after loss of glide.]		leifars, abbrev. for l[ei]ðr[ā] f[a]rs[osio] ‘iron ingots’, a common abbreviation appearing on work orders and receipts.		leitʰ-r-						> līđra > līðra ?		EDL 339: lībra < PIt. *leiðra-; Weiss 2021 3: *lī-dʰrā. < *l(e)ihₓ-dʰreh₂.					EDG 867: λίτρα < *līðra from Sicily possible.			old-1 form was 'leiðra'	probable_new_entry	low_match	362	áios	copper, bronze; (earlier) metal	canonical	1.24	362:áios:copper, bronze; (earlier) metal (1.24)	līðrā; līðrās; leiðra	a pouring of liquid, either potable; molten metal; coin, ingot	noun
lokos	lokos	dw0				FALSE	lokos						n. o m.		‘salmon’			From EAD lokōs, loksos, subsequently reanalyzed as an o-stem from the genitive by OD.																					probable_new_entry	no_match							lokos	salmon	noun
magis (many)	magis	exact				FALSE	magis		magis, -i				adj. i	S-207	‘many’							mag-																	probable_merge	partial_gloss	212	pelús	much, many	canonical	3.25	212:pelús:much, many (3.25)	magis many; magis	many	adj
magis (more)		old2_only				FALSE	magis		magis, -i				adj. i		‘more’			From EAD.	magios ‘yet more, much’ magitamos ‘most, so much, too much’			mag-																	probable_new_entry	no_match							magis more	more	adj
magnos	magnos	old1_only	REVIEW:old1-only										adj. a/o	S-207	‘big, great, powerful, large’			Since AD.	comp. magnios superl. magnitamos is irregular, using the comparative stem, to prevent a -gnt- sequence.			mag-n-								EDL 358: magnus < PIt. magnos < mǵ-no- from Schrijver’s RDC- > RaDC-.	EDPC 253: *magyos < *méǵh₂-.	"EDPG 361: *mekila- < *meǵ-el-. “Unlike the other IE languages,  Germanic added a suffiɣ *-ila- ( < *-eli-?) to
the root *meǵ-."							probable_new_entry	low_match	206	pánts	large predatory cat	canonical	-0.04	206:pánts:large predatory cat (-0.04) | 208:párts:large predatory cat (-0.04) | 146:kvoinā́:blood-money, ransom, great cost (-0.12) | 252:skválos:large fish or whale; sea monster (-0.12) | 279:tigrís:large, striped, predatory cat of forest environs (-0.15)	magnos	big, great, powerful, large	adj
makros	makros	exact				FALSE	makros		makros, -om, -ā				adj. a/o		‘thin (skinny), weak’			Since OD.	comp. makrios, super. makritamos.			mak-r-																	probable_merge	partial_gloss	272	tanús	thin	canonical	2.58	272:tanús:thin (2.58)	makros	thin (skinny), weak	adj
makvis	makvis	exact				FALSE	makvis		makvis, -eis				n. i f.		‘blackberry’		agric.	Since OD.				mak-w-					Proto-Kartvelian per EDKL 117: *maq̣w-.												probable_new_entry	no_match							makvis	blackberry	noun
mālom ~ mālōs	mālom	dw0				FALSE	mālom		mālom ~ mālōs				n. o n.		‘apple’			From EAD.				māl-					Per Kroonen, PIE *(s)mh₂l-.											old-1 form was 'mālom' (updated)	probable_merge	gloss_exact	393	ábōl	apple	candidate	7.50	393:ábōl:apple (7.50)	mālom; mālōs	apple	noun
mandragā	mandragā	old1_only	REVIEW:old1-only										n. a f.		‘mandrake’		flora	From LAD, appearing alongside original mandraks until supplanting it by OD.				mandrag-					Greek												probable_new_entry	no_match							mandragā	mandrake	noun
mandraks	mandraks	old1_only	REVIEW:old1-only										n. c f.		‘mandrake’		flora	Attested in AD, appearing alongside and being supplanted by mandraga (q.v.) since OD before being suppla.				mandrag-																	probable_new_entry	no_match							mandraks	mandrake	noun
mantis	mantis	exact		*men-	*mén-t-is ~ *mn̥-t-éis	FALSE	mantis		mantis, -eis		minti		n. i f.		‘thought’			Since OD.																					probable_new_entry	no_match							mantis	thought	noun
margvos		old2_only		*mréǵʰ-	*mréǵʰ-u̯-s ~ *mr̥ǵʰ-éu̯-s	TRUE	marɣus > margus	margvis /margwis/	margvos /margʷɔs/	margvos /margʷɔs/	mirźuz /mirʒuz/		adj. u		‘brief’																								probable_merge	partial_gloss	164	marɣús	brief, fast, quick	canonical	2.92	164:marɣús:brief, fast, quick (2.92)	margvos	brief	adj
markos	markos	old1_only	REVIEW:old1-only										n. o m.		‘horse’							mar-k-																	probable_merge	gloss_exact	60	ékvos	horse	canonical	7.50	60:ékvos:horse (7.50)	markos	horse	noun
martos	martos	exact				FALSE	martos		martos, -om, -ā				adj. a/o		‘dead’			From EAD.	comp. marseros, superl. marsamos			mart-w-																	probable_merge	gloss_exact	166	martus	dead	canonical	7.50	166:martus:dead (7.50)	martos	dead	adj
matlis	matlis	dw0				FALSE	matlis						n. i m.		‘worm’			Since OD.									Proto-Kartvelian per EDKL 117: *ma-ṭl-.												probable_merge	gloss_exact	297	varmís	worm	canonical	7.50	297:varmís:worm (7.50)	matlis	worm	noun
meðios		old2_only		*me-dʰi	*médʰyos	FALSE	meðios		meðios	medios	mediaz		adj. a/o	S-207	‘middle’			Since OD, from AD rouðos with regular loss of glide lengthening the preceding vowel and reanalysis of -ss-< -ðt- as the adjectival root.	comp. rōssaros, super. rōssamos.			rouð-			PIE *h₁rewdʰ-														probable_merge	term_exact	168	meðios	middle, medium	canonical	7.75	168:meðios:middle, medium (7.75)	meðios	middle	adj
meðu	meðu	dw0		*médʰ-	*médʰu ~ *m̥dʰéws	FALSE	meðu		meðu	medum	medu		n. u n.		‘mead, intoɣicating beverage’	PK, PGm, PBS		Since AD.				með-						> meðvom ?										old-1 form was 'meðu' (updated)	probable_new_entry	low_match	169	méðu	intoxicating beverage	canonical	1.52	169:méðu:intoxicating beverage (1.52)	meðu	mead, intoɣicating beverage	noun
