merged_term	old1_term	match_type	review_flag	PIE Root	PIE 0	BVS!	DW0 (Transposit)	DW0 (Actual)	DW1-F	DW1-B	DE	D2	pos	List(s)	narGloss	CIGBS	Sem.	narEty	narDer	narAttest	narDisc	narNomRoot	narNomDer	conRoot class	conRootUltimate	conDeriv	conEty:	conPlan:	PIE	PIt	PC	PGm	PBl	PSl	Gr.	EDB	AD	dedup_notes	intake_bucket	intake_reason	best_current_id	best_current_lemma	best_current_gloss	best_current_status	best_match_score	top_current_matches	parsed_new_terms	parsed_new_glosses	pos_coarse
melðanios	melðanios	dw0		*meldʰ-n-	*meldʰ-n-i-os	FALSE	melðanios		melðanios	meldanios	mildiniaz*		n. o m.		‘hammer of the thunder god; blacksmith’s hammer; lightning’			From EAD.			Early depictions are of a hammer. Later depictions include sledge- and peen-hammers but also mauls and even aɣes, the latter two in association with oaks.	mel-ð-an- ?					West 2007:253 melðuniyaz from Watkins 1995:429 melð[u]nijaz. Watkins mentions Pokorny but I haven’t found it yet. Both forms imply a pre-form **meld⁽ʰ⁾-n-yos. Would such a form cause a Latinate **melbonius?									EDB 544: milna ‘hammer of the thunderer’ < *mild-n-, *meld-n- < *m(e)ldʰ-n-.		old-1 form was 'melðanios' (updated)	probable_new_entry	low_match	1	agnís	god	canonical	2.25	1:agnís:god (2.25) | 358:méltrom:hammer (2.25) | 37:deivós:god, deity (1.43) | 359:melðániios:Melðanjos (divine hammer of Agnis) (1.32)	melðanios	hammer of the thunder god; blacksmiths hammer; lightning	noun
melit	melit	old1_only	REVIEW:old1-only										n. c n.		‘honey’			Since AD.		meðu vīnom melitē e[sti] ‘mead is wine from (by) honey.’																			probable_merge	gloss_exact	170	melí	honey	canonical	7.50	170:melí:honey (7.50)	melit	honey	noun
meskalia	meskalia	dw0				FALSE	meskalia						n. a f.		‘pear’		agric.	From EAD meskaliaa. EAD amskaliaa, with the same meaning, is attested marginally and may indicate a borrowing of two related forms from the lending language.									Proto-Karvelian per EDKL 125: *msɣal-.												probable_merge	partial_gloss	162	malom	apple, pear	canonical	3.25	162:malom:apple, pear (3.25)	meskalia	pear	noun
mezala	mezala	dw0				FALSE	mezala						n. a f.		‘blackbird’		fauna	Since AD.				mes-al-			unknown		EDL 375: merula < PIt. mesVlā-; EDPC 268: *mesal-kā < PIE *mes-al-; EDPG 25: *amslōn- eɣhibiting a root  *amsl- ~ *mesal-.	> mesla ?											probable_new_entry	no_match							mezala	blackbird	noun
monoɣos	monoɣos	old1_only	REVIEW:old1-only										adj. a/o		‘many’				comp. monoǵios, superl. monoǵitamos																				probable_merge	partial_gloss	212	pelús	much, many	canonical	3.25	212:pelús:much, many (3.25)	monoɣos	many	adj
nās, nases	nās, nases	dw0				FALSE	nās, nases						n. c f.	S-207, SY	‘nose’			Since OD.																					probable_merge	gloss_exact	180	nāzā	nose	canonical	7.50	180:nāzā:nose (7.50)	nās; nases	nose	noun
nekom	nekom	dw0				FALSE	nekom						?		‘without, (lit) not with’			From EAD.																					probable_new_entry	low_match	101	gvetudervís	pine tree (lit. pitch-tree)	canonical	0.50	101:gvetudervís:pine tree (lit. pitch-tree) (0.50) | 342:ne:not; lest (sentential negation) (0.50) | 175:moriarksos:predatory sea mammal (lit. sea-bear) (0.45) | 66:ɣamṓ:person, human being, (lit.) earthling (0.45)	nekom	without, (lit) not with	
nemeza	nemeza	old1_only	REVIEW:old1-only										n. a f.		‘clearing in a forest as a sacred site, sacred forest’			From OD, a derivation from the oblique stem of nemos, nemesos ‘id.’.				nem-es-																	probable_new_entry	low_match	355	sakrovéstrom	sanctuary, sacred precinct (institutional)	canonical	1.41	355:sakrovéstrom:sanctuary, sacred precinct (institutional) (1.41) | 279:tigrís:large, striped, predatory cat of forest environs (1.35) | 353:danvivéits:well-watcher, well-priest, guardian of the sacred precinct (1.35) | 356:éngman:sacred fire-nature; the quality of being ensouled by fire (1.35) | 354:sakrós:sacred, holy, set apart (-0.09)	nemeza	clearing in a forest as a sacred site, sacred forest	noun
nēr ~ neres		old2_only			*h₂nḗr ~ *h₂nérm̥ ~ h₂n̥rés ~ h₂nér(i)	FALSE	*nḗr ~ *néram̥ ~ an̥rés ~ nér(i)	nēr ~ neres	nēr ~ neres	nēr ~ neres			n. c m.		‘vital energy, (like the concept of qi)’																								probable_new_entry	low_match	185	nḗr	power, force, energy	canonical	1.39	185:nḗr:power, force, energy (1.39)	nēr; neres	vital energy, (like the concept of qi)	noun
nēvana	nēvana	dw0				FALSE	nēvana						n. r/n n.		‘sinew, tendon; gristle’			From EAD sneevar, snavens leveling to snēvar, snēvans by OD.				snēw-						> snēvar, snēvans > nēvan, -s											probable_new_entry	no_match							nēvana	sinew, tendon; gristle	noun
newam	nevam	gloss	REVIEW:gloss-match	*h₁néw-	*h₁néw-n̥	FALSE	newan		newam	newam	nevin		num. (irr)		‘nine’			Since OD, from AD nevan.				new-								Lat. novem < PIt. newn̥ < PIE ʔnéun	nowan < (ʔ)néun	newun- < ʔnéun ~ ʔnéum						old-1 form was 'nevam'	probable_new_entry	low_match	187	névan	nine	canonical	6.00	187:névan:nine (6.00)	newam; nevam	nine	noun
neβalā ~ neβalās		old2_only		*nébʰ-	*nebʰ-l̥-eh₂	FALSE	neβalā		neβalā ~ neβalās	neβalā	nebila		n. a f.		‘fog, mist, vapor’																								probable_merge	partial_gloss	173	miɣlā	mist	canonical	2.58	173:miɣlā:mist (2.58) | 188:neβalom:fog, mist, haze; confusion (2.13)	neβalā; neβalās	fog, mist, vapor	noun
neβezā	neβezā	old1_only	REVIEW:old1-only										n. a f.		‘fog, especially as an omen’			From OD, a derivation from the oblique stem of neβos, neβesos ‘id.’.				neβ-																	probable_new_entry	low_match	188	neβalom	fog, mist, haze; confusion	canonical	1.65	188:neβalom:fog, mist, haze; confusion (1.65)	neβezā	fog, especially as an omen	noun
okris	okris	dw0				FALSE	okris						n. i m.		‘edge, overhang’			Since OD.																					probable_new_entry	no_match							okris	edge, overhang	noun
oksīom	oksīom	dw0				FALSE	oksīom						n. o n.	S-207, SY	‘eye’			From EAD s-stem nom sg. oks, gen. sg. okses and irregular pl. (dual?) oksī with the plural form reinterpreted as a new o-stem root appearing by LAD.										(> oɣsīom) > ossīom ?		ok(e)los < PIE *ʕʷekʷ-(e)lo-s		augōn- n. < ʕʷeqʷ-n-			óps < *ʕʷéqʷ-s		?		probable_merge	partial_gloss	377	dákru	tear (of an eye)	canonical	3.25	377:dákru:tear (of an eye) (3.25)	oksīom	eye	noun
opos ~ opezos	opnis	gloss	REVIEW:gloss-match	h₃ep-	*h₃ép-os ~ *h₃ép-es-	FALSE	opos ~ opesos		opos ~ opezos	opos	opos		adj. i	S-207	‘all, every’			From EAD.										> omnis > onnis ?										old-1 form was 'opnis'	probable_merge	gloss_exact	14	alnós	all, every	canonical	7.50	14:alnós:all, every (7.50)	opos; opezos; opnis	all, every	adj
orfiom	orfiom	dw0				FALSE	orfiom						n. o n.		‘inheritance’			From EAD.				orf-i-					PIE *h₃orbʰ-yo-m.												probable_new_entry	no_match							orfiom	inheritance	noun
orrea	orrea	dw0				FALSE	orrea						n. a f.		‘juniper’		flora	From EAD.																					probable_new_entry	no_match							orrea	juniper	noun
orvom	orvom	dw0				FALSE	orvom						n. o n.		‘pea’		agric.	From EAD.				orw- or or-w- ?			unknown		Kroonen?			EDL 195: ervum < PIt. *erVgʷ-o- ?		EDPG 37: *arwīt- < *arw-īd-.							probable_new_entry	no_match							orvom	pea	noun
ost	ost	exact				FALSE	ost		ost, -es		ostom		n. c n.	S-207, SY	‘bone’			Since AD.				ost-ī- ?								os(sum) << ʕʷést-s	knami- < *konʕm ‘leg’	baina- < [unclear]				enazur	< ʕʷést-s		probable_merge	gloss_exact	199	óst	bone	canonical	7.50	199:óst:bone (7.50)	ost	bone	noun
ousīom	ousīom	dw0				FALSE	ousīom						n. o n.	S-207, SY	‘ear’			!From D0 oows, nom. dual oowsii an s-stem with a plural (dual?)  in -ī reinterpreted as the root of a neut. o-stem. Shortening of initial -oo- by analogy with AD oks ~ OD okvīom?										osvīom > ousīom by analogy with oksiom/ossiom?											probable_new_entry	no_match							ousīom	ear	noun
ovis	ovis	dw0				FALSE	ovis						n. i m.		‘sheep’		fauna	Since AD.				ow-i- ?																	probable_new_entry	no_match							ovis	sheep	noun
pardis		old2_only		*perd-	*pr̥d-i-s	FALSE	pardis		pardis, -eis	pardis		pādis (-VrC- > -VVC-)	n. i m.		‘fart, especially a loud one’																								probable_merge	partial_gloss	207	párdus	fart	canonical	2.58	207:párdus:fart (2.58) | 361:βórnos:baby boy; the born one (1.50) | 193:óinos:one (1.08) | 117:kamtóm:one hundred (0.17) | 113:kaikos:blind; one-eyed (0.07)	pardis	fart, especially a loud one	noun
parkvom	parkvom	dw0				FALSE	parkvom						n. o n.		‘rib’			From EAD parkus.																					probable_new_entry	no_match							parkvom	rib	noun
peiskis	peiskis	dw0				FALSE	peiskis						n. i m.	S-207, SY	‘fish’		fauna	Since OD.				peis-k- ?					PIE *p(e)isk-os.			pisk-i-s	feiskos < peisk-o-s	fiska- < pisk-o-s							probable_merge	gloss_exact	217	piskós	fish	canonical	7.50	217:piskós:fish (7.50)	peiskis	fish	noun
peku ~ pekous	peku	dw0		*péḱ-	*péḱ-u̯	FALSE	peku		peku ~ pekous		peću		n. u n.		‘wealth’			From EAD, supplanted by pekwom (q.v.) by OD and appearing only in poetry and formulae since.				pek-																old-1 form was 'peku' (updated)	probable_merge	term_exact	211	peku	wealth, livestock	canonical	7.75	211:peku:wealth, livestock (7.75)	peku; pekous	wealth	noun
pekvom	pekvom	dw0				FALSE	pekvom						n. o n.		‘wealth’			From OD, a reanalysis of peku ‘cattle, livestock; wealth’ as the root of an o-stem neuter noun.																					probable_merge	partial_gloss	211	peku	wealth, livestock	canonical	3.25	211:peku:wealth, livestock (3.25)	pekvom	wealth	noun
peleks	peleks	dw0				FALSE	peleks						n. c m.		‘maul’			From EAD peleks, pelekvam with the direct root taken into the oblique cases by OD.	pelekdots 'woodsplitter'			pelek-																	probable_new_entry	no_match							peleks	maul	noun
penkves, -a	penkves, -a	dw0				FALSE	penkves, -a						num. (irr)	S-207	‘five’			From EAD penkve, reinterpreted as a c-stem, plural-only adjective.												kʷenkʷe < penkʷe	kʷenkʷe < penkʷe	fimfe < pimpe < penkʷe					pencues < pencue < penkʷe		probable_new_entry	low_match	213	penkve	five	canonical	6.00	213:penkve:five (6.00)	penkves; -a	five	noun
perkvāsiom	perkvāsiom	dw0				FALSE	perkvāsiom						n. o n.		‘oak grove, sacred site of oak trees, oak forest’			From EAD.				perkʷ-			PIE *perkʷ-														probable_new_entry	low_match	214	pérkus	oak	unresolved	2.17	214:pérkus:oak (2.17) | 183:némos:grove; sanctuary (1.37) | 355:sakrovéstrom:sanctuary, sacred precinct (institutional) (1.31) | 279:tigrís:large, striped, predatory cat of forest environs (1.27) | 353:danvivéits:well-watcher, well-priest, guardian of the sacred precinct (1.27)	perkvāsiom	oak grove, sacred site of oak trees, oak forest	noun
pervan, -s	pervan, -s	dw0				FALSE	pervan, -s						n. r/n n.		‘boulder, rock’			From EAD pervar, parvens with normal -ar ~ -en- > -an leveling.				"per-wa-n-
per-w-an-"					PIE heteroclitic r/n *pérwr̥.												probable_new_entry	no_match							pervan; -s	boulder, rock	noun
pervana	pervana	dw0				FALSE	pervana						n. a f.		‘bridge, crossing, way’			From OD, the plural of parvan reanalysed as a fem. noun.				"per-wa-n-
per-w-an-"																	probable_merge	partial_gloss	370	partús	crossing, bridge, ford	canonical	2.33	370:partús:crossing, bridge, ford (2.33)	pervana	bridge, crossing, way	noun
petara	petara	dw0				FALSE	petara						n. a f.	S-207	‘feather’			Since OD, probaby from the same root as EAD petar, petans.	petaros ‘bird; (lit) feathered’			pet-																	probable_merge	gloss_exact	216	pétrā	feather	canonical	7.50	216:pétrā:feather (7.50)	petara	feather	noun
petaros	petaros	dw0				FALSE	petaros						n. o m.	S-207	‘bird, (lit.) feathered’		fauna	!From EAD.				pet-ar-										fuglaz < flug-la- < pluk-lo-				zori			probable_new_entry	low_match	101	gvetudervís	pine tree (lit. pitch-tree)	canonical	1.50	101:gvetudervís:pine tree (lit. pitch-tree) (1.50) | 175:moriarksos:predatory sea mammal (lit. sea-bear) (1.45) | 66:ɣamṓ:person, human being, (lit.) earthling (1.45)	petaros	bird, (lit.) feathered	noun
pēts, -tes	pēts, -tes	dw0				FALSE	pēts, -tes						n. c m.		‘vindictive household spirit that plays malicious tricks’		FMR	From EAD with competing forms spāts  spaits, and spēts and t/d in the oblique indicating long-term and/or intensive contact between speakers of the borrowing and lending languages.									Coinage based on a childhood memory.												probable_new_entry	low_match	301	véiks	village, household	unresolved	1.32	301:véiks:village, household (1.32) | 221:potís:husband, head of household (1.29) | 352:dā́nvī:feminine water-spirit, water-nymph (1.27) | 386:dérvī:feminine tree spirit, wood-nymph (1.25) | 280:tód:that (0.61)	pēts; -tes	vindictive household spirit that plays malicious tricks	noun
petus	petus	exact				FALSE	petus		petus	petus			n. u m.		‘penis’			Since OD.				pet-			PG peton														probable_new_entry	no_match							petus	penis	noun
petvis	petvis	dw0				FALSE	petvis						n. i m.		‘millet’			Since OD.						EDPK 200															probable_new_entry	no_match							petvis	millet	noun
pezdis		old2_only		*pesd-	*pésd-i-s	FALSE	pesdis		pezdis, -eis	pezdis		pēdis (-VzC- > -VVC-)	n. i m.		‘fart, especially a soft or silent one’																								probable_merge	partial_gloss	207	párdus	fart	canonical	2.38	207:párdus:fart (2.38) | 361:βórnos:baby boy; the born one (1.41) | 161:maldús:soft (0.88) | 193:óinos:one (0.88) | 117:kamtóm:one hundred (0.03)	pezdis	fart, especially a soft; silent one	noun
piklis		old2_only				FALSE	piklis						n. i f.		‘fern’			Since OD. cf. piliks.									Proto-Karvelian per EDKL 83 *ipɣl-.												probable_new_entry	no_match							piklis	fern	noun
pītu ~ pītous		old2_only		*pei̯h₂-	*péi̯h₂-t-u̯ ~ *pi̯h₂-t-éu̯ ~s	FALSE	pītu ~ pīteus		pītu ~ pītous				n. u n.		‘food’																								probable_merge	gloss_exact	94	gvéitom	food	canonical	7.50	94:gvéitom:food (7.50)	pītu; pītous	food	noun
plānos	plānos	exact		*pleh₂-	*pleh₂-nos, *pl̥h₂-nos	FALSE	plānos		plānos, -om, -ā				adj. a/o		‘full’			Since AD.	plāntaros, plāntamos						PIE *pleh₁- > *pl̥h₁nós														probable_merge	gloss_exact	204	palnos	full	canonical	7.50	204:palnos:full (7.50)	plānos	full	adj
plektō	plektō	dw0				FALSE	plektō						v.		‘braid, plait, weave; fold’	*IGBS		From EAD.				plek- ?					IELF 110: *pleḱt-.												probable_new_entry	low_match	344	tekseti	to weave; to craft, fabricate	canonical	1.46	344:tekseti:to weave; to craft, fabricate (1.46)	plektō	braid, plait, weave; fold	verb
pleunðantom	pleunðantom	gloss	REVIEW:gloss-match			FALSE	pleunðantom						n. o n.		‘lead (metal)’		minerals	Since OD, from AD pl(e)u(n)ðom. [old-1: Since OD, from AD pl(e)u(n)ðom.]							unknown		NWIE?	plūdom?										old-1 form was 'pleunðantom'	probable_merge	partial_gloss	389	maldantóm	lead	candidate	3.00	389:maldantóm:lead (3.00) | 362:áios:copper, bronze; (earlier) metal (1.65)	pleunðantom	lead (metal)	noun
po	po	dw0				FALSE	po						?		‘off, away’			F																					probable_new_entry	no_match							po	off, away	
polka	polka	dw0				FALSE	polka						n. a f.		‘ploughed piece of land’	NWIE	agric.	From D0 polkaa.									IELF 110: *polḱeh₂.												probable_new_entry	no_match							polka	ploughed piece of land	noun
possus	possus	old1_only	REVIEW:old1-only										adj. u		‘low’			From possu, loc.p. of pōts ‘foot’ (q.v.).																					probable_merge	partial_gloss	402	ɣemelos	lowly, low-lying, humble, simple	unresolved	2.65	402:ɣemelos:lowly, low-lying, humble, simple (2.65)	possus	low	adj
pūn, -s	pūn, -s	dw0				FALSE	pūn, -s						n. r/n n.		‘fire (inanimate)’			From EAD pūr, pūns.	pūrāsiom ‘fireplace, hearth’, pūr			pū-					PIE heteroclitic collective *puh₂-r/n- per Klimp 2015:79.												probable_merge	partial_gloss	224	pū́r	fire	canonical	3.00	224:pū́r:fire (3.00) | 35:ðeɣvís:fire (3.00) | 356:éngman:sacred fire-nature; the quality of being ensouled by fire (1.54)	pūn; -s	fire (inanimate)	noun
ɸaβnā	ɸaβnā	dw0				FALSE	ɸaβnā						n. a f.		‘bean’		flora	Since OD, from AD 𐌘𐌀𐌘𐌍𐌀𐌀 βaβnaa.	famnela ‘little bean’			fam-					Wanderwort per EDL and EDPG.			faba < βaβā- < b⁽ʰ⁾ab⁽ʰ⁾-		*baunō- < bʰau-(neh₂-)					ƀan-na < ƀaƀ-na < bʰaw ~  b⁽ʰ⁾ab⁽ʰ⁾ (< βʷaβʷ- ?)		probable_new_entry	no_match							ɸaβnā	bean	noun
ɸeðom	ɸeðom	old1_only	REVIEW:old1-only										n. o m.		‘hole, grave; dungeon’			From EAD.				feð-					PIE *bʰédʰh₂-om.												probable_new_entry	no_match							ɸeðom	hole, grave; dungeon	noun
ɸerɣos	ɸerɣos	dw0				FALSE	ɸerɣos						n. o n.	S-207	‘mountain’			From EAD.				fer-g-								EDL 388: mōns, montis < PIt. *monti- < PIE *mon-ti-.	EDPC: *moniyo- < PIE *mon-.	EDPG 60: *berga- < PIE *bʰergʰ-o-.							probable_merge	partial_gloss	115	kalnís	mountain (hill)	canonical	3.25	115:kalnís:mountain (hill) (3.25)	ɸerɣos	mountain	noun
ɸilis	ɸilis	dw0				FALSE	ɸilis						n. i f.		‘friendship, friendly love’																								probable_new_entry	no_match							ɸilis	friendship, friendly love	noun
ɸlōza	ɸlōza	dw0				FALSE	ɸlōza						n. a f.		‘goddess of plant life, especially flowers’			From EAD.				flo-s-																	probable_merge	partial_gloss	102	gvītis	life	canonical	2.38	102:gvītis:life (2.38) | 36:déivī:goddess (2.38) | 357:gʷī́vom:life (as animating principle) (1.46) | 403:ɣémī:feminine personification of earth, earth-goddess (1.41)	ɸlōza	goddess of plant life, especially flowers	noun
ɸoðvā	ɸoðvā	gloss	REVIEW:gloss-match			FALSE	ɸoðvā						n. a f.		‘battle’			Since Ad.																				old-1 form was 'ɸoðvā'	probable_merge	partial_gloss	124	katús	battle, fight	unresolved	3.25	124:katús:battle, fight (3.25)	ɸoðvā	battle	noun
ɸoðvarā	ɸoðvarā	gloss	REVIEW:gloss-match			FALSE	ɸoðvarā						n. a f.		‘goddess of war; battle’			Since AD, an apparent r-derivation from an unattested ɸoðvar ~ ɸaðvens. which would have usually resulted in a root *ɸoðvan-. [old-1: Since AD, an apparent r-derivation from an unattested ɸoðvar ~ ɸaðvens. which would have usually resulted in a root *ɸoðvan-.]														EDPG 47: *badwō- < *bʰoudʰ-ueh₂.						old-1 form was 'ɸoðvarā'	probable_merge	partial_gloss	36	déivī	goddess	canonical	2.58	36:déivī:goddess (2.58) | 124:katús:battle, fight (1.67) | 403:ɣémī:feminine personification of earth, earth-goddess (1.50)	ɸoðvarā	goddess of war; battle	noun
ɸorna	ɸorna	dw0				FALSE	ɸorna						n. a f.		‘baby girl’			From EAD.				for-n-																	probable_new_entry	low_match	327	βórnā	baby (female)	unresolved	1.92	327:βórnā:baby (female) (1.92) | 361:βórnos:baby boy; the born one (1.65)	ɸorna	baby girl	noun
ɸrektrom	ɸrektrom	dw0				FALSE	ɸrektrom						n. o n.		‘hammer’			Since OD.							PIE *bʰreg-														probable_merge	gloss_exact	358	méltrom	hammer	canonical	7.50	358:méltrom:hammer (7.50)	ɸrektrom	hammer	noun
ɸrēvanā	ɸrēvanā	dw0				FALSE	ɸrēvanā						n. a f.		‘spring, well, source’			Since OD from a root remade from *ɸrēvar, *ɸravens with the V-a ~ a-e- > V-a change for r/n stems.				"frē-wan-a
frēw-an-a"																	probable_new_entry	low_match	381	vozrā	Spring (season)	canonical	1.67	381:vozrā:Spring (season) (1.67) | 408:vozrī:female personification of Spring (1.57) | 353:danvivéits:well-watcher, well-priest, guardian of the sacred precinct (1.42) | 345:duzviros:ne'er-do-well, bumpkin; criminal, villain, evil-doer (1.37)	ɸrēvanā	spring, well, source	noun
rēgiom ~ rēgiōs		old2_only		*h₃reǵ-	*h₃rḗǵ-i̯om	FALSE	rēgiom		rēgiom ~ rēgiōs		rēźio /rēʒjo/																												probable_new_entry	no_match							rēgiom; rēgiōs		
regman ~ regmanes		old2_only		*h₃reǵ-	*h₃reǵ-mn̥ ~ *h₃rǵ-mén-s	FALSE	regman ~ argméns		regman ~ regmanes	reǵminoz					‘responsibility’																								probable_new_entry	no_match							regman; regmanes	responsibility	
regtos	rēgtos	dw0				FALSE	rēgtos		regtos, -om, -ā	rektos	rektos		adj. a/o	S-207	‘correct, straight’			Since OD, from AD regtos with -g- > -k- by assimilatory devoicing.	comp. rēktaros, superl. rēktamos.			rēg- ~ reg-			PIE *h₃reǵ-			>> rettos										old-1 form was 'rēgtos' (updated)	probable_new_entry	low_match	226	regús	right, correct, proper	canonical	1.75	226:regús:right, correct, proper (1.75)	regtos; rēgtos	correct, straight	adj
rektus	regtus	dw0		*h₃reǵ-	*h₃reǵ-tu̯s	FALSE	regtus		rektus	rektus	reśtuz		n. u m.		‘law’							rēg- ~ reg-			PIE *h₃reǵ-													old-1 form was 'regtus' (updated)	probable_new_entry	no_match							rektus; regtus	law	noun
reuðar ~ ruðens		old2_only		*h₁rewdʰ-	**h₁reudʰ-r̥ ~ **h₁rudʰ-én-s	FALSE	reuðar ~ ruðens																																probable_new_entry	no_match							reuðar; ruðens		
reunafera	reunafera	dw0				FALSE	reunafera						n. a f.		‘goddess of secrets, secret knowledge, writing, reading, literacy, and literature’			From EAD.																					probable_new_entry	low_match	36	déivī	goddess	canonical	2.06	36:déivī:goddess (2.06) | 403:ɣémī:feminine personification of earth, earth-goddess (1.24)	reunafera	goddess of secrets, secret knowledge, writing, reading, literacy, and literature	noun
rōssos	rōssos	old1_only	REVIEW:old1-only										adj. a/o	S-207	‘red’			Since OD, from AD rouðos with regular loss of glide lengthening the preceding vowel and reanalysis of -ss-< -ðt- as the adjectival root.	comp. rōssaros, super. rōssamos.			rouð-																	probable_merge	gloss_exact	232	rouðós	red	canonical	7.50	232:rouðós:red (7.50) | 234:ruðrós:red (7.50)	rōssos	red	adj
rudantom	rudantom	dw0				FALSE	rudantom						n. o n.		‘copper’		minerals	Since AD.																					probable_merge	partial_gloss	362	áios	copper, bronze; (earlier) metal	canonical	2.75	362:áios:copper, bronze; (earlier) metal (2.75)	rudantom	copper	noun
ruðēti		old2_only		*h₁rewdʰ-	*h₁rudʰéh₁ti	FALSE	ruðēti																																probable_new_entry	no_match							ruðēti		
rudom	rudom	dw0				FALSE	rudom						n. o n.		‘ore’		minerals	From OD.				raud-			wanderwort		Eur. subs. *arud- ~ raud- ‘ore’			EDL 515: raudus, -eris < diff’t IE lang with pre-form *h1r(e/o)udʰ-os. (De Vaan does not mentiom subtratum.)		EDPG 37: *arut- (< PPGm. arud- ?) borrowed from a-prefiɣ lang.							probable_new_entry	no_match							rudom	ore	noun
ruðris		old2_only		*h₁rewdʰ-		TRUE			ruðris																														probable_new_entry	no_match							ruðris		
ruðrom ~ ruðrōs		old2_only		*h₁rewdʰ-		TRUE			ruðrom ~ ruðrōs	ruðrom ~ ruðrosio			n. o n.		‘redness; swelling; embarrassment’																								probable_merge	gloss_exact	233	róuðos	redness; embarrassment, arousal	canonical	5.58	233:róuðos:redness; embarrassment, arousal (5.58)	ruðrom; ruðrōs	redness; swelling; embarrassment	noun
ruðs ~ ruðes		old2_only		*h₁rewdʰ-	*h₁réwdʰ-s ~ *h₁rudʰ-és/ós	TRUE	reuðs ~ ruðes		ruðs ~ ruðes	reuðs ~ ruðes		reðs ~ ruðes																											probable_new_entry	no_match							ruðs; ruðes		
russis		old2_only		*h₁rewdʰ-	**h₁rudʰ-dʰh₁-is	TRUE	ruððis		russis	russis																													probable_new_entry	no_match							russis		
ruts	ruts	dw0				FALSE	ruts						n. c m.		‘copper’		minerals	Since AD with gen.s. both rudes and rutes.																					probable_merge	partial_gloss	362	áios	copper, bronze; (earlier) metal	canonical	2.75	362:áios:copper, bronze; (earlier) metal (2.75)	ruts	copper	noun
sagarra	sagarra	dw0				FALSE	sagarra						n. a f.		‘apple’		agric.	From EAD.				sag-ar-					Vasconic per EDB 335: sagar, ‘id’.												probable_merge	gloss_exact	393	ábōl	apple	candidate	7.50	393:ábōl:apple (7.50)	sagarra	apple	noun
sagva	sagva	dw0				FALSE	sagva						n. a f.		‘mouse’		fauna	From EAD.				sag-w-					euq: EDB 335: sagu.												probable_merge	gloss_exact	178	mū́s	mouse	canonical	7.50	178:mū́s:mouse (7.50)	sagva	mouse	noun
