merged_term	old1_term	match_type	review_flag	PIE Root	PIE 0	BVS!	DW0 (Transposit)	DW0 (Actual)	DW1-F	DW1-B	DE	D2	pos	List(s)	narGloss	CIGBS	Sem.	narEty	narDer	narAttest	narDisc	narNomRoot	narNomDer	conRoot class	conRootUltimate	conDeriv	conEty:	conPlan:	PIE	PIt	PC	PGm	PBl	PSl	Gr.	EDB	AD	dedup_notes	intake_bucket	intake_reason	best_current_id	best_current_lemma	best_current_gloss	best_current_status	best_match_score	top_current_matches	parsed_new_terms	parsed_new_glosses	pos_coarse
sākris	sākris	exact		*seh₂k-	*seh₂k-ri-s	FALSE	sākris		sākris /saːkrɪs/	sākros	sākriz		adj. i		‘sacred’			From EAD.				sāk-r-																	probable_merge	partial_gloss	354	sakrós	sacred, holy, set apart	canonical	2.75	354:sakrós:sacred, holy, set apart (2.75) | 355:sakrovéstrom:sanctuary, sacred precinct (institutional) (1.25) | 343:ðḗti:to put, place; to dedicate, make (sacred) (1.15) | 353:danvivéits:well-watcher, well-priest, guardian of the sacred precinct (1.08) | 356:éngman:sacred fire-nature; the quality of being ensouled by fire (1.08)	sākris	sacred	adj
saksom	saksom	dw0				FALSE	saksom						n. o n.		‘(ceremonial) stone or obsidian chipping aɣe’			From EAD.				sak-s-					What if PIt and PGm forms were a post-IE borrowing of *saks- ?	> sassom		EDL 327 lapis, -dis < PIt. *la/eped- < Med. *lVpVd-. EDL 541: saɣum ‘rock, boulder’ < *saks-o- < *sh₂k- (?), ≠ *sok-.	various	EDPG 421: *sahsą- ‘knife’ < *sok-so- < *sek-.					saksom, sak-klom		probable_new_entry	no_match							saksom	(ceremonial) stone; obsidian chipping aɣe	noun
sakvantom	sakvantom	dw0				FALSE	sakvantom						n. o n.		‘tin’		minerals	Since OD, from AD sakvom (q.v.) and -antom ‘metal; subtstance, material’.																					probable_new_entry	no_match							sakvantom	tin	noun
sakvom	sakvom	dw0				FALSE	sakvom						n. o n.		‘tin’		minerals	In AD as (t)saɣvom, (t)saɣvom, and (t)sakvom. The inconsistent onset in (t)s- and variation in the labiovelar, as well as its association with a trade item, indicate a likely borrowing during intensive language contact. See sakvantom.				saɣw- ~ sakw-					Proto-Circassion t͡saɣʷ.												probable_new_entry	no_match							sakvom	tin	noun
sambrus		old2_only		*smer-	*smér-u̯s ~ *sm̥r-éu̯-s	FALSE	samrus		sambrus	sambrus	smeruz		n. u m.		‘grease’	PK																							probable_merge	gloss_exact	253	smérus	grease	unresolved	7.50	253:smérus:grease (7.50)	sambrus	grease	noun
sān, -s	sān, -s	dw0				FALSE	sān, -s						n. r/n n.	S-207, SY	‘sun’			From EAD sāval, savens leveling to sāvan, sāvans by OD and contracting (-V̄̆¹YV̄̆¹- > V̄¹) to sān, sāns by CD.										sāval, sāvans > sāl, sāns > sān, -s											probable_merge	gloss_exact	243	sā́val	sun	canonical	7.50	243:sā́val:sun (7.50) | 405:sāl:sun (7.50) | 406:sūl:sun (7.50)	sān; -s	sun	noun
sanatsa	sanatsa	dw0				FALSE	sanatsa						n. a f.		‘willow’		flora	From EAD.									Vasconic per EDB 335: sahats, < sanats ‘id’.	> sanassa											probable_merge	partial_gloss	239	salikā	willow (tree)	canonical	3.25	239:salikā:willow (tree) (3.25)	sanatsa	willow	noun
sanðom	sanðom	gloss	REVIEW:gloss-match			FALSE	sanðom						n. o n.	S-207	‘sand’															sabulum < sadʱ-lo- (Kroonen) or (p)sað/f/blo- < (p)sam- or sabʱ-		samdaz < sam-ndʱ-o-						old-1 form was 'sanðom'	probable_new_entry	no_match							sanðom	sand	noun
sardea	sardea	dw0				FALSE	sardea						n. a f.		‘pitchfork’			From EAD.									euq: EDB												probable_new_entry	no_match							sardea	pitchfork	noun
saβa	saβa	dw0				FALSE	saβa						n. a f.		‘sap, wine concentrate, (fig) blood’		vinic.	From EAD.							unknown														probable_new_entry	low_match	63	ézar	blood	canonical	2.25	63:ézar:blood (2.25) | 241:sanī:menstrual blood (1.43) | 146:kvoinā́:blood-money, ransom, great cost (1.32)	saβa	sap, wine concentrate, (fig) blood	noun
sēklom	sēklom	dw0				FALSE	sēklom						n. o n.		‘scythe’			From EAD.				sēk-l-			PIE *sek-.														probable_new_entry	no_match							sēklom	scythe	noun
seks	seks	dw0				FALSE	seks						num. (irr)		‘siɣ’			From EAD.									PIE *(s)ueks.			seɣ < seks < (s)ueks	sweɣs < sweks	sehs < seks < (s)uek-s							probable_new_entry	no_match							seks	siɣ	noun
seliom	seliom	dw0				FALSE	seliom						n. o n.		‘sweet meat (animal organs as food)’			From EAD.																					probable_new_entry	low_match	94	gvéitom	food	canonical	2.25	94:gvéitom:food (2.25) | 97:ɣvḗr:wild animal, beast (1.39) | 264:svādús:sweet (0.75)	seliom	sweet meat (animal organs as food)	noun
selkos		old2_only		**selk-	**selk-ó-s	FALSE	selkos ~ seklosi̯o		selkos	selkos	selkuz		n. o m.		‘seal’																								probable_new_entry	no_match							selkos	seal	noun
sēman, -s	sēman, -s	dw0				FALSE	sēman, -s						n. n n.	S-207	‘sowing, spreading, distributing’			From EAD sēman, samens with leveing of the direct stem into the oblique by OD.				sē-																	probable_new_entry	no_match							sēman; -s	sowing, spreading, distributing	noun
sēmō, -nes	sēmō, -nes	dw0				FALSE	sēmō, -nes						n. n n.		‘sower’																								probable_new_entry	no_match							sēmō; -nes	sower	noun
sesenos	sesenos	dw0				FALSE	sesenos						n. o m.		‘bull (castrated), steer’		fauna	From EAD.				ses- ? sese- ? sesen- ?					Vasconic per EDB 374: zezen, ‘bull’.	> sesnos ?											probable_merge	partial_gloss	273	táuros	bull	canonical	2.58	273:táuros:bull (2.58)	sesenos	bull (castrated), steer	noun
sētis	sētis	dw0				FALSE	sētis						n. i m.		‘seed’			Since AD.																					probable_merge	gloss_exact	246	sḗman	seed	canonical	7.50	246:sḗman:seed (7.50)	sētis	seed	noun
setra	setra	dw0				FALSE	setra						n. a f.		‘sturgeon’												Eur. subs. PGm. sturjan-, sturjōn- < *str-i- (not sure what this means) ~ PBS *asetr-, esetr-												probable_new_entry	no_match							setra	sturgeon	noun
siplis	siplis	dw0				FALSE	siplis						n. i f.		‘beech tree’			Since OD.																					probable_merge	partial_gloss	376	βāgodrevís	beech-tree	canonical	3.50	376:βāgodrevís:beech-tree (3.50) | 116:kalnós:holly (tree) (1.92) | 12:álizos:alder (tree) (1.92) | 137:kozlos:hazel (tree) (1.92) | 239:salikā:willow (tree) (1.92)	siplis	beech tree	noun
skvombom ~ skvombōs		old2_only		**(s)gʰʷon-	ꜝsgʰʷon-b⁽ʰ⁾-om	FALSE	skʷomβom		skvombom ~ skvombōs	!skʷombom		skʷombom							skvambālos ‘slimy’																				probable_new_entry	no_match							skvombom; skvombōs		
soɣvā	soɣvā	dw0				FALSE	soɣvā						n. a f.	S-207	‘sea’			Since OD.									Proto-Kartvelian per EDKL 62: *zɣwa-.	> sova											probable_merge	gloss_exact	174	morí	sea	canonical	7.50	174:morí:sea (7.50)	soɣvā	sea	noun
sokios	sokios	exact				FALSE	sokios		sokios	sokios	sokiuz		n. o m.		‘friend, ally, companion (in a platonic sense)’			From EAD.	sokia ‘girlfriend (in a romantic sense)’	oinos sokios vēros ‘a true friend’		sok-i-																	probable_merge	partial_gloss	257	sokiós	friend, ally	canonical	2.75	257:sokiós:friend, ally (2.75)	sokios	friend, ally, companion (in a platonic sense)	noun
statis	statis	dw0				FALSE	statis						n. i f.		‘standing, position, station (in life or social situations)’			Since AD.																					probable_new_entry	low_match	102	gvītis	life	canonical	2.17	102:gvītis:life (2.17) | 96:gvénī:lady (woman of moral or social standing) (1.61) | 357:gʷī́vom:life (as animating principle) (1.33)	statis	standing, position, station (in life; social situations)	noun
sterā	sterā	exact				FALSE	sterā		sterā, -ās				n. a f.	S-207	‘star’			From EAD stera with regular loss of initial s- before a stop.																					probable_merge	gloss_exact	260	stḗr	star	canonical	7.50	260:stḗr:star (7.50)	sterā	star	noun
sulla	sulla	dw0				FALSE	sulla			sulla			n. a f.		‘daughter’			Since OD, from AD sunela.				sun-						> sunla > sulla											probable_merge	gloss_exact	52	ðúktēr	daughter	canonical	7.50	52:ðúktēr:daughter (7.50)	sulla	daughter	noun
surmela	surmela	dw0				FALSE	surmela						n. a f.		‘oak’		flora	From EAD.				sur-mel-					Vasconic per EDB 381: zur ‘wood’.	> surmla > ?											probable_merge	gloss_exact	214	pérkus	oak	unresolved	7.50	214:pérkus:oak (7.50)	surmela	oak	noun
svep-	svep-	dw0				FALSE	svep-						v.	S-207	‘to sleep’																								probable_new_entry	no_match							svep-	to sleep	verb
svepnos	svepnos	exact			*swépnos ~ *swépnosyo	FALSE	svepnos		svepnos	svepnos	sepnaz		n. o m.		‘sleep’																								probable_new_entry	no_match							svepnos	sleep	noun
tagvis	tagvis	exact			? taǵʷis	FALSE	tagʷis		tagvis /tagʷis/	tagvis /tagʷis/	taźiz /taʒiz/		n. i m.		‘mouse’		fauna	Since OD.				tag-w-					Proto-Kartvelian per EDKL 66: *tagw-.												probable_merge	gloss_exact	178	mū́s	mouse	canonical	7.50	178:mū́s:mouse (7.50)	tagvis	mouse	noun
takilis	takilis	dw0				FALSE	takilis						n. i f.		‘hazelnut’		agric.	From EAD.									Proto-Kartvelian per EDKL  78: *tɣil-.												probable_new_entry	no_match							takilis	hazelnut	noun
talkvō	talkvō	dw0				FALSE	talkvō						v.		‘to talk’			From D0 t(a)lkvoo.									tl̥kʷ- > talkʷ-?												probable_new_entry	no_match							talkvō	to talk	verb
taludom	taludom	exact				FALSE	taludom		taludom	taludom	—		n. o n.		‘temple? shrine?’ (hapaɣ)			Since AD.									Coinage based on the generated Sitrama Nerro teɣt.												probable_new_entry	no_match							taludom	temple? shrine? (hapaɣ)	noun
tānom		old2_only			*tr̥nós >	FALSE	tarnom		tānom	tarnom	tirnan		n. o m.		‘thorn, jagger; brush comprised of plants with thorns or jaggers’			Since OD.																					probable_new_entry	no_match							tānom	thorn, jagger; brush comprised of plants with thorns; jaggers	noun
tarnos	tarnos	old1_only	REVIEW:old1-only										n. o m.		‘thorn, brier’			Since OD.																					probable_new_entry	no_match							tarnos	thorn, brier	noun
tāstus ~ tāstous	tarstus	gloss	REVIEW:gloss-match	*ters-	*térs-tu-s ~ *tr̥s-téw-s	FALSE	tarstus ~ tarsteus		tāstus ~ tāstous	tarstus ~ tarstous	tirstuz ~ tirtstouz		n. u m.		‘thirst’																							old-1 form was 'tarstus'	probable_new_entry	no_match							tāstus; tāstous; tarstus	thirst	noun
terzom ~ terzōs		old2_only		*ters-	*ters-ó-m ~ *ters-ó-si̯o	FALSE	tersom		terzom ~ terzōs	terzo			n. o n.		‘desert, arid area’																								probable_new_entry	no_match							terzom; terzōs	desert, arid area	noun
theumman		old2_only				FALSE	theumman						?		‘depth’										PIE *dʰewbʰ-mn̥														probable_new_entry	no_match							theumman	depth	
tos, tom, ta	tos, tom, ta	dw0				FALSE	tos, tom, ta						?		‘the’			From EAD.																					probable_new_entry	no_match							tos; tom; ta	the	
upelos	upelos	dw0				FALSE	upelos						n. o m.	S-207	‘bad, evil’			From EAD.				up-el-			unknown		EDPG 117: *elhja- < *h1elk-io-.	upelos > /upᵊlos/ > uplos > ullos?		EDL 360: malus < PIt. *malo- < PIE *mol-o- (uncertain).	"EDPC 105: *druko- < PIE *dʰrewgʰ- with special formal pleading.

EDPC 396: *ufelo- < PIE *h₂up-elo- < *h₂wop-."	"EDPG 557: *ubilaz < *up-elo- but ≠ *h₂wop-.

elhjaz < h1elkos"							probable_new_entry	low_match	345	duzviros	ne'er-do-well, bumpkin; criminal, villain, evil-doer	canonical	1.47	345:duzviros:ne'er-do-well, bumpkin; criminal, villain, evil-doer (1.47)	upelos	bad, evil	noun
uperi	uperi	dw0				FALSE	uperi						?		‘over, above’			From EAD.																					probable_new_entry	low_match	286	upér	over	canonical	2.00	286:upér:over (2.00)	uperi	over, above	
vāðeks	vāðeks, -kes	gloss	REVIEW:gloss-match	*weh₂dʰ-	**weh₂dʰ-ek-s	FALSE	wāðeks		vāðeks /waːðeks/	vādeks /waːdeks/			n. c m.		‘tyrant, warlord, conqueror’			From AD 𐌖𐌀𐌀𐌈𐌄𐌊𐌔.		vāðeks melðaniom mādieti ‘may the invader meet Melðanios!’		wāð-ek-			PIE *u̯eh₂dʰ- as if from PIE or post-PIE noms. *u̯eh₂dʰ-ék-s gen.s. u̯h₂dʰ-ék-es with a sense of ‘one who tresspasses’ but unsure of what the actual PIE form would have been.		The subject of Vathek, by William Beckford, “who, for the sake of empty pomp and forbidden power, had sullied himself with a thousand crimes, became a prey to grief without end, and remorse without mitigation[.]” But also perhaps a derivation of PIE *weh₂dʰ- and a spurious -ek- suffiɣ?											old-1 form was 'vāðeks, -kes'	probable_new_entry	no_match							vāðeks; -kes	tyrant, warlord, conqueror	noun
vantrom	vantrom	dw0			*wn̥h₁-tro-m	FALSE	vantrom						n. o m.		‘awe, wonder’			Since AD.																					probable_new_entry	no_match							vantrom	awe, wonder	noun
vapnis	vapnis	dw0				FALSE	vapnis						n. ? ?		‘oven’			From EAD.				up-n-						upnos > umnos > unnos ? assimilation				EDPG 557 *ufna- < *upno- ?							probable_new_entry	no_match							vapnis	oven	noun
varis	varis	dw0				FALSE	varis						n. i m.		‘border marker, totem’			Since OD, from AD svaris with regular loss of initial s- before other consonants.				sɣwar-					Proto-Kartvelian per EDKL 62: *zɣwar- ‘limit, bound.’	> svaris ?											probable_new_entry	low_match	277	térman	boundary, limit, end; boundary marker	canonical	1.50	277:térman:boundary, limit, end; boundary marker (1.50)	varis	border marker, totem	noun
vātis	vātis	exact				FALSE	vātis		vātis, -eis				n. i m/f.		‘seer, oracle’			‘oracle, seer; poet’																					probable_new_entry	low_match	383	βātus	oracle, pronouncement	canonical	1.92	383:βātus:oracle, pronouncement (1.92) | 373:vātís:seer, poet, prophet (1.75)	vātis	seer, oracle	noun
vatsis	vatsis	exact				FALSE	vatsis		vatsis, -eis				n. i m.		‘goat’		fauna	Since OD.				wat-s-					Proto-Kartvelian per EDKL 50: *wac₁-.												probable_merge	gloss_exact	65	ɣáits	goat	canonical	7.50	65:ɣáits:goat (7.50)	vatsis	goat	noun
veidara	veidara	dw0				FALSE	veidara						n. a f.		‘goddess of wisdom’			From LAD, from the stem of LAD veidan leveled from EAD veidar, videns all ultimately from a root veid- ‘see, know’.																					probable_merge	partial_gloss	36	déivī	goddess	canonical	3.00	36:déivī:goddess (3.00) | 403:ɣémī:feminine personification of earth, earth-goddess (1.65)	veidara	goddess of wisdom	noun
veis	veis	dw0				FALSE	veis						pron.	S-207	‘we’			Since AD.				wei-s-																	probable_new_entry	no_match							veis	we	pron
veistvō	veistvō	dw0				FALSE	veistvō						pron.	S-207	‘we two, the two of us, the speaker and listener only’			Since OD, a compound of veis ‘we’ and dvō ‘two’.				wei-du-																	probable_new_entry	low_match	55	dúvō	two	canonical	0.67	55:dúvō:two (0.67) | 58:dvṓ:two (0.67)	veistvō	we two, the two of us, the speaker and listener only	pron
veits, -des	veits, -des	old1_only	REVIEW:old1-only										n. c m.		‘seer, oracle, priest(ess)’			From EAD.				weit-						weits > wīts > wīs?											probable_new_entry	low_match	383	βātus	oracle, pronouncement	canonical	1.52	383:βātus:oracle, pronouncement (1.52) | 373:vātís:seer, poet, prophet (1.46) | 353:danvivéits:well-watcher, well-priest, guardian of the sacred precinct (1.35)	veits; -des	seer, oracle, priest(ess)	noun
vēkis	vēkis	dw0				FALSE	vēkis						n. ? ?		‘village, settlement’			Since OD, from AD veikis.																					probable_merge	partial_gloss	300	véikos	settlement	canonical	3.00	300:véikos:settlement (3.00) | 350:veikspotís:village headman, settlement lord (2.50) | 301:véiks:village, household (1.92) | 135:kóimos:settlement, camp; home (1.75)	vēkis	village, settlement	noun
vēks	vēks	dw0				FALSE	vēks						n. c f.		‘household, home’			Since OD, from AD veiks.							PIE *u̯ei̯k-														probable_new_entry	low_match	301	véiks	village, household	unresolved	1.92	301:véiks:village, household (1.92) | 135:kóimos:settlement, camp; home (1.75) | 221:potís:husband, head of household (1.75)	vēks	household, home	noun
vektis	vektis	exact				FALSE	wektis ~ wekteis		vektis, -eis	vektis ~ vekteis	βeśtiz ~ βeśtīri		n. i m.		‘entity, being, ghost; thing, monster’			Since AD.														EDPG 578: wehti-.							probable_new_entry	low_match	125	keitis	sea monster	canonical	1.43	125:keitis:sea monster (1.43) | 43:ðṓmos:thing, object (1.43) | 19:anɣvís:serpent, dragon, monster (1.39) | 252:skválos:large fish or whale; sea monster (1.32) | 66:ɣamṓ:person, human being, (lit.) earthling (1.32)	vektis	entity, being, ghost; thing, monster	noun
vereza	vereza	dw0				FALSE	vereza						n. a f.		‘Summer’			Since OD, an a-stem derivative of the oblique of AD weros, weresos ‘id.’				wer- ~ wor-			PIE *gʱwér- > *gʱwéros, *gʱwéresos.														probable_new_entry	no_match							vereza	summer	noun
vēris		old2_only				FALSE	vēris						n. i f.		‘truth’			Since AD.																					probable_new_entry	no_match							vēris	truth	noun
verman, -s	verman, -s	dw0				FALSE	verman, -s						n. n n.		‘warmth’			Since OD, from AD werman ~ warmens.				wer- ~ wor-			PIE *gʱwér- > *gʱwéros, *gʱwéresos.														probable_new_entry	no_match							verman; -s	warmth	noun
vērotāts ~ vērotātes		old2_only		*weh₁-	*weh₁-r-o-teh₂ts	FALSE			vērotāts ~ vērotātes				n. ? ?																										probable_new_entry	no_match							vērotāts; vērotātes		noun
vērtā	vēris	gloss	REVIEW:gloss-match	*weh₁-	*weh₁-ro-teh₂	FALSE	wērtā		vērtā, -ās				n. a f.		‘truth’			Since AD.																				old-1 form was 'vēris'	probable_new_entry	no_match							vērtā; vēris	truth	noun
vesus	vesus	old1_only	REVIEW:old1-only										adj. u		‘(archaic) good, eɣcellent’			Since AD but relegated to formulae and poetry by OD.	comp. vestaros, spl. vestamos																				probable_merge	partial_gloss	309	vezús	good	canonical	2.58	309:vezús:good (2.58) | 388:déru:tree (archaic) (0.17) | 404:sāval:sun (archaic, religious register) (0.00)	vesus	(archaic) good, eɣcellent	adj
vētis	vētis	dw0				FALSE	vētis						n. i f.		‘hatred’			Since OD, from AD dvētis.																					probable_merge	gloss_exact	111	kā́dos	hatred	canonical	7.50	111:kā́dos:hatred (7.50)	vētis	hatred	noun
vīnom	vīnom	dw0				FALSE	vīnom						n. o n.		‘wine’		vinic.	From EAD.				wī-n-					PIE												probable_new_entry	no_match							vīnom	wine	noun
vitsonðos	vitsonðos	gloss	REVIEW:gloss-match			FALSE	vitsonðos						n. o m.		‘bison’		fauna	From EAD vitsomƀos, vitsonđos. with the former falling out of use in favor of the latter by OD.				?					PreGm. uisond⁽ʰ⁾- < wi- + dzomb⁽ʰ⁾- ~ dzond⁽ʰ⁾- ~ tsomb⁽ʰ⁾	vitsomƀos > vissomƀos > vissomps ?										old-1 form was 'vitsonðos'	probable_merge	gloss_exact	308	vezonts	bison	canonical	7.50	308:vezonts:bison (7.50)	vitsonðos	bison	noun
vodan, -s	vodan, -s	dw0				FALSE	vodan, -s						n. r/n n.	S-207, SY	‘water (inanimate)’			Since OD, from AD wodar ~ wedans.				wod-ar/n-		r/n				vodar, vodans > vodan, -s											probable_merge	partial_gloss	284	udṓr	water	canonical	3.00	284:udṓr:water (3.00) | 314:vódar:water (3.00) | 351:dā́nu:flowing water, river (1.75) | 352:dā́nvī:feminine water-spirit, water-nymph (1.65)	vodan; -s	water (inanimate)	noun
voks	voks	dw0				FALSE	voks						n. c f.		‘voice’			Since OD, from AD voks, gen.s. vokves.																					probable_new_entry	no_match							voks	voice	noun
voktis	voktis	dw0				FALSE	voktis						n. i f.		‘language’			Since OD.		volktī teutom ‘in the language of (our/the) peoples’, a common phrase in religious formulae attested since AD		wolk																	probable_merge	gloss_exact	67	ɣandvā́	tongue; language	canonical	6.50	67:ɣandvā́:tongue; language (6.50)	voktis	language	noun
vokvis		old2_only		*wekʷ-	*wṓkʷs ~ *wókʷm̥ ~ *wókʷs ~ *wókʷ(i)	FALSE	wōks ~ wokʷam ~ woks ~ wokʷi		vokvis /wɔkʷis/	vokvā /wɔkʷaː/	vośiz /vɔʃiz/		adj. i																										probable_new_entry	no_match							vokvis		adj
vordos	vordos	old1_only	REVIEW:old1-only										adj. a/o		‘dirty, stained; dark’			Since OD, from AD svordos.	comp. vorsaros, superl. worsamos			swo-r-d- ?																	probable_merge	partial_gloss	267	svórdos	dirty	canonical	2.58	267:svórdos:dirty (2.58) | 57:ðuzvos:dark (of a color) (1.67) | 54:ðuskos:dark, dusky (of a person or object) (1.50)	vordos	dirty, stained; dark	adj
vormos	vornos	gloss	REVIEW:gloss-match			FALSE	wormos		vormos, -om, -ā				adj. a/o	S-207	‘warm’			Since OD, from AD vormos, with m > n from assimilation in the comp. and spl. forms.	comp. vorntaros, superl. vorntamos			wer- ~ wor-			PIE *gʱwér- >  *gʱwormos.													old-1 form was 'vornos'	probable_new_entry	no_match							vormos; vornos	warm	adj
wamβom	wamβom	old1_only	REVIEW:old1-only										n. o n.		‘mushroom’																								probable_merge	gloss_exact	104	ɣvónɣvom	mushroom	canonical	7.50	104:ɣvónɣvom:mushroom (7.50)	wamβom	mushroom	noun
wangwom	wangwom	old1_only	REVIEW:old1-only										n. o n.		‘mushroom’																								probable_merge	gloss_exact	104	ɣvónɣvom	mushroom	canonical	7.50	104:ɣvónɣvom:mushroom (7.50)	wangwom	mushroom	noun
waslis	vaslis	gloss	REVIEW:gloss-match			FALSE	waslis						n. a f.		‘apple (of a type from the eastern mountain region)’		agric.	From EAD.				was-l-					Proto-Kartvelian per EDKL 50: *wašl-.											old-1 form was 'vaslis'	probable_merge	partial_gloss	393	ábōl	apple	candidate	2.38	393:ábōl:apple (2.38) | 115:kalnís:mountain (hill) (1.52) | 162:malom:apple, pear (1.52)	waslis; vaslis	apple (of a type from the eastern mountain region)	noun
wits		old2_only		*weyd-	**wid-s ~ wid-es ~ wid(i)	FALSE	wits, wides	wits, wides	wits, wides	wits, wites	widos		n. c m.		‘scholar, priest’			From EAD.				weit-						weits > wīts > wīs?											probable_new_entry	low_match	353	danvivéits	well-watcher, well-priest, guardian of the sacred precinct	canonical	1.54	353:danvivéits:well-watcher, well-priest, guardian of the sacred precinct (1.54)	wits	scholar, priest	noun
wosara	vosara	gloss	REVIEW:gloss-match			FALSE	wosara						n. a f.		‘Spring (season)’			Since OD, an a-stem derivation of an n-stem reanalysis of OD vosar, vesans.				wes-ar-																old-1 form was 'vosara'	probable_merge	gloss_exact	381	vozrā	Spring (season)	canonical	7.50	381:vozrā:Spring (season) (7.50)	wosara; vosara	spring (season)	noun
βussos		old2_only		*bʰewdʰ-	*bʰudʰtós	FALSE	βussos		βussos, -om, -ā	ɸussos	buttoz		adj. a/o		‘awake’																								probable_new_entry	no_match							βussos	awake	adj
		old2_only		*h₂egʰ-	*h₂egʰ-ó-m	FALSE																																	too_incomplete_to_import	no_term_no_gloss									
		old2_only				FALSE							n. ? ?		‘lady, woman’										wanderwort		Eur. subs. PGm. *edis ‘lady’												probable_merge	partial_gloss	95	gvénā	woman	canonical	3.00	95:gvénā:woman (3.00) | 96:gvénī:lady (woman of moral or social standing) (2.30) | 149:leuðertā:freed-woman (1.92)		lady, woman	noun
		old2_only				FALSE		kunos, -ōs					n. c n.		‘male dog, letch (derogatory)’																								probable_merge	partial_gloss	144	kvṓ	dog	canonical	2.38	144:kvṓ:dog (2.38)		male dog, letch (derogatory)	noun
		old2_only				FALSE								S-207	‘big, great, powerful, large’			Since AD.	comp. magnios superl. magnitamos is irregular, using the comparative stem, to prevent a -gnt- sequence.			mag-n-								EDL 358: magnus < PIt. magnos < mǵ-no- from Schrijver’s RDC- > RaDC-.	EDPC 253: *magyos < *méǵh₂-.	"EDPG 361: *mekila- < *meǵ-el-. “Unlike the other IE languages,  Germanic added a suffiɣ *-ila- ( < *-eli-?) to
the root *meǵ-."							probable_new_entry	low_match	206	pánts	large predatory cat	canonical	0.46	206:pánts:large predatory cat (0.46) | 208:párts:large predatory cat (0.46) | 146:kvoinā́:blood-money, ransom, great cost (0.38) | 252:skválos:large fish or whale; sea monster (0.38) | 279:tigrís:large, striped, predatory cat of forest environs (0.35)		big, great, powerful, large	
		old2_only				FALSE							?	S-207	‘forest’		fauna	nemos, nemoses; silva;																					probable_new_entry	low_match	279	tigrís	large, striped, predatory cat of forest environs	canonical	1.58	279:tigrís:large, striped, predatory cat of forest environs (1.58)		forest	
